"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.667749981E-3,6.207740936E0,-3.733835449E0,6.260581055E0
8.271250001E-3,6.453978882E0,-3.687881012E0,6.322402496E0
1.820925000E-2,6.646777954E0,-3.730991364E0,6.235732727E0
2.814825001E-2,6.671775970E0,-3.811224518E0,6.330934753E0
3.808725002E-2,6.539451141E0,-3.819158020E0,6.399492188E0
4.802625001E-2,6.463558960E0,-3.755390625E0,6.396797791E0
5.796425001E-2,6.477030945E0,-3.704047394E0,6.401587830E0
6.790325002E-2,6.446045380E0,-3.701352997E0,6.344556427E0
7.784225000E-2,6.413413239E0,-3.712429962E0,6.266269226E0
8.778025000E-2,6.425238647E0,-3.716321869E0,6.221961365E0
9.771925001E-2,6.482868805E0,-3.695515137E0,6.191125488E0
1.076582500E-1,6.527326355E0,-3.685635681E0,6.201004944E0
1.175962500E-1,6.545139313E0,-3.698209534E0,6.217021637E0
1.275352500E-1,6.540648651E0,-3.717070312E0,6.231541443E0
1.374742500E-1,6.525380402E0,-3.740272064E0,6.236032104E0
1.474122500E-1,6.510860596E0,-3.750151520E0,6.217321014E0
1.573512500E-1,6.512058105E0,-3.734284515E0,6.211632843E0
1.672902500E-1,6.505771179E0,-3.728596344E0,6.197412415E0
1.772282500E-1,6.500232697E0,-3.749253387E0,6.191275177E0
1.871672500E-1,6.512507172E0,-3.764371948E0,6.209237823E0
1.971062500E-1,6.520440674E0,-3.784729614E0,6.247258759E0
2.070442500E-1,6.538253632E0,-3.795357513E0,6.269562378E0
2.169832500E-1,6.558162231E0,-3.804488525E0,6.259832611E0
2.269222500E-1,6.545588379E0,-3.822301483E0,6.235283661E0
2.368602500E-1,6.531667328E0,-3.824696503E0,6.238277435E0
2.467992500E-1,6.524931335E0,-3.818559265E0,6.242468719E0
2.567382500E-1,6.514752502E0,-3.813918915E0,6.233936462E0
2.666762500E-1,6.501280518E0,-3.797303467E0,6.222111053E0
2.766152500E-1,6.485413513E0,-3.770060120E0,6.242468719E0
2.865542500E-1,6.487060089E0,-3.752396851E0,6.243366852E0
2.964932500E-1,6.469995575E0,-3.738924866E0,6.249354401E0
3.064312500E-1,6.472989349E0,-3.736978912E0,6.241869965E0
3.163702500E-1,6.469396820E0,-3.752097473E0,6.229146423E0
3.263092500E-1,6.469396820E0,-3.763473816E0,6.229445801E0
3.362472500E-1,6.477629700E0,-3.778742065E0,6.220015411E0
3.461862500E-1,6.496789856E0,-3.799249420E0,6.231541443E0
3.561252500E-1,6.504423981E0,-3.806733856E0,6.250402222E0
3.660632500E-1,6.514602814E0,-3.830983429E0,6.281537476E0
3.760022500E-1,6.507717133E0,-3.821103973E0,6.293961639E0
3.859412500E-1,6.495891724E0,-3.800297241E0,6.305188293E0
3.958792500E-1,6.467750244E0,-3.801494751E0,6.292913818E0
4.058182500E-1,6.451134796E0,-3.799848175E0,6.289171600E0
4.157572500E-1,6.437363434E0,-3.797004089E0,6.281238098E0
