"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.792083292E-4,-9.034937248E-3,-1.196444221E-2,3.821409121E-2
1.091820834E-2,-7.399490569E-3,2.397172153E-2,2.023988403E-2
2.085720832E-2,-7.742874324E-3,3.392203897E-2,1.336360350E-2
3.079620833E-2,-1.034345105E-2,2.105577663E-2,1.687471382E-2
4.073420833E-2,-5.286817905E-3,2.394964918E-3,1.342675462E-2
5.067320832E-2,-4.501717631E-3,-1.800698042E-2,1.537071541E-3
6.061220833E-2,-4.627316725E-3,-3.670403734E-2,-4.536963068E-3
7.055120834E-2,-2.967505716E-4,-3.186080977E-2,-3.787815571E-3
8.049020832E-2,-2.365698572E-3,-1.692327112E-2,-4.398948513E-3
9.042820832E-2,-2.050913405E-3,-4.082572646E-3,8.868386969E-3
1.003672083E-1,-6.293011829E-3,8.287169971E-3,1.330574416E-2
1.103062083E-1,-4.255160689E-3,1.273491513E-2,1.241198741E-2
1.202452083E-1,-3.027931787E-3,1.819406077E-2,1.440311596E-2
1.301842083E-1,-1.415920444E-3,1.247385796E-2,1.258018240E-2
1.401222083E-1,-3.057806753E-4,1.134652738E-2,1.438146457E-2
1.500612083E-1,-2.648030408E-3,6.470014341E-3,1.360541955E-2
1.600002083E-1,-7.383943070E-3,9.001108818E-3,1.001541223E-2
1.699392083E-1,-6.081124302E-3,7.279374637E-3,6.294710096E-3
1.798782083E-1,-5.199236795E-3,4.225167446E-3,3.655418754E-3
1.898172083E-1,-5.088449456E-3,2.378531732E-3,3.110003658E-3
1.997552083E-1,-7.530708797E-3,-7.449861150E-3,-5.126758479E-3
2.096942083E-1,-7.771991193E-3,-1.724842936E-2,-2.753083594E-3
2.196332083E-1,-5.852981005E-3,-1.724376902E-2,2.083684318E-3
2.295722083E-1,-4.213005770E-3,-1.498753857E-2,-1.516909339E-3
2.395112083E-1,-3.695108928E-3,-8.702297695E-3,3.452450037E-4
2.494492083E-1,-3.959028050E-3,1.074392349E-4,5.220693536E-3
2.593882083E-1,-5.802811123E-3,6.674544886E-3,9.720134549E-3
2.693272083E-1,-1.081026625E-3,1.267411467E-2,1.228369307E-2
2.792662083E-1,-3.040854353E-3,1.291475538E-2,5.430627149E-3
2.892052083E-1,-6.026790943E-3,5.339394324E-3,2.492361236E-3
2.991432083E-1,-5.215658806E-3,-3.884467762E-3,-3.604587168E-3
3.090822083E-1,-3.914970905E-3,-1.297676563E-2,-5.580387078E-3
3.190212083E-1,-7.183737122E-3,-2.062523738E-2,-3.890984692E-3
3.289602083E-1,-6.695846096E-3,-1.815595478E-2,-7.068402134E-3
3.388992083E-1,-5.206922535E-3,-1.426523738E-2,-1.753530465E-3
3.488372083E-1,-6.392562296E-3,-1.228331402E-2,2.528033685E-3
3.587762083E-1,-1.101211924E-2,-2.961372491E-3,7.505018264E-3
3.687152083E-1,-1.133222971E-2,-3.994679078E-3,4.373939708E-3
3.786542083E-1,-9.464059956E-3,-5.628185347E-3,-1.910517924E-3
3.885932083E-1,-8.101320826E-3,-7.345924620E-3,-8.565224707E-3
3.985322083E-1,-7.798367646E-3,-1.093790121E-2,-6.402106956E-3
4.084702083E-1,-3.111204598E-3,-1.463623345E-2,-3.550393507E-3
4.184092083E-1,-8.212795481E-3,-1.312202029E-2,-2.463597804E-3
4.283482083E-1,-5.203423556E-3,-1.519449241E-2,-7.243704982E-3
4.382872083E-1,-3.918091767E-3,-4.189820960E-3,-6.419420242E-3
4.482262083E-1,-1.636828296E-3,1.264066435E-3,-1.018965803E-2
4.581642083E-1,-2.514645457E-3,3.872568719E-3,-6.288961507E-3
4.681032083E-1,-2.949805930E-3,4.540222697E-3,-5.431691185E-3
4.780422083E-1,-2.759643365E-3,4.448316991E-3,-2.280571498E-3
4.879812083E-1,-2.126875799E-3,3.071462736E-3,-3.459020518E-3
4.979202083E-1,-2.317519858E-3,8.082268760E-4,-3.067336045E-3
5.078582083E-1,-2.291953191E-3,-1.928550191E-4,-2.562933601E-3
5.177972083E-1,-4.287980963E-3,-2.709420864E-3,-1.323651522E-4
5.277362083E-1,-8.824676275E-3,-4.377444275E-4,-7.249663584E-3
5.376752083E-1,-4.093671218E-3,4.342412576E-4,-1.358356047E-2
5.476142083E-1,-5.539502017E-3,-4.235611297E-3,-1.644911990E-2
5.575522083E-1,-4.425854422E-3,-8.559869602E-3,-1.087825093E-2
5.674912083E-1,-4.834916443E-3,-1.530112885E-2,-5.811319686E-3
5.774302083E-1,-4.812268075E-3,-1.669839397E-2,-6.005501375E-3
5.873692083E-1,-6.537463982E-3,-1.374947652E-2,-8.132569492E-3
5.973082083E-1,-4.621634260E-3,-3.581546247E-3,-1.794670708E-3
6.072472083E-1,-3.638661467E-3,1.689838246E-4,5.379924551E-4
6.171852083E-1,-3.857044037E-3,7.216899656E-3,-1.468806528E-3
6.271242083E-1,-3.856244963E-3,1.010270137E-2,-3.806529567E-3
6.370632083E-1,-6.215969566E-3,1.142409537E-2,1.168622635E-3
6.470022083E-1,-4.533118103E-3,9.839513339E-3,2.973180264E-3
6.569412083E-1,-2.278689295E-3,4.379367456E-3,1.070417464E-3
6.668792083E-1,-2.774569206E-3,7.067296654E-3,3.939736634E-4
6.768182083E-1,2.346981782E-3,1.022270042E-2,2.873879857E-3
6.867572083E-1,-3.053375985E-3,1.516046654E-2,3.036332782E-3
6.966962083E-1,-5.769992713E-3,1.743278652E-2,1.684908755E-3
7.066352083E-1,-3.852782305E-3,2.233034000E-2,-1.091436483E-3
7.165725833E-1,-2.491170540E-3,2.759180963E-2,-6.470020860E-3
7.265115833E-1,1.679606270E-3,2.918198332E-2,-2.144514583E-3
7.364505833E-1,-3.448268399E-4,2.835234068E-2,-2.623516135E-3
7.463895833E-1,-2.769161947E-4,2.153917588E-2,-6.162915379E-4
7.563285833E-1,-1.715670805E-3,2.057387307E-2,-5.703096278E-3
7.662675833E-1,-1.758281607E-3,1.987692714E-2,-1.219029073E-2
7.762055833E-1,-4.311834928E-3,1.414190233E-2,-1.381631847E-2
7.861445833E-1,-3.722477239E-3,1.528759487E-2,-1.689812914E-2
7.960835833E-1,-3.645307384E-3,1.371779013E-2,-1.535249129E-2
8.060225833E-1,-4.156367853E-3,9.818122722E-3,-1.356577687E-2
8.159615833E-1,6.927778013E-4,6.516207010E-3,-1.532819401E-2
8.258995833E-1,1.457371283E-3,8.387343958E-3,-1.328714844E-2
8.358385833E-1,4.908479750E-4,5.966393277E-3,-1.832005195E-2
8.457775833E-1,6.530630868E-3,1.447359566E-2,-2.705921605E-2
8.557165833E-1,1.189006306E-2,1.716533676E-2,-3.571029752E-2
8.656555833E-1,9.960602969E-3,1.896536723E-2,-3.929544613E-2
8.755935833E-1,8.539870381E-3,1.464398950E-2,-3.893878311E-2
8.855325833E-1,2.801557072E-3,8.770653978E-3,-3.352830559E-2
8.954715833E-1,7.339296862E-4,-1.376749948E-3,-2.666816860E-2
9.054105833E-1,6.231423467E-4,-6.235687062E-3,-2.292988822E-2
9.153495833E-1,3.859706689E-3,-9.540988132E-3,-1.656586677E-2
9.252875833E-1,8.500264958E-3,-1.084939856E-2,-1.822341606E-2
9.352265833E-1,9.507916868E-3,-5.231954157E-3,-2.191645652E-2
9.451655833E-1,1.352902316E-2,5.472089164E-3,-1.626203582E-2
9.551045833E-1,1.978354529E-2,2.046416327E-2,-1.359760761E-2
9.650435833E-1,1.896968484E-2,2.535905316E-2,-9.942952543E-3
9.749825833E-1,2.173142135E-2,2.826504037E-2,-1.123311371E-2
9.849205833E-1,2.742153220E-2,2.528150007E-2,-2.016881853E-2
9.948595833E-1,2.558881976E-2,1.383295003E-2,-2.351574972E-2
1.004798583E0,2.639815398E-2,5.256506614E-3,-2.138548717E-2
