"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.097445833E-2,2.582431564E-1,1.417511255E-2,-6.013978243E-2
2.091295834E-2,3.178688224E-1,-1.406613506E-1,-7.124189079E-2
3.085295833E-2,2.431655261E-1,-9.680021659E-2,-3.787475467E-2
4.079295835E-2,1.290717307E-1,-1.729372501E-2,3.596680820E-2
5.073195836E-2,7.013384342E-2,2.743323550E-2,-9.862907946E-2
6.067195834E-2,1.037977257E-1,3.268052682E-2,-1.995485133E-1
7.061095836E-2,1.132146665E-1,1.346818417E-2,-1.705381376E-1
8.055095834E-2,1.309849396E-1,-1.767218605E-2,-1.015415776E-1
9.049095833E-2,2.394844115E-1,-2.270561546E-2,-6.531164467E-2
1.004299583E-1,3.078414322E-1,9.457871318E-3,-4.551998913E-2
1.103699583E-1,3.238977402E-1,4.623291090E-2,-8.039336801E-3
1.203089583E-1,3.420206004E-1,3.576639488E-2,3.688072801E-2
1.302489583E-1,3.222989653E-1,1.637732014E-2,5.739626884E-2
1.401889584E-1,2.473978870E-1,-7.951920927E-3,5.775528789E-2
1.501279583E-1,1.392037860E-1,-2.932685629E-2,3.408868253E-2
1.600679583E-1,-4.458355755E-3,-3.586872116E-2,2.851394713E-2
1.700079583E-1,-9.309015825E-2,-5.848706692E-2,4.975980520E-4
1.799469583E-1,-1.348552117E-1,-7.391567633E-2,-3.491723299E-2
1.898869583E-1,-1.707644248E-1,-8.281806216E-2,-6.211497188E-2
1.998259583E-1,-1.942737401E-1,-8.898804411E-2,-7.301885962E-2
2.097659583E-1,-2.185636586E-1,-9.040233940E-2,-5.656830311E-2
2.197059584E-1,-2.042870969E-1,-7.086649954E-2,-4.906749487E-2
2.296449583E-1,-1.978469735E-1,-3.070065960E-2,-3.003831625E-2
2.395849584E-1,-1.457586609E-1,2.100480661E-2,-1.635056913E-2
2.495239583E-1,-8.209783137E-2,6.349637657E-2,-1.100270569E-2
2.594639584E-1,-3.203236297E-2,1.107065034E-1,4.929787517E-3
2.694039583E-1,4.162384316E-2,1.376674300E-1,8.738663793E-3
2.793429584E-1,1.507589073E-1,1.443778409E-1,9.261404872E-3
2.892829583E-1,2.405667311E-1,1.358487998E-1,1.842925429E-2
2.992219584E-1,2.811950858E-1,9.628814667E-2,6.554728746E-3
3.091619583E-1,2.300502214E-1,5.294449121E-2,1.820589066E-2
3.191019583E-1,2.197618993E-1,-1.255382583E-2,3.222166657E-2
3.290409583E-1,2.380240694E-1,-7.372871161E-2,7.056302905E-2
3.389809583E-1,6.788617373E-2,-1.071940809E-1,1.887130380E-2
3.489199583E-1,-1.224757791E-1,-8.228771970E-2,-4.395059645E-2
3.588599583E-1,-2.063611042E-1,-4.677407071E-2,-6.919010282E-2
3.687999583E-1,-2.313839713E-1,-3.762961015E-2,-9.915357471E-2
3.787389583E-1,-2.188931492E-1,-3.453190148E-2,-1.021514422E-1
3.886789583E-1,-1.951047756E-1,-2.176494464E-2,-7.885438085E-2
3.986189583E-1,-1.689110036E-1,-1.443736017E-2,-7.627166569E-2
4.085579583E-1,-8.970330477E-2,6.621971726E-5,-9.113177955E-2
4.184979583E-1,-3.227809221E-3,2.947493702E-2,-8.687266767E-2
4.284369583E-1,5.603021309E-2,4.544602185E-2,-8.144352794E-2
4.383769583E-1,1.043624206E-1,4.835559636E-2,-5.665542662E-2
4.483169584E-1,1.262060103E-1,3.353729010E-2,-3.214389861E-2
4.582559583E-1,1.388156770E-1,1.889191523E-2,7.209616899E-4
4.681959584E-1,1.341485757E-1,1.384752229E-2,1.764514267E-2
4.781349583E-1,1.345344919E-1,7.774165571E-3,4.448795557E-2
4.880749584E-1,1.236116007E-1,1.811759770E-3,4.504285634E-2
4.980149583E-1,1.010077268E-1,-1.228967786E-2,4.774777830E-2
5.079539584E-1,6.225135818E-2,-6.714065373E-4,4.799979329E-2
5.178939583E-1,-5.134732425E-3,8.448934257E-3,4.823368192E-2
5.278329584E-1,-4.843658030E-2,1.855438471E-2,4.983231068E-2
5.377729583E-1,-6.884745598E-2,1.624064147E-2,2.789823532E-2
5.477129583E-1,-1.022714563E-1,9.865568429E-3,9.682989120E-4
5.576519583E-1,-1.288414966E-1,3.311424404E-3,-2.920801163E-2
5.675919583E-1,-1.144425818E-1,3.192579746E-3,-3.562416136E-2
5.775309583E-1,-7.644722834E-2,-9.206294864E-3,-6.114316463E-2
5.874709583E-1,-5.001488999E-2,-2.120726645E-2,-4.717007339E-2
5.974109583E-1,-1.809815571E-2,-4.310596615E-2,-4.473178446E-2
6.073499583E-1,2.693432182E-2,-2.953881785E-2,-4.238938987E-2
6.172899583E-1,6.899451345E-2,-2.073349580E-2,-4.598308861E-2
6.272289583E-1,7.512765795E-2,4.896896929E-3,-6.885622680E-2
6.371689583E-1,4.332786798E-2,3.200385779E-2,-7.536944032E-2
6.471089583E-1,4.986110821E-2,5.832509905E-2,-5.311961532E-2
6.570479583E-1,6.637028307E-2,8.153342888E-2,-7.306095958E-3
6.669879583E-1,4.879384518E-2,9.526809990E-2,1.286913693E-2
6.769279584E-1,5.518207446E-2,8.038211212E-2,2.974770963E-2
6.868669583E-1,5.438100591E-2,7.199486598E-2,5.560234308E-2
6.968069584E-1,3.253960893E-2,7.719157889E-2,4.693793893E-2
7.067459583E-1,2.131076217E-2,8.305063516E-2,1.585823357E-2
7.166859584E-1,6.986253262E-3,5.149189666E-2,-5.452528596E-3
7.266259583E-1,5.665074885E-3,2.861203417E-2,-2.430102825E-3
7.365649584E-1,-2.186266623E-2,-1.364930168E-2,8.532841802E-3
7.465049583E-1,-4.171323247E-2,-2.577335715E-2,1.967821956E-2
7.564439584E-1,-3.723499618E-2,-3.574680671E-2,2.810815036E-2
7.663839583E-1,-3.285038844E-2,-2.847257808E-2,1.160906196E-2
7.763239583E-1,-3.545283794E-2,-2.162446529E-2,1.643301487E-2
7.862629583E-1,-4.247395523E-2,-1.675300375E-2,6.722543836E-3
