"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.555875002E-3,-5.064717865E0,-2.938539276E0,7.725584564E0
1.149587502E-2,-5.173840942E0,-3.077600098E0,7.735314331E0
2.143587501E-2,-5.197491760E0,-3.125799866E0,7.723339233E0
3.137487502E-2,-5.254223785E0,-3.089275818E0,7.702831879E0
4.131487501E-2,-5.355113983E0,-3.041225739E0,7.677384796E0
5.125387502E-2,-5.432353363E0,-3.030897217E0,7.665260010E0
6.119387501E-2,-5.451513519E0,-3.053350525E0,7.664810944E0
7.113287502E-2,-5.410947876E0,-3.055745544E0,7.667205963E0
8.107287501E-2,-5.341941376E0,-3.022364960E0,7.672594757E0
9.101187502E-2,-5.301076355E0,-2.968477020E0,7.673193512E0
1.009518750E-1,-5.277126160E0,-2.946023712E0,7.670050049E0
1.108918750E-1,-5.267246704E0,-2.964585114E0,7.688611450E0
1.208308750E-1,-5.282964020E0,-2.980751495E0,7.693102112E0
1.307708750E-1,-5.303621063E0,-2.986888733E0,7.708669739E0
1.407098750E-1,-5.309009857E0,-2.974165192E0,7.717651062E0
1.506498750E-1,-5.307962036E0,-2.977608032E0,7.714357910E0
1.605888750E-1,-5.296735382E0,-2.980152740E0,7.724686432E0
1.705288750E-1,-5.294789429E0,-2.985092468E0,7.742948456E0
1.804688750E-1,-5.285658417E0,-2.984793091E0,7.770940247E0
1.904078750E-1,-5.272036743E0,-2.982847137E0,7.771988068E0
2.003478750E-1,-5.250032501E0,-2.985242157E0,7.746091919E0
2.102868750E-1,-5.234614563E0,-2.990032196E0,7.741900635E0
2.202268750E-1,-5.220094757E0,-3.000660095E0,7.737559662E0
2.301658750E-1,-5.221891022E0,-3.011138306E0,7.744445343E0
2.401058750E-1,-5.217849426E0,-3.013383636E0,7.721243591E0
2.500448750E-1,-5.227728882E0,-3.015928345E0,7.717950439E0
2.599848750E-1,-5.242398376E0,-3.019520874E0,7.712561646E0
