"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.039333321E-3,-5.779182129E0,-4.996759186E0,5.789660339E0
1.097933334E-2,-5.607189789E0,-5.067112885E0,5.784121857E0
2.091933333E-2,-5.656437378E0,-5.190755768E0,5.812113647E0
3.085933335E-2,-5.752986603E0,-5.219645691E0,5.795198822E0
4.079833333E-2,-5.847739563E0,-5.224585419E0,5.746699677E0
5.073833335E-2,-5.877527618E0,-5.262456665E0,5.718707886E0
6.067833334E-2,-5.800737305E0,-5.295837250E0,5.719456329E0
7.061833332E-2,-5.694907379E0,-5.294789429E0,5.708529053E0
8.055833334E-2,-5.660478973E0,-5.281317444E0,5.691464539E0
9.049833333E-2,-5.679938507E0,-5.286257172E0,5.674699402E0
1.004373333E-1,-5.723198547E0,-5.303022308E0,5.672005005E0
1.103773333E-1,-5.786516876E0,-5.314698029E0,5.693859558E0
1.203173333E-1,-5.865552521E0,-5.333708496E0,5.745951233E0
1.302573333E-1,-5.934409332E0,-5.338348846E0,5.799090729E0
1.401973333E-1,-5.926026764E0,-5.339845734E0,5.790109406E0
1.501363333E-1,-5.902525635E0,-5.321883087E0,5.808820496E0
1.600763333E-1,-5.854625244E0,-5.296136627E0,5.844596100E0
1.700163333E-1,-5.819448395E0,-5.293591919E0,5.856720886E0
1.799563333E-1,-5.804629211E0,-5.286107483E0,5.857768707E0
1.898963333E-1,-5.822292480E0,-5.299579468E0,5.856421509E0
1.998363333E-1,-5.830225983E0,-5.326074371E0,5.826932831E0
2.097755000E-1,-5.870342560E0,-5.322930908E0,5.781577148E0
2.197155000E-1,-5.885311432E0,-5.322631531E0,5.739514618E0
2.296555000E-1,-5.884712677E0,-5.294340363E0,5.695057068E0
2.395955000E-1,-5.865402832E0,-5.271288300E0,5.689967651E0
2.495355000E-1,-5.851332092E0,-5.244643707E0,5.692662048E0
2.594745000E-1,-5.902375946E0,-5.225782928E0,5.688620453E0
2.694145000E-1,-5.969286804E0,-5.214107208E0,5.732030182E0
2.793545000E-1,-6.016438751E0,-5.191504211E0,5.717809753E0
2.892945000E-1,-6.097570038E0,-5.207371216E0,5.763015747E0
2.992345000E-1,-6.146069183E0,-5.248535614E0,5.821394348E0
3.091735000E-1,-6.135441284E0,-5.301824799E0,5.890700226E0
3.191135000E-1,-6.115532684E0,-5.369035034E0,5.956712952E0
3.290535000E-1,-6.094725952E0,-5.409900055E0,5.984854431E0
3.389935000E-1,-6.035299530E0,-5.431305542E0,5.966293030E0
3.489335000E-1,-5.976621552E0,-5.439688110E0,5.932164001E0
3.588735000E-1,-5.934409332E0,-5.431904297E0,5.884263611E0
3.688125000E-1,-5.887706451E0,-5.431754608E0,5.818250885E0
3.787525000E-1,-5.800737305E0,-5.418881378E0,5.762866058E0
3.886925000E-1,-5.732928314E0,-5.404660950E0,5.712570648E0
3.986325000E-1,-5.694458313E0,-5.419330444E0,5.687572632E0
4.085725000E-1,-5.656886444E0,-5.444627838E0,5.646857300E0
4.185115000E-1,-5.662275238E0,-5.471571808E0,5.639821930E0
4.284515000E-1,-5.661826172E0,-5.507197723E0,5.606591034E0
4.383915000E-1,-5.667364655E0,-5.580694885E0,5.604046326E0
4.483315000E-1,-5.657634888E0,-5.602998505E0,5.649402008E0
4.582715000E-1,-5.611530762E0,-5.576802979E0,5.786217499E0
4.682115000E-1,-5.512736206E0,-5.569917297E0,5.986351318E0
4.781505000E-1,-5.335355072E0,-5.623805237E0,6.114035797E0
4.880905000E-1,-5.288951569E0,-5.583988037E0,6.186335449E0
4.980305000E-1,-5.371130676E0,-5.497318268E0,6.224356384E0
5.079705000E-1,-5.438789978E0,-5.437143402E0,6.191724243E0
5.179105000E-1,-5.516628113E0,-5.375022583E0,6.162085876E0
5.278495000E-1,-5.622008972E0,-5.312003632E0,6.176605682E0
5.377895000E-1,-5.803282013E0,-5.301525421E0,6.110592957E0
5.477295000E-1,-6.073170776E0,-5.321583710E0,5.929768982E0
5.576695000E-1,-6.355483704E0,-5.349276123E0,5.841302948E0
5.676095000E-1,-6.571933594E0,-5.320086823E0,5.753136292E0
5.775495000E-1,-6.712491302E0,-5.240751801E0,5.634133759E0
5.874885000E-1,-6.836433563E0,-5.129533081E0,5.599256287E0
5.974285000E-1,-6.907086639E0,-4.971761169E0,5.612728271E0
6.073685000E-1,-6.931036835E0,-4.824317780E0,5.626499634E0
6.173085000E-1,-7.019502869E0,-4.748275909E0,5.609884186E0
6.272485000E-1,-7.162904663E0,-4.705614624E0,5.537434845E0
6.371875000E-1,-7.255711670E0,-4.660558319E0,5.468578033E0
6.471275000E-1,-7.166796570E0,-4.568200378E0,5.339995422E0
6.570675000E-1,-7.089108124E0,-4.443359985E0,5.128335571E0
6.670075000E-1,-7.066505127E0,-4.324357452E0,4.940476227E0
6.769475000E-1,-7.168742523E0,-4.243525543E0,4.668192444E0
6.868865000E-1,-7.481591949E0,-4.175566864E0,4.364623718E0
6.968265000E-1,-7.924820251E0,-4.143683167E0,4.148622894E0
7.067665000E-1,-8.254734192E0,-4.110302582E0,3.940854950E0
7.167065000E-1,-8.392747192E0,-4.084855499E0,3.872447205E0
7.266465000E-1,-8.438252563E0,-4.064198456E0,3.892056427E0
7.365865000E-1,-8.535550232E0,-4.100722504E0,3.904330902E0
7.465255000E-1,-8.725355530E0,-4.134851532E0,3.882775726E0
7.564655000E-1,-8.694669342E0,-4.205953674E0,3.957620087E0
7.664055000E-1,-8.455915833E0,-4.212539978E0,4.036356354E0
7.763455000E-1,-8.173602905E0,-4.171674957E0,4.485871582E0
7.862855000E-1,-7.717052307E0,-4.071982269E0,4.576433258E0
7.962245000E-1,-7.352260895E0,-3.923790436E0,4.378095703E0
8.061645000E-1,-7.251520386E0,-3.868555298E0,4.233197021E0
8.161045000E-1,-7.351811829E0,-4.015699310E0,4.258793793E0
8.260445000E-1,-7.486980743E0,-4.345762939E0,4.442461853E0
8.359845000E-1,-7.473359070E0,-4.644092560E0,4.654271393E0
8.459235000E-1,-7.282955017E0,-4.715943146E0,4.696483612E0
8.558635000E-1,-7.039860535E0,-4.619393921E0,4.699477386E0
8.658035000E-1,-6.865772552E0,-4.542603607E0,4.771327972E0
8.757435000E-1,-6.797813873E0,-4.611460419E0,4.840334473E0
8.856835000E-1,-6.779252472E0,-4.754862213E0,4.880900116E0
8.956235000E-1,-6.741680603E0,-4.849764862E0,4.852309570E0
9.055625000E-1,-6.629713440E0,-4.843627625E0,4.746779022E0
9.155025000E-1,-6.440057831E0,-4.793781281E0,4.650828552E0
9.254425000E-1,-6.223907318E0,-4.746030579E0,4.561165009E0
9.353825000E-1,-6.050268402E0,-4.722828827E0,4.501588898E0
9.453225000E-1,-5.967191162E0,-4.703818359E0,4.440815277E0
9.552615000E-1,-5.948480072E0,-4.708608398E0,4.403842163E0
9.652015000E-1,-6.051016846E0,-4.743186493E0,4.536616058E0
9.751415000E-1,-6.266568604E0,-4.843328247E0,4.668791199E0
9.850815000E-1,-6.547085266E0,-5.009482727E0,4.715643768E0
9.950215000E-1,-6.854994965E0,-5.236111450E0,4.662653961E0
1.004961500E0,-7.155719604E0,-5.444328461E0,4.520449677E0
1.014900500E0,-7.474107513E0,-5.552104340E0,4.300856323E0
1.024840500E0,-7.863447876E0,-5.554798737E0,4.196822662E0
1.034780500E0,-8.224197693E0,-5.496270447E0,4.334536285E0
1.044720500E0,-8.396339722E0,-5.335205383E0,4.473447418E0
1.054660500E0,-8.352630615E0,-4.971461792E0,4.532125397E0
1.064599500E0,-8.090525665E0,-4.502187653E0,4.655917969E0
1.074539500E0,-7.823930054E0,-4.090393982E0,4.736151123E0
1.084479500E0,-7.909552002E0,-3.853436737E0,4.647984467E0
1.094419500E0,-8.456514587E0,-3.829935608E0,4.519102478E0
1.104359500E0,-8.964408417E0,-3.900888062E0,4.587510223E0
1.114298500E0,-9.076375580E0,-3.872746582E0,4.707560577E0
1.124238500E0,-8.618178406E0,-3.759282532E0,4.802014160E0
1.134178500E0,-7.972720642E0,-3.779191132E0,4.767286377E0
1.144118500E0,-7.606881409E0,-3.941453705E0,4.575385437E0
1.154058500E0,-7.586374054E0,-4.051175537E0,4.467160492E0
1.163998500E0,-7.677833862E0,-4.030518494E0,4.416416016E0
1.173937500E0,-7.712561646E0,-3.937112732E0,4.392914886E0
1.183877500E0,-7.603288879E0,-3.810027008E0,4.482728119E0
1.193817500E0,-7.401059418E0,-3.677253113E0,4.559967499E0
1.203757500E0,-7.198530579E0,-3.612288208E0,4.472399597E0
1.213696833E0,-7.142397308E0,-3.703897705E0,4.444108429E0
1.223635833E0,-7.172784119E0,-3.953279114E0,4.481231232E0
1.233575833E0,-7.235653381E0,-4.288432159E0,4.509522400E0
1.243515833E0,-7.298971710E0,-4.557273102E0,4.551734619E0
1.253455833E0,-7.359146576E0,-4.691843262E0,4.599335632E0
1.263395833E0,-7.275470581E0,-4.737049255E0,4.600682831E0
1.273335833E0,-7.109465790E0,-4.736300812E0,4.648283844E0
1.283274833E0,-7.001240845E0,-4.778363342E0,4.666845245E0
1.293214833E0,-6.983577576E0,-4.881498871E0,4.642745361E0
1.303154833E0,-7.020999756E0,-4.959337006E0,4.605023804E0
1.313094833E0,-7.069349213E0,-4.956043854E0,4.567751312E0
1.323034833E0,-7.104825439E0,-4.916226654E0,4.549189911E0
1.332973833E0,-7.172933807E0,-4.867877197E0,4.518354034E0
1.342913833E0,-7.273374939E0,-4.878804474E0,4.490661621E0
1.352853833E0,-7.341034241E0,-4.920118561E0,4.430636444E0
1.362793833E0,-7.421566772E0,-4.961582336E0,4.384831696E0
1.372733833E0,-7.602989502E0,-5.011877747E0,4.396956482E0
1.382672833E0,-7.846533051E0,-5.090314636E0,4.389921112E0
1.392612833E0,-8.043523407E0,-5.150040436E0,4.424349518E0
1.402552833E0,-8.106542358E0,-5.187013550E0,4.499642944E0
1.412492833E0,-8.172106018E0,-5.212011566E0,4.543651428E0
1.422432833E0,-8.371491394E0,-5.224884796E0,4.787494354E0
1.432371833E0,-8.531209259E0,-5.140160980E0,4.983137512E0
1.442311833E0,-8.482111359E0,-4.964576111E0,4.954247589E0
1.452251833E0,-8.243507538E0,-4.773124237E0,4.873415680E0
1.462191833E0,-7.773335266E0,-4.499193878E0,4.851261749E0
1.472131833E0,-6.919211426E0,-4.087250519E0,4.935087433E0
1.482071833E0,-5.843548279E0,-3.696413269E0,4.825215912E0
1.492010833E0,-5.031636658E0,-3.707041168E0,4.405788116E0
1.501950833E0,-5.401218109E0,-4.289479980E0,3.968846741E0
1.511890833E0,-6.774462433E0,-5.116210785E0,4.243525543E0
1.521830833E0,-7.472011871E0,-5.488636322E0,4.372407532E0
1.531770833E0,-7.081174622E0,-5.130281525E0,4.191433868E0
1.541709833E0,-6.479276276E0,-4.702471161E0,4.267775116E0
1.551649833E0,-6.264173584E0,-4.571493530E0,4.315675507E0
1.561589833E0,-6.501280518E0,-4.661606140E0,4.218228149E0
1.571529833E0,-6.981332245E0,-4.788093109E0,4.195625153E0
1.581469833E0,-7.392078094E0,-4.869374084E0,4.168830872E0
1.591409833E0,-7.585775299E0,-4.894222412E0,4.132306824E0
1.601348833E0,-7.593708801E0,-4.863087158E0,4.047583008E0
1.611288833E0,-7.584877167E0,-4.834795990E0,4.037404175E0
1.621228833E0,-7.561376038E0,-4.766388245E0,4.120780792E0
1.631168833E0,-7.437583466E0,-4.719685364E0,4.172573090E0
1.641108833E0,-7.308851166E0,-4.721930695E0,4.122427368E0
1.651047833E0,-7.300917664E0,-4.781357117E0,4.223018188E0
1.660987833E0,-7.267237701E0,-4.825964355E0,4.354145508E0
1.670927833E0,-7.160359955E0,-4.829407196E0,4.370012512E0
1.680867833E0,-7.199578400E0,-4.844076691E0,4.284540253E0
1.690807833E0,-7.348219299E0,-4.841382294E0,4.261637878E0
1.700746833E0,-7.443421326E0,-4.776267700E0,4.304448853E0
1.710686833E0,-7.348368988E0,-4.650080109E0,4.335434418E0
1.720626833E0,-7.190148010E0,-4.502936096E0,4.318369904E0
1.730566833E0,-7.103777618E0,-4.423451385E0,4.332889709E0
1.740506833E0,-7.122488708E0,-4.440515900E0,4.396058350E0
1.750445833E0,-7.306007080E0,-4.511917419E0,4.443809052E0
1.760385833E0,-7.545958099E0,-4.569996643E0,4.386627960E0
1.770325833E0,-7.730374603E0,-4.581822052E0,4.371509399E0
1.780265833E0,-7.847880249E0,-4.541106720E0,4.432133331E0
1.790205833E0,-8.068521423E0,-4.552932129E0,4.609664154E0
1.800145833E0,-8.467292175E0,-4.628824310E0,4.759801941E0
1.810084833E0,-8.777596893E0,-4.625531158E0,4.743036804E0
1.820024833E0,-8.863967285E0,-4.486919403E0,4.532424774E0
