"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.141454167E-2,-1.650364923E-1,-4.144807952E-2,6.717281342E-3
2.140954166E-2,-1.387292844E-1,-5.922619153E-2,6.634718657E-2
3.140454167E-2,-3.891088128E-2,-2.846927075E-2,7.935139418E-2
4.139954167E-2,2.532136738E-2,-2.348669384E-2,1.003475761E-1
5.139454167E-2,7.418537915E-2,-1.208394723E-2,8.889989734E-2
6.138954167E-2,1.202017969E-1,1.505720157E-2,6.843464255E-2
7.138454166E-2,1.580017072E-1,6.343461536E-3,5.347980380E-2
8.137854166E-2,9.799933434E-2,-3.287512947E-2,1.388479829E-2
9.137354167E-2,2.947405994E-2,-5.805203408E-2,-3.888983130E-2
1.013685417E-1,-5.175136685E-2,-1.140073663E-1,-6.333236217E-2
1.113635417E-1,-8.411278188E-2,-1.357394203E-1,-8.737845182E-2
1.213585417E-1,-1.339550328E-1,-1.870760369E-1,-6.765403926E-2
1.313535417E-1,-1.129834092E-1,-2.137806362E-1,-2.649841189E-2
1.413485417E-1,-1.447419763E-2,-1.877572009E-1,-5.045386970E-2
1.513435417E-1,2.123124003E-3,-1.739376722E-1,-4.478031635E-2
1.613385417E-1,-3.785487413E-3,-1.515384874E-1,-4.974694133E-2
1.713325417E-1,5.445511937E-2,-1.273065659E-1,-8.587162435E-2
1.813275417E-1,4.805826545E-2,-1.246361791E-1,-8.644406676E-2
1.913225417E-1,2.326490164E-2,-1.083090353E-1,-8.545354843E-2
2.013175417E-1,5.867096186E-3,-7.562375765E-2,-8.403618336E-2
2.113125417E-1,8.971382976E-3,-3.521182302E-2,-9.896295547E-2
2.213075417E-1,1.075186014E-2,-6.501782209E-2,-8.632361412E-2
2.313025417E-1,4.964812338E-2,-8.411698457E-2,-8.188206911E-2
2.412975417E-1,1.787335950E-1,-1.058856934E-1,-7.400411546E-2
2.512925417E-1,2.968491054E-1,-1.580606544E-1,-1.052475429E-1
2.612875417E-1,3.178382707E-1,-2.809545094E-1,-1.091423732E-1
2.712815417E-1,3.516755229E-1,-3.480100496E-1,-1.999367684E-1
2.812765417E-1,4.758499181E-1,-3.985910232E-1,-2.901248074E-1
2.912715417E-1,6.371061856E-1,-4.138589438E-1,-3.558638835E-1
3.012665417E-1,7.139438617E-1,-3.558802192E-1,-3.685020554E-1
3.112615417E-1,6.149592716E-1,-1.999376820E-1,-3.748071080E-1
3.212561250E-1,4.857410681E-1,-8.593744207E-2,-3.426409900E-1
3.312511250E-1,4.368308634E-1,-1.003593437E-1,-2.664921159E-1
3.412461250E-1,3.474333680E-1,-2.088874669E-1,-2.348446459E-1
3.512411250E-1,2.589521313E-1,-2.811296701E-1,-2.811423147E-1
