"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.338245833E-2,8.336189389E-2,-2.077607214E-1,1.749193668E-2
2.337745833E-2,7.600677758E-2,-1.242141649E-1,9.080076590E-3
3.337245833E-2,6.004041433E-2,-1.309490018E-2,5.788790062E-3
4.336641667E-2,3.707198054E-2,8.664447814E-2,-1.494688913E-3
5.336041667E-2,1.808604598E-2,1.527385712E-1,-5.157077685E-3
6.335541667E-2,-1.811497146E-3,1.785848141E-1,-2.116640471E-2
7.335041667E-2,-1.083160564E-2,1.681130975E-1,-3.513524681E-2
8.334541667E-2,-2.336044796E-2,1.239613369E-1,-4.444725811E-2
9.334041667E-2,-2.823433466E-2,5.906844512E-2,-5.446387455E-2
1.033354167E-1,-2.755416185E-2,-2.114749281E-3,-5.943014100E-2
1.133304167E-1,-2.674910054E-2,-3.611619025E-2,-6.981165707E-2
1.233254167E-1,-2.488781698E-2,-3.628956154E-2,-7.396166027E-2
1.333204167E-1,-2.482977696E-2,-2.435123362E-2,-8.413171023E-2
1.433154167E-1,-2.169683389E-2,2.083169110E-2,-8.608593792E-2
1.533104167E-1,-2.163340338E-2,7.453724742E-2,-8.133333921E-2
1.633054167E-1,-2.037293091E-2,1.214211360E-1,-7.555215061E-2
1.732994167E-1,-1.892021112E-2,1.543264240E-1,-7.770153135E-2
1.832944167E-1,-1.531269215E-2,1.523415744E-1,-7.371557504E-2
1.932894167E-1,-6.013976410E-3,1.228810176E-1,-7.788958400E-2
2.032844167E-1,5.557457916E-3,8.807083964E-2,-7.846349478E-2
2.132794167E-1,1.881309412E-2,5.871756375E-2,-8.570732176E-2
2.232744167E-1,3.585333005E-2,3.950871900E-2,-9.467898309E-2
2.332694167E-1,4.945382848E-2,4.466006905E-2,-1.020857617E-1
2.432644167E-1,5.916344747E-2,7.314816862E-2,-1.086307466E-1
2.532594167E-1,6.674619764E-2,1.028463021E-1,-1.274953932E-1
2.632544167E-1,6.711770594E-2,1.305724829E-1,-1.502273381E-1
2.732494167E-1,6.334485859E-2,1.510889381E-1,-1.813302338E-1
2.832444167E-1,6.292913854E-2,1.498585641E-1,-2.280862778E-1
2.932384167E-1,6.272374839E-2,1.336920410E-1,-2.827917635E-1
3.032334167E-1,6.733128428E-2,1.164320931E-1,-3.463760614E-1
3.132284167E-1,7.587635517E-2,1.049965173E-1,-4.201702178E-1
3.232234167E-1,8.689332008E-2,1.147245169E-1,-5.063360333E-1
3.332184167E-1,9.975615144E-2,1.391533166E-1,-5.901502967E-1
3.432134167E-1,1.180723086E-1,1.813108921E-1,-6.814351678E-1
3.532084167E-1,1.288189739E-1,2.287285030E-1,-7.830020189E-1
3.632034167E-1,1.390798539E-1,2.865832746E-1,-8.868916631E-1
3.731984167E-1,1.447579861E-1,3.467887938E-1,-9.976568222E-1
3.831934167E-1,1.513200104E-1,4.069392383E-1,-1.109012365E0
3.931884167E-1,1.616625637E-1,4.413081408E-1,-1.218790293E0
4.031824167E-1,1.774612367E-1,4.668561220E-1,-1.324671745E0
4.131774167E-1,1.926773041E-1,4.877573848E-1,-1.439593196E0
4.231724167E-1,2.196892202E-1,5.295380950E-1,-1.552815676E0
4.331674167E-1,2.495255917E-1,5.749884844E-1,-1.661552429E0
4.431624167E-1,2.709621787E-1,6.190624833E-1,-1.763008714E0
4.531574167E-1,2.831724584E-1,6.958116889E-1,-1.858948469E0
4.631524167E-1,2.939854264E-1,7.817960978E-1,-1.937749743E0
4.731474167E-1,2.936070561E-1,8.717780113E-1,-2.027276754E0
4.831424167E-1,3.108994961E-1,9.539335966E-1,-2.094095707E0
4.931374167E-1,3.244808912E-1,1.011160731E0,-2.121725559E0
5.031324167E-1,3.378590047E-1,1.048833489E0,-2.132513523E0
5.131274167E-1,3.666253388E-1,1.063182235E0,-2.149342060E0
5.231214167E-1,3.991326988E-1,1.069528341E0,-2.168990135E0
5.331164167E-1,4.169795513E-1,1.093756676E0,-2.162512302E0
5.431114167E-1,4.331164658E-1,1.141016364E0,-2.138648987E0
5.531064167E-1,4.320794940E-1,1.161067963E0,-2.120681763E0
5.631014167E-1,4.156816006E-1,1.154608130E0,-2.125278950E0
5.730964167E-1,4.054339528E-1,1.117694139E0,-2.140865088E0
5.830914167E-1,4.031564295E-1,1.057174087E0,-2.157471657E0
5.930864167E-1,3.934089839E-1,9.871549606E-1,-2.158078432E0
6.030814167E-1,3.921852708E-1,9.175114632E-1,-2.129378080E0
6.130764167E-1,3.889343143E-1,8.629838824E-1,-2.074758053E0
6.230714167E-1,3.916035891E-1,8.386529684E-1,-2.009259939E0
6.330654167E-1,3.887681663E-1,8.359497786E-1,-1.941416264E0
6.430604167E-1,3.901604712E-1,8.579384685E-1,-1.866227746E0
6.530554167E-1,3.900771439E-1,9.030394554E-1,-1.777748466E0
6.630504167E-1,3.941989243E-1,9.705524445E-1,-1.681118369E0
6.730454167E-1,3.905919194E-1,1.032382607E0,-1.563549638E0
6.830404167E-1,3.823172152E-1,1.084865093E0,-1.419251800E0
6.930354167E-1,3.790148497E-1,1.114930272E0,-1.264533281E0
7.030304167E-1,3.826497793E-1,1.123306751E0,-1.105059505E0
7.130254167E-1,3.961869478E-1,1.118494987E0,-9.520058036E-1
7.230204167E-1,4.135195911E-1,1.117133498E0,-8.117469549E-1
7.330154167E-1,4.206584692E-1,1.128609300E0,-6.781278849E-1
7.430104167E-1,4.175084531E-1,1.152771711E0,-5.456137657E-1
7.530044167E-1,4.135785103E-1,1.190875173E0,-4.156923890E-1
7.629994167E-1,4.068417549E-1,1.237444043E0,-3.014302850E-1
7.729944167E-1,4.055245519E-1,1.288985848E0,-2.107951194E-1
7.829894167E-1,4.093797207E-1,1.331755996E0,-1.368788183E-1
7.929844167E-1,4.010946155E-1,1.370429158E0,-7.946126908E-2
8.029794167E-1,3.937136531E-1,1.409546971E0,-2.754187956E-2
8.129744167E-1,3.916744292E-1,1.450996280E0,2.123129182E-2
8.229694167E-1,3.917545974E-1,1.492638350E0,8.448509127E-2
8.329644167E-1,3.915278018E-1,1.537758708E0,1.554360837E-1
8.429594167E-1,3.879517019E-1,1.589923978E0,2.272138745E-1
8.529544167E-1,3.753950298E-1,1.634636760E0,2.810355127E-1
8.629484167E-1,3.547201157E-1,1.655797958E0,3.079981506E-1
8.729434167E-1,3.214474618E-1,1.662234783E0,3.132271767E-1
8.829384167E-1,2.869014442E-1,1.669934273E0,2.963310182E-1
8.929334167E-1,2.429542840E-1,1.693654895E0,2.817157507E-1
9.029284167E-1,1.879347116E-1,1.744820833E0,2.746583819E-1
9.129234167E-1,1.231732965E-1,1.804231405E0,2.748650312E-1
9.229184167E-1,5.987874791E-2,1.854731441E0,2.742061615E-1
9.329134167E-1,-5.199066363E-3,1.905303955E0,2.693576217E-1
9.429084167E-1,-6.037230417E-2,1.933857322E0,2.497141361E-1
9.529034167E-1,-1.012532189E-1,1.918364286E0,2.121460885E-1
9.628984167E-1,-1.308438629E-1,1.866991997E0,1.689347029E-1
9.728934167E-1,-1.477341652E-1,1.787844539E0,1.352883279E-1
9.828874167E-1,-1.608108282E-1,1.704933882E0,1.204590425E-1
9.928824167E-1,-1.768893600E-1,1.606385469E0,1.302890182E-1
1.002877417E0,-1.896070242E-1,1.482309937E0,1.592050791E-1
1.012872417E0,-1.905279160E-1,1.328122139E0,1.778215915E-1
1.022867417E0,-1.881984472E-1,1.146988034E0,1.896550804E-1
1.032862417E0,-1.709182858E-1,9.550027251E-1,2.192862481E-1
1.042857667E0,-1.527976096E-1,7.845111489E-1,2.939261198E-1
1.052852667E0,-1.385121644E-1,6.450903416E-1,4.240911007E-1
1.062847667E0,-1.233960539E-1,5.513164401E-1,5.997816920E-1
1.072842667E0,-1.050444841E-1,4.911265969E-1,8.204789162E-1
1.082837667E0,-1.176409647E-1,4.739539921E-1,1.021139026E0
1.092831667E0,-1.386339068E-1,4.639469385E-1,1.138105392E0
