"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.534999992E-4,-4.599784698E0,-1.517544250E0,8.122858429E0
9.841499999E-3,-4.568050690E0,-1.550326080E0,8.273594971E0
1.983650000E-2,-4.403393097E0,-1.557062073E0,8.559350739E0
2.983150000E-2,-4.099075928E0,-1.566941528E0,8.794362030E0
3.982550000E-2,-3.826343079E0,-1.528770905E0,8.948092346E0
4.982050000E-2,-3.626358948E0,-1.512454834E0,8.983568573E0
5.981550000E-2,-3.560495911E0,-1.530716858E0,8.945547638E0
6.981050000E-2,-3.563489685E0,-1.513053589E0,8.842861176E0
7.980550000E-2,-3.600163422E0,-1.464404755E0,8.675509186E0
8.979950000E-2,-3.651656342E0,-1.413959656E0,8.547824707E0
9.979450000E-2,-3.699706421E0,-1.401834869E0,8.441096649E0
1.097895000E-1,-3.712579651E0,-1.393901367E0,8.335266724E0
1.197845000E-1,-3.659589844E0,-1.389261017E0,8.253386993E0
1.297785000E-1,-3.556304626E0,-1.371897125E0,8.174501038E0
1.397735000E-1,-3.380420380E0,-1.338516541E0,8.116122437E0
1.497685000E-1,-3.180585938E0,-1.288370819E0,8.040529633E0
1.597633750E-1,-3.066672821E0,-1.262025604E0,7.916737061E0
1.697573750E-1,-3.033591614E0,-1.276395721E0,7.773484955E0
1.797523750E-1,-2.968177643E0,-1.283281403E0,7.687114563E0
1.897473750E-1,-2.896327057E0,-1.261576538E0,7.637567596E0
1.997423750E-1,-2.876268768E0,-1.254990234E0,7.600145416E0
2.097363750E-1,-2.863844604E0,-1.355581055E0,7.545059967E0
2.197313750E-1,-2.903661804E0,-1.478176117E0,7.477250977E0
2.297263750E-1,-3.134781189E0,-1.568438416E0,7.338639221E0
2.397213750E-1,-3.568878479E0,-1.603615265E0,7.106921082E0
2.497153750E-1,-4.003724213E0,-1.632355499E0,6.886728973E0
2.597103750E-1,-4.280199280E0,-1.671274567E0,6.746171265E0
2.697053750E-1,-4.369713135E0,-1.665586395E0,6.587201843E0
2.797003750E-1,-4.419709167E0,-1.705403595E0,6.489754486E0
2.896953750E-1,-4.342769165E0,-1.751956787E0,6.480324097E0
2.996893750E-1,-4.189487915E0,-1.717378693E0,6.583160248E0
3.096843750E-1,-4.033811646E0,-1.677860870E0,6.625372467E0
3.196793750E-1,-3.886068878E0,-1.727557526E0,6.549031219E0
3.296743750E-1,-3.791166229E0,-1.884281616E0,6.425687714E0
3.396683750E-1,-3.714226227E0,-2.047592010E0,6.244264984E0
3.496633750E-1,-3.674558716E0,-2.193388824E0,5.957611084E0
3.596583750E-1,-3.704646149E0,-2.349813538E0,5.604944458E0
3.696533750E-1,-3.729494476E0,-2.431543579E0,5.320535889E0
3.796473750E-1,-3.860621796E0,-2.299368439E0,5.242697754E0
3.896423750E-1,-4.210444336E0,-2.146386566E0,5.091961212E0
3.996373750E-1,-4.396058350E0,-2.081571350E0,4.873265991E0
4.096323750E-1,-4.591252441E0,-2.223176880E0,4.677473145E0
4.196273750E-1,-4.911586304E0,-2.557731171E0,4.483775940E0
4.296213750E-1,-5.076243896E0,-2.938389587E0,4.346361694E0
4.396163750E-1,-5.028044128E0,-3.274291077E0,4.220772858E0
4.496113750E-1,-4.858895874E0,-3.570974121E0,4.113595734E0
4.596063750E-1,-4.657564545E0,-3.840713196E0,3.966601410E0
4.696003750E-1,-4.527634735E0,-4.047732697E0,3.941603394E0
4.795953750E-1,-4.780758362E0,-4.262536011E0,3.846850433E0
4.895903750E-1,-5.443130951E0,-4.597389679E0,3.671714630E0
4.995853750E-1,-6.068231049E0,-5.054688721E0,3.447780304E0
5.095793750E-1,-6.569837952E0,-5.628146210E0,3.136128387E0
5.195743750E-1,-7.053182831E0,-6.324198761E0,2.756517792E0
5.295693750E-1,-7.465874634E0,-6.975494385E0,2.434088287E0
5.395643750E-1,-7.755372620E0,-7.528444519E0,2.086511078E0
5.495583750E-1,-8.022566986E0,-8.024063873E0,1.598226471E0
5.595533750E-1,-8.424780579E0,-8.509654083E0,9.521699524E-1
5.695483750E-1,-9.116641846E0,-9.131461029E0,2.472857666E-1
5.795433750E-1,-9.874515839E0,-9.767338715E0,-2.182461548E-1
5.895383750E-1,-1.032747391E1,-1.023122406E1,-4.757107544E-1
5.995323750E-1,-1.029963181E1,-1.031504974E1,-5.789959717E-1
6.095273750E-1,-9.866282959E0,-1.008587631E1,-5.812413025E-1
6.195223750E-1,-9.297615509E0,-9.760153656E0,-5.766009521E-1
6.295163750E-1,-8.755143585E0,-9.460327148E0,-5.480104065E-1
6.395113750E-1,-8.251291351E0,-9.254654846E0,-4.812492371E-1
6.495063750E-1,-7.816595306E0,-9.227411499E0,-4.074526978E-1
6.595013750E-1,-7.611970825E0,-9.380543060E0,-5.110372925E-1
6.694963750E-1,-7.671846313E0,-9.684560852E0,-6.536906433E-1
6.794903750E-1,-7.734416199E0,-9.956245880E0,-7.008425903E-1
6.894853750E-1,-7.619754639E0,-1.001926483E1,-7.632627869E-1
6.994803750E-1,-7.408843231E0,-9.854307861E0,-8.575666809E-1
7.094753750E-1,-7.234306183E0,-9.640252991E0,-1.005309448E0
7.194693750E-1,-7.125781860E0,-9.456285553E0,-1.164727936E0
7.294643750E-1,-7.037764893E0,-9.402247925E0,-1.221909027E0
7.394593750E-1,-6.965764618E0,-9.425299988E0,-1.198557587E0
7.494543750E-1,-6.873107300E0,-9.443112946E0,-1.195114746E0
7.594483750E-1,-6.752458191E0,-9.461524658E0,-1.165326691E0
7.694433750E-1,-6.628665619E0,-9.477840729E0,-1.079405365E0
7.794383750E-1,-6.488556976E0,-9.479487305E0,-1.033450928E0
7.894333750E-1,-6.313570862E0,-9.476942596E0,-1.030906219E0
7.994273750E-1,-6.158792725E0,-9.516759796E0,-1.017284546E0
8.094223750E-1,-5.984555054E0,-9.527986450E0,-1.025367737E0
8.194173750E-1,-5.772146759E0,-9.510323181E0,-1.031055908E0
8.294123750E-1,-5.612129517E0,-9.589209137E0,-9.948312378E-1
8.394063750E-1,-5.503605194E0,-9.862540741E0,-9.401948547E-1
8.494013750E-1,-5.411396942E0,-1.028107040E1,-8.440946960E-1
8.593963750E-1,-5.333558807E0,-1.083940933E1,-6.577322388E-1
8.693913750E-1,-5.095853119E0,-1.123279129E1,-3.806584167E-1
8.793863750E-1,-4.662953339E0,-1.124611359E1,-8.846603394E-2
8.893803750E-1,-4.189338226E0,-1.107951004E1,2.131567383E-1
8.993753750E-1,-3.763922882E0,-1.103145996E1,5.887257385E-1
9.093703750E-1,-3.370391235E0,-1.102906494E1,9.018745422E-1
9.193653750E-1,-3.100801849E0,-1.117590958E1,1.098864899E0
9.293593750E-1,-2.969075775E0,-1.142499161E1,1.284478912E0
9.393543750E-1,-2.945874023E0,-1.167497177E1,1.615740051E0
9.493493750E-1,-2.935545502E0,-1.180280594E1,1.881886597E0
9.593443750E-1,-2.763702850E0,-1.169712570E1,2.200573883E0
9.693383750E-1,-2.596051483E0,-1.156240585E1,2.568359070E0
9.793333750E-1,-2.490221558E0,-1.147947830E1,2.820734253E0
9.893283750E-1,-2.529739380E0,-1.151226013E1,3.118614807E0
9.993233750E-1,-2.752625885E0,-1.171868088E1,3.294648743E0
1.009317375E0,-3.005001068E0,-1.190309738E1,3.559747467E0
1.019312375E0,-3.185525665E0,-1.196417038E1,3.868255920E0
1.029307375E0,-3.286415863E0,-1.191417435E1,4.082310791E0
1.039302375E0,-3.363056488E0,-1.190953400E1,4.260140991E0
1.049296375E0,-3.419339447E0,-1.188528442E1,4.475842438E0
1.059291375E0,-3.470532990E0,-1.187779999E1,4.646337891E0
1.069286375E0,-3.517834625E0,-1.187226151E1,4.913831635E0
1.079281375E0,-3.475323029E0,-1.187076462E1,5.170398102E0
1.089275375E0,-3.334765320E0,-1.193243637E1,5.403014374E0
1.099270375E0,-3.138074341E0,-1.200713104E1,5.614225159E0
1.109265375E0,-2.910547485E0,-1.207029968E1,5.767356720E0
1.119260375E0,-2.693349152E0,-1.211236221E1,5.914800110E0
1.129254375E0,-2.463277588E0,-1.210832062E1,6.089935913E0
1.139249375E0,-2.284100189E0,-1.198048645E1,6.283333740E0
1.149244375E0,-2.176024933E0,-1.187106400E1,6.552623749E0
1.159239125E0,-2.171983337E0,-1.173694290E1,6.713389435E0
1.169234125E0,-2.209405518E0,-1.162931671E1,6.852001190E0
1.179228125E0,-2.361489258E0,-1.166688858E1,6.886429596E0
1.189223125E0,-2.616109772E0,-1.189022415E1,6.854246521E0
1.199218125E0,-2.856360168E0,-1.220576797E1,6.778653717E0
1.209213125E0,-3.023113403E0,-1.229318619E1,6.652017059E0
1.219207125E0,-3.251538391E0,-1.212373856E1,6.467151489E0
1.229202125E0,-3.600313110E0,-1.166733765E1,6.092480621E0
1.239197125E0,-4.102219391E0,-1.115749786E1,5.790857849E0
1.249192125E0,-4.771777039E0,-1.094643677E1,5.585784302E0
1.259186125E0,-5.388344879E0,-1.083536774E1,5.498216400E0
1.269181125E0,-5.775589600E0,-1.080198715E1,5.436544647E0
1.279176125E0,-5.905369720E0,-1.079689774E1,5.302872620E0
1.289171125E0,-5.789660339E0,-1.064661026E1,5.235363007E0
1.299165125E0,-5.621110840E0,-1.030157776E1,5.254074097E0
1.309160125E0,-5.451363831E0,-9.992620239E0,5.304818573E0
1.319155125E0,-5.401966553E0,-9.857601013E0,5.313949585E0
1.329150125E0,-5.407355347E0,-9.852062531E0,5.310357056E0
1.339144125E0,-5.370382233E0,-9.785451050E0,5.297034760E0
1.349139125E0,-5.288352814E0,-9.460327148E0,5.386249237E0
1.359134125E0,-5.217699738E0,-9.021290131E0,5.350174255E0
1.369129125E0,-5.152884521E0,-8.647218018E0,5.331762543E0
1.379123125E0,-5.174140320E0,-8.411607971E0,5.360652466E0
1.389118125E0,-5.250481567E0,-8.145461426E0,5.357658691E0
