"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.232866667E-2,-1.367236894E-1,-3.327372685E-2,8.715041041E-2
2.232366667E-2,-5.043281972E-2,-5.562163889E-5,1.150211638E-1
3.231866667E-2,8.539273739E-2,6.730656847E-3,1.332972211E-1
4.231366667E-2,1.976393974E-1,5.547545850E-4,1.208829975E-1
5.230766667E-2,2.449123818E-1,-1.791477241E-2,1.038588291E-1
6.230266667E-2,2.340798301E-1,-3.678994998E-3,1.124770403E-1
7.229766667E-2,2.108815867E-1,1.283405364E-2,7.621611714E-2
8.229266667E-2,2.232051784E-1,1.002950974E-2,5.733253419E-2
9.228766667E-2,2.616143686E-1,-1.049136668E-2,1.272529542E-2
1.022826667E-1,2.805213404E-1,-4.712578073E-2,-3.613579273E-4
1.122776667E-1,3.549160498E-1,-1.000373083E-1,-1.705281973E-2
1.222726667E-1,4.095413232E-1,-1.377544074E-1,1.327434897E-2
1.322666667E-1,5.201700586E-1,-1.575519101E-1,3.097620964E-2
1.422616667E-1,6.023807412E-1,-1.850946347E-1,2.137098849E-2
1.522566667E-1,6.452887791E-1,-1.953525513E-1,-2.146103561E-2
1.622516667E-1,5.779054660E-1,-2.357166850E-1,-1.046879643E-1
1.722466667E-1,5.056221861E-1,-2.362263429E-1,-1.108772421E-1
1.822416667E-1,4.953065282E-1,-1.740748990E-1,-1.620924193E-1
1.922366667E-1,4.369162327E-1,-1.021958079E-1,-2.367613631E-1
2.022316667E-1,4.150470614E-1,-7.987603560E-2,-1.314284509E-1
2.122266667E-1,5.497850364E-1,-1.174492932E-1,-7.734930754E-2
2.222206667E-1,7.783544505E-1,-1.924714820E-1,-7.460228562E-2
2.322156667E-1,1.068390380E0,-2.431160440E-1,-3.483244836E-2
2.422106667E-1,1.259854533E0,-3.394813740E-1,4.123456478E-2
2.522056667E-1,1.572605726E0,-4.404235388E-1,4.703149438E-2
2.622006667E-1,1.921007978E0,-5.516959796E-1,1.993023455E-2
