"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.338000000E-3,-6.499633942E0,-9.226812744E-1,7.438182220E0
1.133300000E-2,-6.418802032E0,-9.163943481E-1,7.447762299E0
2.132800000E-2,-6.395300903E0,-8.922944641E-1,7.433990936E0
3.132300000E-2,-6.355483704E0,-8.867559814E-1,7.500901794E0
4.131700000E-2,-6.398594055E0,-9.253756714E-1,7.530540161E0
5.131200000E-2,-6.377787323E0,-9.310638428E-1,7.538773041E0
6.130700000E-2,-6.367009735E0,-9.177415466E-1,7.529492340E0
7.130200000E-2,-6.386918335E0,-9.093589783E-1,7.480693817E0
8.129700000E-2,-6.394851837E0,-9.029223633E-1,7.476203156E0
9.129200000E-2,-6.403833160E0,-9.042695618E-1,7.470814362E0
1.012870000E-1,-6.382727051E0,-9.075627136E-1,7.495063934E0
1.112820000E-1,-6.386618958E0,-8.993298340E-1,7.515870667E0
1.212760000E-1,-6.368806000E0,-9.036708069E-1,7.505093079E0
1.312710000E-1,-6.395600281E0,-9.050180054E-1,7.457791443E0
1.412660000E-1,-6.415808258E0,-9.035211182E-1,7.424859924E0
1.512610000E-1,-6.433471527E0,-9.148974609E-1,7.426356812E0
1.612560000E-1,-6.433022461E0,-9.280700684E-1,7.440726929E0
1.712510000E-1,-6.420448608E0,-9.295669556E-1,7.483388214E0
1.812450000E-1,-6.396498413E0,-9.258247375E-1,7.504194946E0
1.912400000E-1,-6.347101135E0,-9.223818970E-1,7.535330200E0
2.012350000E-1,-6.336473236E0,-9.095086670E-1,7.547305298E0
2.112300000E-1,-6.356980591E0,-8.973838806E-1,7.537725220E0
2.212250000E-1,-6.382427673E0,-9.011260986E-1,7.517666931E0
2.312200000E-1,-6.381230164E0,-9.099577332E-1,7.456743622E0
2.412150000E-1,-6.397995300E0,-9.065148926E-1,7.427853699E0
2.512090000E-1,-6.420448608E0,-9.069639587E-1,7.406148834E0
2.612040000E-1,-6.429429932E0,-9.020242310E-1,7.420668640E0
2.711990000E-1,-6.404731293E0,-9.105564880E-1,7.465575256E0
2.811940000E-1,-6.410269775E0,-9.259744263E-1,7.481591949E0
2.911890000E-1,-6.380182343E0,-9.145980835E-1,7.513924713E0
3.011840000E-1,-6.374045105E0,-9.189390564E-1,7.496710510E0
3.111790000E-1,-6.406527557E0,-9.160949707E-1,7.478149109E0
3.211730000E-1,-6.425388336E0,-8.958869934E-1,7.434889069E0
3.311680000E-1,-6.417454834E0,-8.580157471E-1,7.408693542E0
3.411630000E-1,-6.413113861E0,-8.830137634E-1,7.435338135E0
3.511580000E-1,-6.462211761E0,-9.449848938E-1,7.519313507E0
3.611530000E-1,-6.440207520E0,-9.355545044E-1,7.524702301E0
3.711480000E-1,-6.352040863E0,-9.011260986E-1,7.505542145E0
3.811430000E-1,-6.321504364E0,-8.800199890E-1,7.461533661E0
3.911370000E-1,-6.382427673E0,-9.084608459E-1,7.455695801E0
4.011320000E-1,-6.431675262E0,-9.262738037E-1,7.445816345E0
4.111270000E-1,-6.437962189E0,-9.313632202E-1,7.461084595E0
4.211220000E-1,-6.436315613E0,-9.298663330E-1,7.503596191E0
4.311170000E-1,-6.393654327E0,-9.648934937E-1,7.583979034E0
4.411120000E-1,-6.312373352E0,-9.136999512E-1,7.594008179E0
4.511070000E-1,-6.308780823E0,-8.785231018E-1,7.535180511E0
4.611010000E-1,-6.353986816E0,-8.749305725E-1,7.454797668E0
4.710960000E-1,-6.425987091E0,-8.842112732E-1,7.398963776E0
4.810910000E-1,-6.485563202E0,-8.948391724E-1,7.395371246E0
4.910860000E-1,-6.452781372E0,-9.057664490E-1,7.430847473E0
5.010810000E-1,-6.399192810E0,-9.232800293E-1,7.467670898E0
5.110760000E-1,-6.364614716E0,-9.289682007E-1,7.500602417E0
5.210710000E-1,-6.347400513E0,-9.247769165E-1,7.532935181E0
5.310650000E-1,-6.372997284E0,-9.238787842E-1,7.549101563E0
5.410600000E-1,-6.402935028E0,-9.147477722E-1,7.537425842E0
5.510550000E-1,-6.398893433E0,-8.957373047E-1,7.478747864E0
