"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.987416667E-3,2.347793663E-3,4.050431773E-3,3.074384760E-3
1.698141667E-2,4.035438877E-3,2.002995461E-4,-2.541156951E-3
2.697641667E-2,-2.663264982E-3,-2.427763306E-3,-3.750907723E-3
3.697141667E-2,-1.074291649E-4,-3.518292215E-4,-1.281891018E-3
4.696641667E-2,-5.893548951E-5,-3.114722203E-4,6.725476123E-4
5.696125000E-2,1.421331835E-4,-2.689674962E-3,-2.768788952E-3
6.695525000E-2,-9.886631742E-4,-1.250343863E-3,-1.244887710E-3
7.695025000E-2,7.674252265E-4,7.920783944E-3,-1.022513490E-3
8.694525000E-2,2.179791918E-4,1.623868570E-2,2.048461232E-3
9.694025000E-2,2.487258753E-3,1.791727729E-2,1.691597514E-3
1.069342500E-1,2.320617205E-3,1.585428789E-2,-4.308437929E-5
1.169292500E-1,-1.590234693E-3,1.233518776E-2,-4.625325091E-4
1.269242500E-1,1.839959761E-3,9.933266789E-3,-6.535751745E-4
1.369192500E-1,1.849014545E-3,1.108428463E-2,-3.935122397E-3
1.469142500E-1,-1.439057291E-3,4.123059101E-3,-2.010421362E-3
1.569082500E-1,3.005225910E-3,6.758635864E-4,-1.250621397E-3
1.669032500E-1,7.313914830E-5,-3.273813752E-3,-2.136247233E-3
1.768982500E-1,2.637763275E-3,-1.988572301E-3,-1.684309449E-3
1.868932500E-1,-1.655185129E-3,-5.431480240E-4,-1.158565283E-4
1.968882500E-1,1.621301984E-3,-3.253180766E-3,-2.400582656E-3
2.068822500E-1,-1.438749372E-3,-9.387171827E-3,-7.716161199E-4
2.168772500E-1,1.059295610E-3,-1.084818132E-2,-4.241448827E-3
2.268722500E-1,4.010907374E-3,-1.237852126E-2,-4.116250202E-4
2.368672500E-1,1.727595372E-4,-1.275882125E-2,3.758715466E-4
2.468612500E-1,1.066250028E-3,-1.093242504E-2,-1.133874524E-3
2.568562500E-1,-8.256596047E-4,-5.832471419E-3,5.620266311E-4
2.668512500E-1,1.609553350E-3,-4.562414251E-4,-6.060767919E-4
2.768462500E-1,7.557438221E-4,-5.168172531E-3,-1.138176303E-3
2.868412500E-1,-9.434074746E-4,-1.350418851E-2,-3.881908022E-3
2.968352500E-1,-8.507064194E-5,-6.280097645E-3,-1.485062763E-3
3.068302500E-1,6.257864879E-5,-2.684332430E-4,-1.979349181E-4
3.168252500E-1,-2.317006292E-4,-2.017863560E-3,-1.495959703E-3
3.268202500E-1,2.857976593E-3,5.985285621E-3,-2.030982636E-3
3.368142500E-1,2.635252313E-4,8.230596781E-3,2.116357908E-3
3.468092500E-1,-1.753933029E-4,4.283079412E-3,3.002994461E-3
3.568042500E-1,-2.314444166E-3,-3.366584424E-3,2.030141652E-3
3.667992500E-1,3.877446754E-3,-1.084635407E-2,2.055609599E-3
3.767942500E-1,-8.046567091E-4,-1.080720499E-2,6.627766415E-4
3.867882500E-1,3.507410293E-5,-8.713212796E-3,-9.048422799E-4
