"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.740833334E-3,3.986720802E-1,-2.854742244E-1,1.180915368E-1
1.473483333E-2,7.225141257E-2,-2.214489672E-1,-9.174339831E-2
2.472883335E-2,-2.669194011E-1,-1.586735523E-1,-2.917643666E-1
3.472383335E-2,-5.437188426E-1,-1.082266992E-1,-4.473839182E-1
4.471783334E-2,-6.856465539E-1,-5.686738819E-2,-6.030262738E-1
5.471183333E-2,-6.860033803E-1,-3.274411529E-2,-6.493859231E-1
6.470683333E-2,-5.943205006E-1,6.510816157E-2,-5.870703918E-1
7.470083333E-2,-4.930904335E-1,1.236750430E-1,-4.512360638E-1
8.469483335E-2,-2.677276325E-1,1.656861180E-1,-3.275627750E-1
9.468983335E-2,-6.168227792E-2,2.077045020E-1,-1.953876346E-1
1.046838333E-1,1.520550889E-1,2.244184756E-1,-1.024315238E-1
1.146778333E-1,3.256498584E-1,2.422174001E-1,-2.418934643E-2
1.246728333E-1,3.756372665E-1,2.088882709E-1,4.625206053E-2
1.346668333E-1,3.032173079E-1,1.037825230E-1,9.395364583E-2
1.446608333E-1,1.933422786E-1,1.346789181E-2,4.343779564E-2
1.546558334E-1,6.137924597E-2,-7.876199484E-3,-1.042850912E-2
1.646498333E-1,-2.943020582E-2,-1.219875365E-2,-3.105982482E-2
1.746438333E-1,-7.490765646E-2,-1.156316131E-2,-1.710310578E-3
1.846388333E-1,-7.424502075E-2,-1.844738066E-2,2.464484453E-2
1.946328333E-1,-5.879082978E-3,-2.080614746E-2,8.198381066E-2
2.046268334E-1,1.991678596E-2,-4.155353040E-2,1.161695570E-1
2.146218334E-1,6.144985110E-2,-8.352835268E-2,1.716783446E-1
2.246158333E-1,4.403581962E-2,-1.026861700E-1,1.869056636E-1
2.346098333E-1,2.410660833E-3,-5.785439819E-2,1.521948373E-1
2.446048333E-1,-3.219023779E-2,-2.097483963E-2,1.150714499E-1
2.545988333E-1,-9.810633838E-2,3.581068754E-2,4.437802792E-2
2.645928333E-1,-1.612162140E-1,4.485223711E-2,-1.196281850E-2
2.745878333E-1,-1.999284361E-1,1.419967085E-2,-1.837779880E-3
2.845818333E-1,-1.977958104E-1,-1.639325380E-2,2.941500306E-2
2.945758333E-1,-1.584535508E-1,-1.098779529E-2,6.694184840E-2
3.045708333E-1,-9.847851366E-2,4.109130800E-3,8.666275263E-2
3.145648333E-1,-3.442416653E-2,-3.149690419E-2,1.436953247E-1
3.245588333E-1,9.638842642E-3,-6.149195105E-2,1.879359430E-1
3.345528333E-1,1.972251222E-2,-8.167683184E-2,2.034918755E-1
3.445478333E-1,3.553645313E-4,-2.431067616E-2,2.162534237E-1
3.545418333E-1,-6.725759804E-3,2.361514986E-2,2.481014532E-1
3.645358333E-1,-1.524953842E-3,4.102260321E-2,2.336933291E-1
