"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.272616666E-2,-2.996776253E-3,-2.856028453E-2,-5.199716240E-2
2.272016666E-2,3.138250113E-2,-1.557779014E-1,-6.559286267E-2
3.271416665E-2,5.879841372E-2,-2.111759037E-1,-6.941077113E-2
4.270716666E-2,6.651359797E-2,-1.914616525E-1,-5.721047148E-2
5.270116666E-2,7.040234655E-2,-1.377954930E-1,-3.929032758E-2
6.269516665E-2,6.439477950E-2,-7.049997151E-2,-2.510563657E-2
7.268916667E-2,5.312747881E-2,-4.597118590E-3,-2.175351605E-2
8.268316666E-2,4.624508321E-2,3.456486762E-2,-2.032384090E-2
9.267616665E-2,3.572399914E-2,4.459406435E-2,-1.434877329E-2
1.026701667E-1,2.998302132E-2,2.955701761E-2,-1.436873525E-2
1.126641667E-1,2.064784244E-2,-1.222466817E-3,-5.612793844E-3
1.226581667E-1,1.751863584E-2,-4.701310769E-2,-4.003377166E-3
1.326511667E-1,1.544057205E-2,-7.777474821E-2,5.608769599E-3
1.426451667E-1,1.082104724E-2,-8.786423504E-2,1.435401291E-2
1.526391667E-1,2.984429710E-3,-8.613025397E-2,2.282739431E-2
1.626331666E-1,-8.704992943E-3,-6.711041927E-2,2.149865031E-2
1.726271667E-1,-1.637409814E-2,-3.622041643E-2,1.903922111E-2
1.826201667E-1,-3.199033812E-2,-1.648647524E-2,1.551055536E-2
1.926141666E-1,-3.566576540E-2,-7.133186795E-3,1.011871919E-2
2.026081667E-1,-3.354829550E-2,-1.269503310E-2,6.037379149E-3
2.126021667E-1,-2.423628606E-2,-2.338043600E-2,-2.823224291E-3
2.225951666E-1,-9.452803060E-3,-4.567404836E-2,-1.132661663E-2
2.325891667E-1,5.589263979E-3,-6.646002084E-2,-1.549393125E-2
2.425831667E-1,1.986008510E-2,-7.966444641E-2,-1.865691319E-2
2.525771667E-1,2.078766562E-2,-9.056795388E-2,-1.782680303E-2
2.625711666E-1,2.821947448E-2,-9.579230100E-2,-1.522309892E-2
2.725641667E-1,3.403182328E-2,-8.894717693E-2,-1.451283507E-2
2.825581667E-1,3.482675925E-2,-7.575182617E-2,-1.132515818E-2
2.925521666E-1,3.448427841E-2,-5.501778424E-2,-2.763627563E-3
3.025461667E-1,3.299292922E-2,-3.203323483E-2,3.894725349E-3
3.125391667E-1,3.463050723E-2,-7.500727661E-3,9.426909499E-3
3.225331666E-1,3.685583174E-2,7.257143967E-3,1.578027569E-2
3.325271667E-1,3.969902173E-2,1.143511105E-2,1.612222567E-2
3.425211667E-1,4.882886261E-2,1.037861407E-2,1.418790128E-2
3.525151667E-1,4.888958111E-2,8.529847488E-3,1.366538927E-2
3.625081667E-1,4.687012732E-2,1.810089871E-2,1.341176406E-2
3.725021667E-1,4.315182194E-2,2.822463773E-2,1.553669944E-2
3.824961667E-1,3.853948787E-2,3.206530586E-2,2.153650112E-2
3.924901666E-1,2.968234755E-2,2.642846107E-2,2.487237751E-2
4.024831667E-1,1.994822547E-2,2.222820558E-2,2.458952740E-2
4.124771667E-1,1.305569708E-2,1.455510594E-2,2.760209516E-2
4.224711666E-1,3.594821319E-3,5.590248387E-3,2.428116649E-2
4.324651667E-1,-6.249819882E-3,-1.433838857E-3,1.810529456E-2
4.424591667E-1,-1.013298333E-2,-5.191536155E-3,1.378503442E-2
4.524521666E-1,-8.055451326E-3,-3.495102748E-3,1.104437560E-2
4.624460417E-1,-9.129785933E-3,4.265530966E-3,1.080429554E-2
4.724400417E-1,-4.366189241E-3,1.248857286E-2,1.415135711E-2
4.824340417E-1,-3.237627679E-4,1.836705208E-2,9.891226888E-3
4.924270417E-1,6.732015871E-3,2.126963064E-2,1.145450212E-2
5.024210417E-1,1.217340399E-2,2.322141454E-2,1.210281160E-3
5.124150417E-1,1.663446426E-2,1.958087459E-2,3.149861470E-3
5.224090416E-1,2.652331442E-2,1.317277551E-2,4.277976230E-3
5.324030417E-1,2.721200883E-2,6.339371204E-3,9.216275997E-3
5.423960417E-1,2.544845268E-2,3.758916631E-3,1.003774814E-2
5.523900416E-1,2.926449478E-2,1.762280054E-2,1.060340367E-2
5.623840417E-1,3.514127061E-2,3.110030293E-2,1.130178664E-2
5.723780417E-1,3.883534297E-2,4.507150874E-2,1.209460944E-2
5.823720417E-1,4.504266381E-2,5.255451798E-2,1.796602458E-2
5.923650417E-1,4.688211158E-2,5.217262357E-2,2.211815864E-2
6.023590417E-1,5.661462992E-2,4.444523901E-2,2.442258038E-2
6.123530417E-1,6.628323346E-2,3.838175163E-2,2.177353390E-2
6.223470416E-1,7.024338841E-2,3.562761098E-2,2.547984384E-2
6.323400417E-1,6.954004616E-2,3.392691538E-2,2.601993270E-2
6.423340417E-1,6.785450876E-2,2.879101038E-2,2.808047831E-2
6.523280416E-1,6.472023576E-2,2.734570950E-2,2.548762411E-2
6.623220417E-1,6.678043306E-2,2.700161561E-2,2.552814968E-2
6.723160417E-1,6.404909492E-2,2.916489914E-2,2.599473484E-2
6.823090416E-1,6.398571283E-2,3.010579571E-2,3.357995301E-2
6.923030417E-1,6.225198880E-2,3.329333290E-2,3.455946222E-2
7.022970417E-1,6.570266932E-2,3.238537908E-2,3.282245621E-2
7.122910417E-1,6.742972881E-2,2.907746471E-2,3.031722084E-2
7.222840417E-1,7.223512977E-2,3.178858384E-2,3.030142561E-2
7.322780417E-1,7.216668129E-2,3.173718601E-2,3.354622424E-2
7.422720417E-1,7.600775361E-2,2.881932259E-2,3.674995899E-2
7.522660416E-1,8.227390796E-2,2.348980680E-2,4.002537951E-2
7.622600417E-1,7.951381058E-2,2.026273310E-2,4.686015472E-2
7.722530417E-1,7.703174651E-2,1.500378828E-2,4.656933621E-2
7.822470416E-1,8.027628809E-2,1.578949764E-2,4.508315399E-2
7.922410417E-1,8.365450799E-2,2.364795282E-2,4.110971838E-2
8.022350417E-1,9.178511798E-2,3.129659593E-2,4.155749828E-2
8.122280416E-1,1.000931188E-1,4.078597203E-2,4.025840759E-2
8.222220417E-1,1.059001535E-1,4.570050910E-2,4.235627130E-2
8.322160417E-1,1.174936891E-1,4.366612062E-2,4.633130506E-2
8.422100417E-1,1.180305779E-1,3.415373713E-2,5.736846477E-2
8.522040416E-1,1.200223565E-1,3.102026135E-2,6.966747344E-2
8.621970417E-1,1.169994175E-1,2.952075750E-2,8.098948747E-2
8.721910416E-1,1.166220456E-1,2.357657999E-2,9.168501198E-2
8.821850417E-1,1.179003641E-1,2.055278607E-2,9.761401266E-2
8.921790417E-1,1.154143065E-1,3.212395310E-2,1.057957783E-1
9.021720416E-1,1.125777662E-1,4.254945740E-2,1.182166860E-1
9.121660417E-1,1.109881252E-1,5.676966906E-2,1.313782781E-1
