"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.414458333E-3,-4.128751132E-1,-5.062577784E-2,-1.930581039E-1
1.140945833E-2,-4.766606346E-1,-9.085257500E-2,-1.754433668E-1
2.140445833E-2,-2.158958665E-1,2.749623924E-2,-1.336158943E-1
3.139945833E-2,7.610735893E-3,5.916417450E-2,-6.419891953E-2
4.139345833E-2,1.975350246E-1,4.404122829E-2,4.245137036E-2
5.138845833E-2,3.224511391E-1,6.246405065E-2,8.727378666E-2
6.138345833E-2,2.969561094E-1,6.030116558E-2,1.357553905E-1
7.137845833E-2,1.573538357E-1,4.817257851E-2,1.198129570E-1
8.137345833E-2,-8.502143919E-3,8.199725926E-2,2.338243067E-2
9.136745833E-2,-1.245211351E-1,8.805497468E-2,-7.034902096E-2
1.013624583E-1,-2.169828638E-1,9.750933766E-2,-1.554119754E-1
1.113574583E-1,-2.156754264E-1,1.008273402E-1,-2.003121597E-1
1.213524583E-1,-2.114356104E-1,8.987433583E-2,-2.032322592E-1
1.313474583E-1,-1.715736794E-1,7.511099339E-2,-1.621432900E-1
1.413414583E-1,-9.642292500E-2,6.977160841E-2,-1.109561795E-1
1.513364583E-1,5.990472436E-3,6.417319179E-2,1.218852103E-2
1.613314583E-1,5.709455252E-2,5.773628443E-2,1.034360754E-1
1.713264583E-1,9.267193615E-2,3.430093646E-2,1.622502941E-1
1.813214583E-1,7.869358242E-2,9.589433670E-3,1.969874328E-1
1.913154583E-1,-2.245330811E-3,-6.381329566E-2,2.709558803E-1
2.013104583E-1,-3.996425718E-2,-1.283843905E-1,2.672662872E-1
2.113054583E-1,-5.728283286E-2,-1.366888985E-1,2.620435542E-1
2.213004583E-1,-1.508520243E-1,-1.710866064E-1,2.388967663E-1
2.312954583E-1,-1.556847480E-1,-1.463522995E-1,1.894410163E-1
2.412894583E-1,-1.304797402E-1,-1.440800714E-1,1.367201811E-1
2.512839167E-1,-1.015015242E-1,-1.410465360E-1,1.048698127E-1
2.612789167E-1,-9.111599207E-2,-1.196933815E-1,1.124179834E-1
2.712739167E-1,-8.328130782E-2,-1.418420497E-1,1.348075569E-1
2.812689167E-1,-6.756165326E-2,-1.337670448E-1,1.307431573E-1
2.912629167E-1,-4.260281324E-3,-8.310062885E-2,1.020116937E-1
3.012579167E-1,4.044051290E-2,-5.202472419E-2,1.178126246E-1
3.112529167E-1,6.298913062E-2,-5.782428503E-2,1.255672020E-1
3.212479167E-1,9.820194036E-2,-6.541981816E-2,1.112865472E-1
3.312429167E-1,1.055954522E-1,-9.915854484E-2,1.244112074E-1
3.412369167E-1,1.336360672E-1,-1.056349209E-1,1.441566700E-1
3.512319167E-1,1.419587016E-1,-1.106968555E-1,1.355963463E-1
3.612269167E-1,1.688939005E-1,-9.150687844E-2,1.260069126E-1
3.712219167E-1,1.538282570E-1,-9.028597981E-2,1.320254517E-1
3.812169167E-1,1.518536523E-1,-9.034503669E-2,1.301870871E-1
3.912109167E-1,1.866247049E-1,-9.567974389E-2,1.357132906E-1
4.012059167E-1,2.214936984E-1,-1.035647142E-1,1.684536052E-1
4.112009167E-1,2.610498199E-1,-1.498243761E-1,2.117832273E-1
4.211959167E-1,3.421507010E-1,-1.956054434E-1,2.137496459E-1
4.311909167E-1,3.984397995E-1,-1.976534307E-1,2.111318475E-1
4.411849167E-1,4.821497083E-1,-1.810251188E-1,1.953835416E-1
4.511799167E-1,5.817166811E-1,-2.030863711E-1,2.070943451E-1
4.611749167E-1,6.302038398E-1,-2.074711981E-1,2.058178979E-1
4.711699167E-1,7.144864833E-1,-1.596593928E-1,2.361596847E-1
4.811649167E-1,8.203552929E-1,-1.073870391E-1,2.019347620E-1
4.911589167E-1,8.973078668E-1,-8.023140013E-2,1.125776124E-1
5.011539167E-1,9.432202041E-1,-8.976528525E-2,5.933228195E-2
5.111489167E-1,9.600356269E-1,-1.411514935E-1,1.136336195E-1
5.211439167E-1,9.666137445E-1,-2.336450896E-1,2.120726645E-1
5.311389167E-1,9.622534758E-1,-2.721355560E-1,2.416186452E-1
5.411329167E-1,9.011810625E-1,-2.535387790E-1,1.508067083E-1
5.511279167E-1,8.341789877E-1,-1.875105581E-1,9.000619054E-3
5.611229167E-1,7.651344806E-1,-1.417403081E-1,6.426090002E-4
