"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.470250001E-3,-2.411505766E-2,1.224010438E-2,-2.964561060E-2
1.746525000E-2,-2.966428548E-2,2.098858729E-2,-2.392727137E-2
2.746025000E-2,-3.021756932E-2,2.703291923E-2,-2.438283898E-2
3.745525000E-2,-3.284530714E-2,2.569894120E-2,-2.572534047E-2
4.744925000E-2,-3.272524849E-2,2.210346609E-2,-2.443497628E-2
5.744425000E-2,-3.294362873E-2,2.544972673E-2,-2.287835628E-2
6.743925000E-2,-2.709907666E-2,2.730957605E-2,-2.260481939E-2
7.743425000E-2,-2.299408056E-2,2.471832186E-2,-1.899091154E-2
8.742925000E-2,-1.805866323E-2,1.963322237E-2,-2.498069033E-2
9.742425000E-2,-1.919583417E-2,9.517204016E-3,-3.117227182E-2
1.074192500E-1,-1.674637198E-2,7.260988932E-3,-3.647074103E-2
1.174132500E-1,-1.546406001E-2,8.145423606E-3,-4.132860899E-2
1.274082500E-1,-1.728822663E-2,3.319160547E-3,-4.034657404E-2
1.374032500E-1,-1.844936423E-2,7.436407730E-3,-3.880034387E-2
1.473982500E-1,-1.130120456E-2,1.269388199E-2,-3.794515878E-2
1.573932500E-1,-1.095632464E-2,1.622736454E-2,-3.559518605E-2
1.673882500E-1,-1.081357989E-2,1.869052276E-2,-3.500130028E-2
1.773822500E-1,-9.496646002E-3,1.896988787E-2,-3.601463512E-2
1.873772500E-1,-7.222580723E-3,1.609896496E-2,-3.678055108E-2
1.973722500E-1,-4.626797512E-3,1.009300351E-2,-3.614325821E-2
2.073672500E-1,-1.571398461E-3,1.407262497E-2,-3.503984213E-2
2.173622500E-1,-5.178520223E-4,1.450432278E-2,-3.527473286E-2
2.273572500E-1,5.624264944E-3,1.532781683E-2,-3.474379703E-2
2.373512500E-1,7.261842489E-3,5.940707400E-3,-3.098021448E-2
2.473462500E-1,8.442413993E-3,-2.365289256E-4,-2.994237095E-2
2.573412500E-1,1.271945052E-2,-2.390759997E-3,-2.543283999E-2
2.673362500E-1,1.477047522E-2,-6.742224097E-3,-2.240462229E-2
2.773312500E-1,1.845975220E-2,-1.302515343E-2,-1.967861131E-2
2.873262500E-1,2.535373718E-2,-1.420621015E-2,-1.094762050E-2
2.973212500E-1,3.047792614E-2,-1.731172204E-2,-4.198638257E-3
3.073152500E-1,3.156972304E-2,-2.075723559E-2,1.596273854E-3
3.173102500E-1,3.783907369E-2,-2.248988859E-2,9.223833680E-3
3.273052500E-1,3.575790673E-2,-2.187664621E-2,8.064153604E-3
3.373002500E-1,3.939685225E-2,-2.138982154E-2,1.360778883E-2
3.472952500E-1,3.490105644E-2,-1.821957901E-2,1.585539244E-2
3.572902500E-1,3.770616651E-2,-1.564909704E-2,1.700507849E-2
3.672852500E-1,3.385586292E-2,-6.858350709E-3,1.707151905E-2
3.772792500E-1,2.765975334E-2,2.421167213E-3,1.680573449E-2
3.872742500E-1,2.026058920E-2,-3.131475532E-3,1.492835768E-2
3.972692500E-1,1.436941046E-2,3.495001700E-3,1.407561358E-2
4.072642500E-1,2.498695627E-3,9.306296706E-3,8.153988048E-3
4.172592500E-1,-2.291265875E-3,1.915040612E-2,8.575832471E-3
4.272542500E-1,-1.146775763E-2,1.985756680E-2,6.254941225E-3
4.372482500E-1,-1.897174679E-2,2.694104426E-2,6.663204171E-3
4.472432500E-1,-3.208646923E-2,5.067733303E-2,5.631207023E-3
4.572382500E-1,-4.427655414E-2,7.408092916E-2,5.565160885E-3
4.672332500E-1,-5.435118079E-2,9.982275963E-2,6.499504671E-3
4.772282500E-1,-5.946844444E-2,1.289308518E-1,2.824608702E-3
4.872232500E-1,-6.342707574E-2,1.500785202E-1,-6.560487673E-3
4.972172500E-1,-6.312960386E-2,1.665096879E-1,-1.377792004E-2
5.072122500E-1,-6.228270754E-2,1.812109053E-1,-1.947336830E-2
5.172072500E-1,-6.334291399E-2,2.006421238E-1,-2.426306345E-2
5.272022500E-1,-6.283374876E-2,2.276360542E-1,-3.641795367E-2
5.371972500E-1,-7.354258001E-2,2.671749592E-1,-5.364727229E-2
5.471922500E-1,-8.960676938E-2,3.296940029E-1,-7.200471312E-2
5.571872500E-1,-1.026040614E-1,4.100500941E-1,-1.038934067E-1
