"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.810502300E-2,1.114919782E-3,1.657009125E-2,-4.382801056E-2
2.610158000E-2,1.337306201E-2,-1.097989082E-2,-2.337551117E-2
3.409613800E-2,-2.786795795E-2,-4.844951630E-2,5.561542511E-2
4.209154100E-2,-6.873483956E-2,-1.075243950E-2,5.367946625E-2
5.008694500E-2,-9.733647108E-2,-1.217126846E-3,9.774208069E-2
5.808265600E-2,-1.372029483E-1,1.987051964E-2,1.448202133E-1
6.611029000E-2,-1.518194377E-1,1.799535751E-2,1.818895340E-1
7.410384700E-2,-1.501413882E-1,-9.325504303E-3,2.360992432E-1
8.209902000E-2,-1.385754049E-1,-3.381538391E-2,1.917734146E-1
9.009650100E-2,-1.677640080E-1,-1.904225349E-2,1.805772781E-1
9.809190400E-2,-1.452877820E-1,1.876044273E-2,1.700696945E-1
1.060885390E-1,-1.608976424E-1,4.975962639E-2,1.421384811E-1
1.140827880E-1,-2.080073357E-1,6.868314743E-2,1.093854904E-1
1.221080370E-1,-2.077477872E-1,9.022688866E-2,8.802700043E-2
1.301052100E-1,-1.670415998E-1,1.142337322E-1,8.231925964E-2
1.380996910E-1,-1.700275540E-1,1.176507473E-1,8.826923370E-2
1.460967100E-1,-1.017800570E-1,1.126070023E-1,5.895328522E-2
1.540921130E-1,1.344645023E-2,1.027922630E-1,4.813289642E-2
1.620874400E-1,8.199039102E-2,8.151507378E-2,1.110076904E-2
1.700831500E-1,1.399419308E-1,6.046676636E-2,-6.146049500E-2
1.781087080E-1,1.590097547E-1,8.517003059E-2,-9.853172302E-2
1.861053420E-1,1.832919717E-1,9.038257599E-2,-1.046266556E-1
1.941001300E-1,1.508772969E-1,8.895683289E-2,-1.126966476E-1
2.020952260E-1,1.124099791E-1,9.318757057E-2,-9.693145752E-2
2.100910150E-1,3.807911277E-2,6.010270119E-2,-8.431529999E-2
2.180869570E-1,-5.979177356E-2,2.655100822E-2,-6.496334076E-2
2.260836670E-1,-1.168356240E-1,4.535102844E-2,-2.359676361E-2
2.341091480E-1,-1.317520142E-1,3.639340401E-2,-4.894256592E-3
2.421046280E-1,-1.258842647E-1,3.785681725E-2,-4.095172882E-2
2.500997240E-1,-8.268141747E-2,5.751466751E-2,-8.252239227E-2
2.580956660E-1,-3.811842203E-2,6.182956696E-2,-3.878879547E-2
2.660923010E-1,4.622957110E-2,9.261250496E-2,-7.026672363E-3
2.740867810E-1,7.726326585E-2,7.245922089E-2,-6.004047394E-2
2.820821840E-1,6.237134337E-2,5.723381042E-2,-1.071720123E-1
2.901089720E-1,4.213431478E-2,4.814124107E-2,-1.038045883E-1
2.981044530E-1,2.790275216E-2,3.973770142E-2,-8.711147308E-2
3.061001640E-1,6.254324317E-2,4.591774940E-2,-6.224727631E-2
3.140955680E-1,5.997675657E-2,5.697393417E-2,-2.018356323E-2
3.220908940E-1,4.294911027E-2,4.678225517E-2,4.113483429E-2
3.300869900E-1,-1.466578245E-2,-1.115393639E-2,1.631546021E-2
3.380830080E-1,-7.467627525E-3,-2.599239349E-2,2.023887634E-2
3.461091810E-1,-4.297578335E-2,-3.618645668E-2,-5.248069763E-2
3.541036620E-1,-6.870940328E-2,-2.216267586E-2,-6.523990631E-2
3.700953920E-1,-5.319029093E-3,-1.755499840E-2,-5.227470398E-2
3.780910260E-1,3.527948260E-2,-5.092644691E-2,-6.729125977E-2
3.860877370E-1,3.471702337E-2,-5.055332184E-2,-1.085901260E-1
3.940818330E-1,5.289441347E-2,-4.265332222E-2,-1.306371689E-1
4.021077750E-1,6.575417519E-2,-3.449082375E-2,-1.238918304E-1
4.101037170E-1,5.655357242E-2,-2.141618729E-2,-1.267061234E-1
4.180997360E-1,5.623698235E-2,-4.135918617E-2,-9.586811066E-2
4.260966780E-1,3.877145052E-2,-3.452897072E-2,-1.032066345E-1
4.340915430E-1,4.103231430E-2,-3.451609612E-2,-1.056032181E-1
4.420860230E-1,3.251987696E-2,-7.722616196E-3,-9.581565857E-2
4.500823490E-1,5.166676641E-2,-1.891708374E-2,-8.345603943E-2
4.581079070E-1,1.005395353E-1,1.805496216E-2,-1.068592072E-1
4.661050800E-1,1.047131419E-1,2.910876274E-2,-1.564140320E-1
4.740998680E-1,1.095491052E-1,9.529829025E-3,-1.818199158E-1
4.820949640E-1,1.095923781E-1,-9.465217590E-3,-1.854763031E-1
4.900909830E-1,9.931543469E-2,-1.801609993E-2,-1.361999512E-1
4.980860780E-1,4.735735059E-2,-5.941891670E-2,-1.178712845E-1
5.061138660E-1,1.967787743E-3,-9.788155556E-2,-6.347084045E-2
5.141082700E-1,-1.512432098E-2,-1.190841198E-1,-7.595729828E-2
5.221034430E-1,-3.965169191E-2,-1.375472546E-1,-9.312248230E-2
5.300994620E-1,-1.871830225E-2,-1.771383286E-1,-8.619880676E-2
5.380948650E-1,-4.864871502E-3,-2.139792442E-1,-1.294202805E-1
5.460911150E-1,1.420170069E-2,-2.072489262E-1,-2.203311920E-1
5.540862870E-1,1.027607918E-2,-1.880693436E-1,-2.774963379E-1
5.621123830E-1,3.101050854E-2,-1.420652866E-1,-3.488092422E-1
5.701087100E-1,5.441319942E-2,-9.075570107E-2,-3.576660156E-1
5.781038060E-1,6.824901700E-2,-6.782960892E-2,-3.424491882E-1
5.861005170E-1,5.580872297E-2,-3.046441078E-2,-2.936716080E-1
5.940953050E-1,1.024520397E-2,-2.672362328E-2,-2.448987961E-1
6.020900150E-1,-2.567398548E-2,-3.966498375E-2,-1.841106415E-1
6.100867270E-1,-9.052240849E-2,-9.072875977E-2,-1.304397583E-1
6.181119770E-1,-9.537249804E-2,-1.272203922E-1,-7.188701630E-2
6.261091490E-1,-5.669087172E-2,-1.901192665E-1,-3.965568542E-2
6.341033990E-1,-2.177143097E-2,-2.194764614E-1,-3.606987000E-2
6.420981870E-1,-3.086745739E-2,-1.987452507E-1,-4.202365875E-2
6.500953600E-1,-3.609567881E-2,-2.089707851E-1,-7.174873352E-2
6.580908400E-1,-2.104532719E-2,-1.739318371E-1,-9.906864166E-2
6.660870900E-1,1.636826992E-2,-1.749305725E-1,-1.790323257E-1
6.741118010E-1,8.712303638E-2,-2.114078999E-1,-2.013645172E-1
6.821071280E-1,1.375935078E-1,-2.378563881E-1,-1.948566437E-1
6.901041470E-1,1.456459761E-1,-2.588260174E-1,-2.001619339E-1
6.980991660E-1,1.494064331E-1,-2.625198364E-1,-2.077856064E-1
7.060952620E-1,2.184077501E-1,-2.536630630E-1,-2.464265823E-1
7.140905870E-1,3.021281064E-1,-2.465291023E-1,-3.471956253E-1
7.220854530E-1,4.073999524E-1,-2.384810448E-1,-4.118623734E-1
7.301128560E-1,4.957402050E-1,-2.267696857E-1,-4.762153625E-1
7.381070290E-1,5.660629272E-1,-1.957168579E-1,-5.597143173E-1
7.461039710E-1,6.413932443E-1,-1.361949444E-1,-6.241168976E-1
7.540989900E-1,6.601611972E-1,-1.237702370E-2,-6.598310471E-1
7.620947780E-1,6.085180044E-1,9.205365181E-2,-6.332645416E-1
7.700904120E-1,5.841283798E-1,1.388282776E-1,-5.109167099E-1
7.780862000E-1,5.316488743E-1,1.284461021E-1,-3.788108826E-1
7.861126810E-1,4.146082699E-1,7.788872719E-2,-2.608356476E-1
7.941074690E-1,2.789980173E-1,2.584624290E-2,-2.046928406E-1
8.021028730E-1,1.658988893E-1,-5.630207062E-2,-2.126998901E-1
8.100991990E-1,1.261813045E-1,-1.230781078E-1,-2.752361298E-1
8.180946020E-1,1.715148389E-1,-1.528089046E-1,-3.443813324E-1
8.260912360E-1,3.050710261E-1,-9.055352211E-2,-3.771953583E-1
8.340856400E-1,3.693426549E-1,-1.780343056E-2,-3.068037033E-1
8.421115050E-1,3.398981690E-1,1.195929050E-1,-2.437381744E-1
8.501079090E-1,2.096745968E-1,1.705207825E-1,-1.663837433E-1
8.581030050E-1,6.290119886E-2,1.754729748E-1,-8.659553528E-2
8.660993310E-1,-1.376519203E-1,1.085498333E-1,1.131954193E-1
8.740938110E-1,-3.018256426E-1,2.049279213E-2,2.655363083E-1
8.820895220E-1,-4.308080077E-1,-9.316110611E-2,3.369655609E-1
8.900857720E-1,-4.779441953E-1,-1.582479477E-1,4.231433868E-1
8.981119450E-1,-4.954786301E-1,-2.188248634E-1,4.614601135E-1
9.061082720E-1,-5.162243247E-1,-2.518067360E-1,5.641355515E-1
9.141033680E-1,-5.626287460E-1,-1.642243862E-1,4.773311615E-1
9.220982330E-1,-5.491603017E-1,-2.553963661E-2,5.531330109E-1
9.300944820E-1,-5.513631105E-1,1.247200966E-1,6.139602661E-1
9.380896540E-1,-5.913980007E-1,2.759144306E-1,6.425752640E-1
9.460862890E-1,-7.041600347E-1,3.167519569E-1,7.064666748E-1
9.541118460E-1,-8.177199364E-1,3.225638866E-1,7.269172668E-1
9.621066350E-1,-9.649201632E-1,3.156788349E-1,7.472028732E-1
9.701032690E-1,-1.063456297E0,3.009037971E-1,7.264699936E-1
9.780982880E-1,-1.144070387E0,2.523219585E-1,8.154926300E-1
9.860949980E-1,-1.146551609E0,2.344853878E-1,8.918571472E-1
9.940903250E-1,-1.089914918E0,2.380726337E-1,9.864883423E-1
1.002085113E0,-1.010967731E0,2.727832794E-1,9.939432144E-1
1.010111901E0,-9.967114925E-1,3.120968342E-1,9.190816879E-1
1.018107613E0,-9.678983688E-1,3.303897381E-1,9.277153015E-1
1.026103324E0,-1.004650116E0,4.105880260E-1,7.780780792E-1
1.034098804E0,-1.107674003E0,4.518141747E-1,6.740055084E-1
1.042093592E0,-1.176804900E0,3.849499226E-1,7.068481445E-1
1.050090457E0,-1.157246947E0,3.071238995E-1,7.205047607E-1
1.058085553E0,-1.148375154E0,2.405731678E-1,7.795095444E-1
1.066112341E0,-1.125980854E0,2.281830311E-1,7.159252167E-1
1.074107130E0,-1.090867043E0,3.079185486E-1,5.630197525E-1
1.082102226E0,-9.855839014E-1,4.338607788E-1,4.235506058E-1
1.090098628E0,-8.189940453E-1,5.588271618E-1,4.628152847E-1
1.098093955E0,-6.351654530E-1,6.634011269E-1,5.943899155E-1
1.106089743E0,-5.531852245E-1,7.335908413E-1,7.535810471E-1
1.114085378E0,-5.415884256E-1,7.486655712E-1,9.527750015E-1
1.122111320E0,-6.192628145E-1,7.064938545E-1,1.005676270E0
1.130107339E0,-7.214697599E-1,6.454200745E-1,9.964027405E-1
1.138102127E0,-7.058019638E-1,5.558276176E-1,1.008867264E0
1.146099299E0,-6.131579876E-1,5.161535740E-1,9.805479050E-1
1.154093856E0,-4.802490473E-1,4.904863834E-1,9.257202148E-1
1.162088644E0,-3.743378520E-1,5.429899693E-1,8.752832413E-1
1.170084971E0,-2.811708450E-1,6.660928726E-1,8.506107330E-1
1.178111144E0,-3.020547628E-1,7.217710018E-1,9.238176346E-1
1.186107394E0,-3.388729095E-1,7.223753929E-1,9.633932114E-1
1.194102797E0,-3.087009192E-1,5.904586315E-1,1.156672478E0
1.202097662E0,-2.672266364E-1,3.742215633E-1,1.218832016E0
1.210093681E0,-1.837682128E-1,1.605753899E-1,1.375215530E0
1.218089392E0,-1.167106032E-1,1.863384247E-2,1.446068764E0
1.226085949E0,-4.265999794E-2,-4.914712906E-2,1.527184486E0
1.234110968E0,2.907222509E-2,-4.984188080E-2,1.450088501E0
1.242105757E0,1.091554165E-1,-6.119012833E-2,1.362891197E0
1.250102390E0,1.736268103E-1,-1.138556004E-1,1.280210495E0
1.258098101E0,2.603661418E-1,-2.289059162E-1,1.326783180E0
1.266094659E0,3.326534629E-1,-4.370734692E-1,1.349572182E0
1.274089447E0,3.721280694E-1,-7.285518646E-1,1.442065239E0
1.282083697E0,3.922332227E-1,-9.260253906E-1,1.376976967E0
1.290111024E0,4.437925220E-1,-1.096297741E0,1.178545952E0
1.298106812E0,4.929187298E-1,-1.198289394E0,9.356956482E-1
1.306102830E0,5.085204840E-1,-1.299413919E0,7.394523621E-1
1.314097541E0,5.542119741E-1,-1.435773611E0,7.551631927E-1
1.322092945E0,5.636670589E-1,-1.612214327E0,1.026175499E0
1.330089579E0,4.631260931E-1,-1.807515144E0,9.875831604E-1
1.338084983E0,3.903772831E-1,-1.876445770E0,5.085201263E-1
1.346112156E0,4.632289410E-1,-1.802693129E0,-2.067947388E-1
1.354105944E0,5.089652538E-1,-1.785448074E0,-4.095106125E-1
1.362102270E0,4.941573143E-1,-1.882464647E0,-1.610498428E-1
1.370098058E0,2.197074294E-1,-2.004794121E0,-1.401252747E-1
1.378093154E0,-1.626233459E-1,-2.074644089E0,-3.391761780E-1
1.386089481E0,-6.149697304E-1,-1.970729828E0,-9.502601624E-1
1.394085192E0,-9.784911275E-1,-1.655945539E0,-1.621377468E0
1.402110442E0,-1.551927567E0,-1.158808708E0,-2.112318993E0
1.410106384E0,-2.234805584E0,-7.073006630E-1,-2.428011417E0
1.418101863E0,-2.700956821E0,-3.417067528E-1,-2.887931347E0
1.426098421E0,-3.166292667E0,1.570415497E-2,-2.868897438E0
1.434093825E0,-3.392565727E0,1.397900581E-1,-2.213734627E0
1.442088613E0,-3.393131971E0,2.648730278E-1,-1.817952633E0
1.450114863E0,-3.287273407E0,4.670433998E-1,-1.244946480E0
1.458110497E0,-3.229579926E0,8.571438789E-1,-5.593118668E-1
1.466107207E0,-3.281816721E0,1.384468079E0,-3.576183319E-2
1.474102226E0,-3.304308414E0,1.829903603E0,3.569469452E-1
1.482097092E0,-3.160871983E0,2.336019039E0,5.307960510E-1
1.490092495E0,-2.958681822E0,2.637960672E0,4.706935883E-1
1.498088514E0,-2.696724415E0,2.891219139E0,2.068004608E-1
1.506114918E0,-2.496173143E0,2.998536587E0,1.966075897E-1
1.514110091E0,-2.292203188E0,3.000008106E0,2.958927155E-1
1.522105416E0,-1.887345314E0,2.911661625E0,4.430055618E-1
1.530102435E0,-1.424848557E0,2.779361010E0,8.042640686E-1
1.538097454E0,-7.584035993E-1,2.657263041E0,9.282665253E-1
1.546093473E0,-5.219326913E-2,2.497284174E0,9.064292908E-1
1.554087954E0,7.672110796E-1,2.200496197E0,1.066796303E0
1.562113588E0,1.606690288E0,1.778164148E0,1.101901054E0
1.570110454E0,2.250150919E0,1.283806562E0,1.128687859E0
1.578105241E0,2.930779219E0,6.936359406E-1,1.159914970E0
1.586102183E0,3.530140638E0,1.305589676E-1,9.442262650E-1
1.594097048E0,4.204575062E0,-3.275995255E-1,2.586116791E-1
1.602092452E0,4.772972584E0,-7.004318237E-1,-3.480491638E-1
1.610088778E0,5.052418232E0,-9.869019985E-1,-9.422817230E-1
1.618114567E0,5.226729393E0,-1.236781836E0,-1.396085739E0
1.626111201E0,5.103531837E0,-1.472629070E0,-1.697997570E0
1.634105988E0,4.860790253E0,-1.729219198E0,-1.866462231E0
1.642100777E0,4.614526749E0,-1.960434914E0,-1.867391586E0
1.650097180E0,4.451121330E0,-2.097141981E0,-1.997808456E0
1.658093122E0,4.444538116E0,-2.238226414E0,-2.032007217E0
1.666088526E0,4.504426003E0,-2.311934948E0,-2.076718807E0
1.674115007E0,4.548925877E0,-2.411948919E0,-2.159655571E0
1.682109563E0,4.386011124E0,-2.502929926E0,-2.550019741E0
1.690106120E0,3.945019722E0,-2.625626087E0,-2.984335899E0
1.698101524E0,3.292960644E0,-2.720819473E0,-3.212035656E0
1.706097620E0,2.654991865E0,-2.843936443E0,-2.897186756E0
1.714092331E0,1.888231993E0,-3.104155064E0,-2.289206028E0
1.722087504E0,1.239021301E0,-3.254966021E0,-2.002870083E0
1.730114600E0,7.466371059E-1,-3.430644274E0,-1.838399887E0
1.738110541E0,3.862855434E-1,-3.646221638E0,-1.630405426E0
1.746106560E0,4.030799866E-2,-3.805737972E0,-1.519076347E0
1.754101118E0,-2.303647995E-1,-3.947727203E0,-1.288684368E0
1.762096521E0,-4.443743229E-1,-3.902545452E0,-1.218233585E0
1.770092771E0,-6.306478977E-1,-3.621053219E0,-1.187741280E0
1.778088483E0,-6.685404778E-1,-3.279407978E0,-1.166122913E0
1.786115040E0,-6.269929409E-1,-2.849865437E0,-1.291355133E0
1.794110366E0,-5.989286900E-1,-2.424784660E0,-1.363731861E0
1.810101481E0,-1.001622915E0,-1.932654858E0,-1.210375786E0
1.818096654E0,-1.458148003E0,-1.787683010E0,-1.133428097E0
1.826092980E0,-1.977667451E0,-1.623669147E0,-6.050887108E-1
1.834088076E0,-2.342422009E0,-1.415634155E0,8.316516876E-3
1.842113864E0,-2.645735264E0,-1.179934025E0,3.049998283E-1
1.850109652E0,-2.772943735E0,-7.888712883E-1,5.887131691E-1
1.858105671E0,-2.867222071E0,-4.384527206E-1,8.370523453E-1
1.866102228E0,-3.069921255E0,-2.066087723E-2,1.081936836E0
1.874097016E0,-3.230514526E0,3.126282692E-1,1.120072365E0
1.882091574E0,-3.396980524E0,7.002229691E-1,9.279313087E-1
1.884107886E0,-3.322013855E0,8.266811371E-1,9.489827156E-1
1.886089660E0,-3.360321045E0,8.697767258E-1,9.537711143E-1
1.888104819E0,-3.439329624E0,9.463911057E-1,8.963103294E-1
1.890088439E0,-3.513549805E0,1.039765358E0,7.502636909E-1
1.898113688E0,-3.509109735E0,1.214185715E0,3.786211014E-1
1.906109707E0,-3.370465994E0,1.263463974E0,1.651182175E-1
1.914105418E0,-3.041510105E0,1.238198280E0,2.086777687E-1
1.922100591E0,-2.468595028E0,1.190717220E0,4.360980988E-1
1.930097533E0,-1.699653864E0,1.204668999E0,9.258995056E-1
1.938091937E0,-9.807311296E-1,1.308805943E0,1.320362091E0
1.946088879E0,-3.012534380E-1,1.509863377E0,1.814306736E0
1.954113897E0,3.808414936E-2,1.693727970E0,1.952083111E0
1.962108993E0,2.409105301E-1,1.827203274E0,1.823890209E0
1.970105320E0,3.072013855E-1,1.883673191E0,1.617190361E0
1.978101262E0,2.786942720E-1,1.827004910E0,1.364297390E0
1.986097281E0,3.658500910E-1,1.701113224E0,1.033066750E0
1.994091838E0,5.194984674E-1,1.621725559E0,7.585968971E-1
2.002087550E0,8.805370331E-1,1.452687263E0,5.856509209E-1
2.010113952E0,1.247905612E0,1.260279179E0,4.359607697E-1
2.018109125E0,1.722378969E0,1.094404697E0,-2.724933624E-2
2.026105990E0,2.358769655E0,9.421148300E-1,-4.628839493E-1
2.034101163E0,2.921749353E0,8.278169632E-1,-1.042189121E0
2.042095951E0,3.411512136E0,7.208552361E-1,-1.264296055E0
2.050092201E0,3.585789680E0,5.879578590E-1,-1.177838326E0
2.058087373E0,3.454671860E0,4.271159172E-1,-7.785029411E-1
2.066114084E0,2.995557308E0,2.156848907E-1,-2.528057098E-1
2.074109180E0,2.066657066E0,6.010055542E-3,3.900051117E-2
2.082104584E0,8.978585005E-1,-1.966738701E-1,1.286191940E-1
2.090100911E0,1.548342705E-1,-3.590002060E-1,4.285697937E-1
2.098096391E0,-2.774366140E-1,-5.893225670E-1,9.111766815E-1
2.106092026E0,-3.645646572E-1,-7.206954956E-1,1.249601364E0
2.114088044E0,-1.619789600E-1,-7.421426773E-1,1.085426331E0
2.122113293E0,3.520488739E-1,-6.942472458E-1,9.530315399E-1
2.130109697E0,9.142134190E-1,-5.629076958E-1,6.791915894E-1
2.138105024E0,1.367458344E0,-4.301753044E-1,3.396272659E-1
2.146101735E0,1.537676215E0,-3.725924492E-1,-5.640697479E-2
2.154095908E0,1.588214636E0,-4.227857590E-1,-6.513638496E-1
2.162091235E0,1.552746654E0,-6.049766541E-1,-1.084944725E0
2.170087868E0,1.429670572E0,-8.411703110E-1,-1.409322739E0
2.178113195E0,1.186065912E0,-1.120850563E0,-1.576364517E0
2.186110675E0,9.265687466E-1,-1.324634075E0,-1.504108429E0
2.194104925E0,5.566594601E-1,-1.429484367E0,-1.238669395E0
2.202100252E0,2.298116684E-1,-1.411104679E0,-1.128734589E0
2.210096040E0,5.072665215E-2,-1.272161961E0,-1.169002056E0
2.218091674E0,8.352923393E-2,-1.071793079E0,-1.275756359E0
2.226088385E0,2.838213444E-1,-9.053654671E-1,-1.532119274E0
2.234113250E0,6.668779850E-1,-7.066302299E-1,-1.918097496E0
2.242109654E0,1.031441927E0,-6.564540863E-1,-2.152750015E0
2.250105596E0,1.345823765E0,-7.631993294E-1,-2.116169453E0
2.258100692E0,1.367250681E0,-9.455556870E-1,-2.068437576E0
2.266097403E0,1.093241930E0,-1.096649647E0,-1.617970467E0
2.274091806E0,5.171461105E-1,-1.222669125E0,-1.027626514E0
2.290114305E0,-1.066298723E0,-9.997653961E-1,-1.431312561E-1
2.298108555E0,-1.687336445E0,-8.295936584E-1,1.709752083E-1
2.306104882E0,-2.211518049E0,-6.483364105E-1,5.644922256E-1
2.314100285E0,-2.555832624E0,-4.457159042E-1,7.565898895E-1
2.322095304E0,-2.667774439E0,-1.515703201E-1,7.259325981E-1
2.330091707E0,-2.662311316E0,1.515855789E-1,6.536641121E-1
2.338087111E0,-2.599418402E0,4.877219200E-1,3.153834343E-1
2.346113899E0,-2.583211422E0,7.808403969E-1,-1.435632706E-1
2.354109302E0,-2.637462378E0,9.692473412E-1,-4.011812210E-1
2.362104321E0,-2.647691727E0,1.015584946E0,-4.483804703E-1
2.370100341E0,-2.543233395E0,9.922881126E-1,-2.920045853E-1
2.378095436E0,-2.324460983E0,1.016063690E0,1.343836784E-1
2.386092685E0,-2.071408033E0,1.118575096E0,3.429355621E-1
2.394086320E0,-1.773145676E0,1.283473969E0,5.759859085E-1
2.402112493E0,-1.503035784E0,1.513088703E0,7.668838501E-1
