"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.532002900E-2,2.060607076E-2,-1.430211067E-1,4.118270874E-1
2.331516800E-2,-4.553419352E-2,-8.160233498E-2,4.230127335E-1
3.131053800E-2,-1.896007210E-1,-7.118916512E-2,4.089565277E-1
3.933721500E-2,-2.142445743E-1,-3.849077225E-2,3.560457230E-1
4.733512300E-2,-1.653977782E-1,3.523254395E-2,3.012275696E-1
5.532857000E-2,-8.015951514E-2,7.357192039E-2,2.103977203E-1
6.332363100E-2,-2.787232399E-3,1.128776073E-1,1.627168655E-1
7.131992400E-2,3.555676341E-2,1.612761021E-1,9.438228607E-2
7.931498600E-2,1.112232804E-1,1.800017357E-1,2.463245392E-2
8.731227900E-2,1.518766880E-1,1.689157486E-1,-6.738281250E-2
9.533687900E-2,2.025156319E-1,1.430354118E-1,-1.280431747E-1
1.033324800E-1,2.541553974E-1,1.263704300E-1,-1.843166351E-1
1.113278490E-1,2.988591194E-1,1.042227745E-1,-2.690496445E-1
1.193229880E-1,3.155817389E-1,1.288788319E-1,-3.225364685E-1
1.273188960E-1,3.268621564E-1,1.226096153E-1,-4.194145203E-1
1.353149580E-1,2.916552424E-1,1.573364735E-1,-5.329208374E-1
1.433401740E-1,2.634751201E-1,2.205989361E-1,-6.168317795E-1
1.513370050E-1,2.397644520E-1,2.244596481E-1,-6.925601959E-1
1.593327590E-1,2.554316521E-1,2.204835415E-1,-7.216882706E-1
1.673292830E-1,2.268452048E-1,1.977136135E-1,-7.611818314E-1
1.753234220E-1,2.219879627E-1,1.901469231E-1,-7.546606064E-1
1.833185610E-1,2.520259023E-1,1.700003147E-1,-7.842473984E-1
1.913144690E-1,2.265285254E-1,1.248834133E-1,-7.736501694E-1
1.993099150E-1,1.552022696E-1,7.546234131E-2,-7.684297562E-1
2.073362850E-1,1.055017710E-1,1.353740692E-3,-7.275857925E-1
2.153314240E-1,-7.691502571E-3,-6.360292435E-3,-6.624946594E-1
2.233270240E-1,-1.089278460E-1,-6.558656693E-3,-5.411767960E-1
2.313224710E-1,-1.521827579E-1,-1.616406441E-2,-4.716882706E-1
2.393184560E-1,-1.464388371E-1,-3.173041344E-2,-3.531904221E-1
2.473140560E-1,-1.099482179E-1,-5.191087723E-3,-3.174791336E-1
2.553399640E-1,-3.755807877E-2,-1.897096634E-2,-3.368692398E-1
2.633359490E-1,7.897627354E-2,2.666330338E-2,-4.690008163E-1
2.713316270E-1,2.103874683E-1,1.019177437E-1,-6.188697815E-1
2.793276120E-1,3.503506184E-1,1.888010502E-1,-7.274246216E-1
2.873241350E-1,4.934549332E-1,2.271711826E-1,-7.995872498E-1
2.953180430E-1,4.652011395E-1,2.717120647E-1,-7.641067505E-1
3.033136440E-1,2.945958376E-1,3.229992390E-1,-7.837896347E-1
3.113394750E-1,1.177355051E-1,4.128949642E-1,-8.427677155E-1
3.193354600E-1,1.272833347E-2,4.871616364E-1,-9.031581879E-1
3.273329830E-1,3.198838234E-2,5.655529499E-1,-8.517494202E-1
3.353271220E-1,7.357370853E-2,6.408231258E-1,-8.127651215E-1
3.433218760E-1,1.306433678E-1,7.151598930E-1,-7.503309250E-1
3.513176310E-1,1.741758585E-1,7.625319958E-1,-7.866888046E-1
3.593136160E-1,3.146944046E-1,8.180074692E-1,-9.120521545E-1
3.673391390E-1,5.360335112E-1,9.212656021E-1,-1.071260452E0
3.753356630E-1,7.952649593E-1,1.065703869E0,-1.116041660E0
3.833307250E-1,7.509748936E-1,1.150309086E0,-7.867469788E-1
3.913258630E-1,3.114612103E-1,1.069396019E0,-6.039543152E-1
3.993217720E-1,-3.906279802E-1,8.305292130E-1,-2.618503571E-1
4.073196030E-1,-8.261609077E-1,6.425852776E-1,-1.750278473E-2
4.153125880E-1,-1.039821506E0,4.975159168E-1,1.720085144E-1
4.233387270E-1,-9.902806878E-1,4.369504452E-1,1.445560455E-1
4.313347120E-1,-7.010811567E-1,4.514305592E-1,-9.763717651E-3
