"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.942453000E-3,-9.097966552E-2,-5.600037575E0,7.915230751E0
6.987601000E-3,-1.053448766E-1,-5.600037575E0,7.900865555E0
9.094440000E-3,-1.029506698E-1,-5.614402771E0,7.864952564E0
1.107774200E-2,-1.077390760E-1,-5.616796970E0,7.855375767E0
1.309165800E-2,-9.576806426E-2,-5.609614372E0,7.833827972E0
1.507372900E-2,-8.858546615E-2,-5.631162167E0,7.831433773E0
1.708949200E-2,-8.140286058E-2,-5.626373768E0,7.848193169E0
1.907279300E-2,-6.943184882E-2,-5.626373768E0,7.867346764E0
2.108640300E-2,-6.703764945E-2,-5.657498837E0,7.864952564E0
2.306970400E-2,-6.943184882E-2,-5.667075634E0,7.848193169E0
2.508415900E-2,-1.029506698E-1,-5.664681435E0,7.833827972E0
2.706846000E-2,-1.484405100E-1,-5.667075634E0,7.821856976E0
2.908260800E-2,-1.771709323E-1,-5.662287235E0,7.821856976E0
3.106514000E-2,-2.106897533E-1,-5.667075634E0,7.824251175E0
3.308082600E-2,-2.346317619E-1,-5.667075634E0,7.812280178E0
3.509458800E-2,-2.729389966E-1,-5.667075634E0,7.802703381E0
3.707773600E-2,-3.327940404E-1,-5.679046631E0,7.809885979E0
3.909211500E-2,-3.591302633E-1,-5.691017628E0,7.817068577E0
4.107526200E-2,-3.974374831E-1,-5.712565422E0,7.817068577E0
4.308971700E-2,-4.261679053E-1,-5.710171223E0,7.790732384E0
4.507340300E-2,-4.381389022E-1,-5.724536419E0,7.788338184E0
4.708747300E-2,-4.596867263E-1,-5.729324818E0,7.783549786E0
4.907116000E-2,-4.740519226E-1,-5.734113216E0,7.762001991E0
5.108530700E-2,-4.740519226E-1,-5.722142220E0,7.742848396E0
5.306876200E-2,-4.596867263E-1,-5.705382824E0,7.716512203E0
5.508321800E-2,-4.644751251E-1,-5.688623428E0,7.694964409E0
5.706682600E-2,-4.620809257E-1,-5.705382824E0,7.687781811E0
5.908066600E-2,-4.596867263E-1,-5.722142220E0,7.680599213E0
6.109519900E-2,-4.525041282E-1,-5.707777023E0,7.647080421E0
