"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.837381000E-3,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
8.942302000E-3,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
1.092576200E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
1.294076000E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
1.492452800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
1.693891100E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
1.892267800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
2.093621600E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
2.291982900E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
2.493344400E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
2.691744200E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
2.893190100E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
3.091582300E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
3.293028300E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
3.494320400E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
3.692666400E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
3.894381600E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
4.092473800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
4.293950500E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
4.492388800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
4.693711800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
4.892103900E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
5.093457600E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
5.291865100E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
5.493241900E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
5.691711000E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
5.893149300E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
6.091495300E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
6.292849000E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
6.494264100E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
6.692656300E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
6.894040800E-2,-3.054326214E-2,-3.543018550E-2,-1.386664063E-1
7.092417500E-2,-4.092797264E-2,-6.352998316E-2,-2.009746730E-1
7.293802000E-2,-4.520402849E-2,-6.963863969E-2,-2.040289938E-1
7.492163300E-2,-4.948008433E-2,-7.391469181E-2,-2.076941878E-1
7.693578600E-2,-5.253441259E-2,-7.574728876E-2,-2.101376504E-1
7.892163000E-2,-5.925392732E-2,-7.880161703E-2,-2.131919712E-1
8.093455100E-2,-6.291911751E-2,-7.757988572E-2,-2.150245607E-1
8.291670400E-2,-6.780604273E-2,-7.941248268E-2,-2.180788964E-1
8.493208700E-2,-7.269296050E-2,-8.185594529E-2,-2.235766798E-1
8.691547100E-2,-7.452555746E-2,-8.185594529E-2,-2.260201424E-1
8.892908400E-2,-8.246681094E-2,-8.368854225E-2,-2.284636050E-1
9.094323600E-2,-8.552113175E-2,-8.429940045E-2,-2.302961946E-1
9.292692700E-2,-8.857546002E-2,-8.674286306E-2,-2.309070677E-1
9.494131000E-2,-9.529497474E-2,-8.918632567E-2,-2.364048511E-1
9.692600000E-2,-1.020144969E-1,-8.918632567E-2,-2.394591719E-1
9.894046100E-2,-1.026253626E-1,-9.407325089E-2,-2.425135076E-1
1.009235360E-1,-1.087340117E-1,-9.712757170E-2,-2.425135076E-1
1.029370730E-1,-1.142318025E-1,-1.007927656E-1,-2.480112910E-1
1.049210710E-1,-1.185078546E-1,-1.044579595E-1,-2.492330223E-1
1.069345310E-1,-1.240056455E-1,-1.087340117E-1,-2.504547536E-1
1.089182990E-1,-1.270599663E-1,-1.142318025E-1,-2.516764700E-1
1.109326810E-1,-1.319468915E-1,-1.209513173E-1,-2.553416789E-1
1.129163730E-1,-1.398881376E-1,-1.264491081E-1,-2.565633953E-1
1.149302940E-1,-1.447750628E-1,-1.319468915E-1,-2.583959997E-1
1.169438300E-1,-1.502728462E-1,-1.411098689E-1,-2.614503205E-1
1.189292910E-1,-1.582140923E-1,-1.490511149E-1,-2.645046413E-1
1.209425970E-1,-1.600466967E-1,-1.551597714E-1,-2.663372457E-1
1.229262880E-1,-1.679879427E-1,-1.661553532E-1,-2.700024247E-1
1.249401320E-1,-1.759291887E-1,-1.795943826E-1,-2.748893499E-1
1.269237450E-1,-1.795943826E-1,-1.844813079E-1,-2.761110961E-1
1.289378980E-1,-1.881465018E-1,-1.979203373E-1,-2.809980214E-1
1.309213580E-1,-1.954768747E-1,-2.095267773E-1,-2.864958048E-1
1.329358170E-1,-1.997529417E-1,-2.174680233E-1,-2.877175212E-1
1.349188930E-1,-2.046398520E-1,-2.266310006E-1,-2.938261926E-1
1.369345070E-1,-2.125810981E-1,-2.364048511E-1,-3.023782969E-1
1.389175830E-1,-2.150245607E-1,-2.431243658E-1,-3.036000133E-1
1.409320420E-1,-2.229658216E-1,-2.474004179E-1,-3.066543639E-1
1.429145020E-1,-2.272418737E-1,-2.504547536E-1,-3.127630055E-1
1.449290390E-1,-2.327396572E-1,-2.547308207E-1,-3.170390725E-1
1.469431910E-1,-2.412917763E-1,-2.553416789E-1,-3.219259977E-1
