"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.287639600E-2,-6.382322311E-2,1.701307297E-1,-7.699966431E-2
2.087148200E-2,-1.521565914E-1,1.768331528E-1,-4.696702957E-2
2.886810600E-2,-2.198646069E-1,1.757745743E-1,-2.192306519E-2
3.686342300E-2,-2.056858540E-1,2.010622025E-1,-1.282024384E-2
4.485943200E-2,-1.950912476E-1,2.156782150E-1,-9.818077087E-3
5.285421000E-2,-1.386864185E-1,2.110042572E-1,-4.349470139E-3
6.085091200E-2,-1.019792557E-1,2.361536026E-1,-2.664160728E-2
6.884592100E-2,-5.222892761E-2,2.035760880E-1,-5.431127548E-2
7.687154500E-2,5.141019821E-3,1.920566559E-1,-5.355668068E-2
8.486786200E-2,6.835365295E-2,1.776247025E-1,-3.033661842E-2
9.286356300E-2,6.588602066E-2,1.575336456E-1,1.309037209E-2
1.008585720E-1,1.135754585E-2,1.351881027E-1,3.716492653E-2
1.088548890E-1,-1.167635918E-1,1.465778351E-1,3.899741173E-2
1.168499750E-1,-1.800098419E-1,1.092300415E-1,4.157996178E-2
1.248771380E-1,-2.219944000E-1,9.868812561E-2,2.588987350E-2
1.328715310E-1,-2.212977409E-1,1.078853607E-1,-4.094743729E-2
1.408673090E-1,-2.269973755E-1,1.093740463E-1,-1.135258675E-1
1.488635490E-1,-2.625598907E-1,6.690502167E-2,-1.294338703E-1
1.568590200E-1,-1.831536293E-1,4.131031036E-2,-1.259818077E-1
1.648547210E-1,-1.030073166E-1,3.639030457E-2,-1.075279713E-1
1.728497300E-1,-8.606171608E-2,4.947853088E-2,-3.727149963E-2
1.808756620E-1,-5.654978752E-2,7.171916962E-2,4.766774178E-2
1.888715930E-1,-7.052707672E-2,5.482196808E-2,1.039175987E-1
1.968666790E-1,-7.603502274E-2,7.316207886E-2,6.179904938E-2
2.048633810E-1,-8.867764473E-2,4.305171967E-2,6.253790855E-2
2.128584670E-1,-4.578781128E-2,1.568412781E-2,3.610277176E-2
2.208537830E-1,-4.630565643E-3,2.285194397E-2,1.687097549E-2
2.288501770E-1,-1.192855835E-2,3.347873688E-2,-5.327224731E-3
2.368757240E-1,-4.899621010E-2,5.529308319E-2,-7.404327393E-3
2.448722720E-1,-7.013511658E-2,8.575630188E-2,-7.126331329E-3
2.528676650E-1,-7.240986824E-2,4.791259766E-3,-9.741783142E-4
2.608624440E-1,1.057386398E-2,-1.606760025E-1,6.768846512E-2
2.688582220E-1,6.323742867E-2,-2.046756744E-1,1.205635071E-2
2.768530000E-1,3.792762756E-2,-1.440849304E-1,-3.587341309E-2
2.848502400E-1,3.718733788E-2,-4.740142822E-2,-7.301020622E-2
