"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.625511300E-2,1.420774460E-1,-3.001775742E-1,1.118435860E-1
2.425141400E-2,7.655858994E-2,-2.596807480E-1,1.121089458E-1
3.224740700E-2,-4.332304001E-3,-2.455768585E-1,1.246018410E-1
4.027440000E-2,-3.774785995E-2,-1.637535095E-1,8.205485344E-2
4.826854700E-2,-5.230402946E-2,-9.492683411E-2,3.780794144E-2
5.626423200E-2,-9.441018105E-2,-7.669925690E-2,-8.451223373E-3
6.425930200E-2,-9.423232079E-2,-2.238082886E-2,-3.263545036E-2
7.225437200E-2,-7.128691673E-2,9.501457214E-3,-7.089805603E-2
8.025198000E-2,-1.208376884E-1,5.668735504E-2,-1.777601242E-1
8.824728100E-2,-1.386649609E-1,9.745407104E-2,-2.106873989E-1
9.627319700E-2,-8.558249474E-2,1.066160202E-1,-2.123706341E-1
1.042682670E-1,-5.211091042E-2,1.066656113E-1,-2.131624222E-1
1.122635680E-1,-9.203362465E-2,1.197853088E-1,-2.607653141E-1
1.202608690E-1,-1.469449997E-1,1.596240997E-1,-2.959556580E-1
1.282553230E-1,-1.972887516E-1,1.988563538E-1,-3.172018528E-1
1.362515470E-1,-2.629823685E-1,2.840375900E-1,-3.153250217E-1
1.442456940E-1,-3.174920082E-1,3.083629608E-1,-3.030219078E-1
1.522721480E-1,-4.229447842E-1,3.344097137E-1,-2.313964367E-1
1.602684490E-1,-4.345378876E-1,3.315134048E-1,-2.019319534E-1
1.682635960E-1,-4.099974632E-1,2.715997696E-1,-1.739146709E-1
1.762592810E-1,-2.851350307E-1,1.284627914E-1,-6.628203392E-2
1.842546590E-1,-1.248533726E-1,2.415943146E-2,-1.456243992E-1
1.922505750E-1,3.833055496E-3,-7.927513123E-2,-1.375269890E-1
2.002767990E-1,8.385658264E-2,-1.609191895E-1,-1.489279270E-1
2.082727920E-1,8.873677254E-2,-1.729946136E-1,-1.447489262E-1
2.162677850E-1,-3.642320633E-2,-1.389741898E-1,-1.582655907E-1
2.242634700E-1,-1.666193008E-1,-1.101894379E-1,-1.223094463E-1
2.322586170E-1,-2.612006664E-1,-7.714653015E-2,-8.349490166E-2
2.402554560E-1,-3.295581341E-1,-4.740428925E-2,-6.769871712E-2
2.482502180E-1,-3.993825912E-1,-3.727722168E-2,-3.208565712E-2
2.562769810E-1,-4.282531738E-1,-2.735137939E-3,1.679205894E-2
2.642718200E-1,-4.263348579E-1,1.394367218E-2,2.322888374E-2
2.722675050E-1,-3.571670055E-1,2.811908722E-2,-7.943940163E-2
2.802647290E-1,-2.444260120E-1,3.070831299E-3,-1.127548218E-1
2.882584910E-1,-7.581138611E-2,-4.416847229E-2,-1.403312683E-1
2.962541770E-1,1.044828892E-1,-1.061220169E-1,-1.223800182E-1
3.042499390E-1,1.807799339E-1,-1.719093323E-1,-6.171011925E-2
3.122754700E-1,2.469065189E-1,-2.043828964E-1,-1.837451458E-1
3.202726170E-1,2.358272076E-1,-1.634054184E-1,-2.258744240E-1
3.282676870E-1,9.527182579E-2,-1.277685165E-1,-1.568086147E-1
3.362628340E-1,-3.887653351E-3,-1.090469360E-1,-1.175653934E-1
3.442581350E-1,-1.287262440E-1,-4.471397400E-2,-1.358914375E-1
3.522538200E-1,-2.556331158E-1,1.499271393E-2,-7.714056969E-2
3.602507360E-1,-3.228368759E-1,-1.126384735E-2,-3.862977028E-2
3.682756520E-1,-3.600645065E-1,-7.577514648E-2,-5.376577377E-3
3.762716450E-1,-3.512766361E-1,-8.038330078E-2,5.223178864E-2
3.842671000E-1,-3.346233368E-1,-9.462261200E-2,1.815509796E-1
3.922618620E-1,-3.123781681E-1,-1.115598679E-1,1.014032364E-1
4.002587780E-1,-2.908859253E-1,-1.381444931E-1,1.030421257E-2
4.082537710E-1,-1.740412712E-1,-1.720132828E-1,-3.000760078E-2
4.162495330E-1,-2.850461006E-2,-1.723928452E-1,-4.128623009E-2
4.242762190E-1,4.079389572E-2,-1.512966156E-1,-2.652168274E-3
4.322703660E-1,6.083750725E-2,-1.302814484E-1,2.757358551E-2
4.402675890E-1,1.489353180E-2,-1.284532547E-1,3.515219688E-2
4.482618130E-1,-4.393744469E-2,-1.150207520E-1,3.582577705E-1
4.562571910E-1,-3.728890419E-2,-1.383152008E-1,3.997781277E-1
4.642531840E-1,-5.744791031E-2,-1.580638885E-1,4.301989079E-1
4.722484840E-1,-9.249424934E-2,-1.500682831E-1,3.858532906E-1
4.802768620E-1,-3.983688354E-2,-1.069316864E-1,3.015151024E-1
