"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.153535000E-3,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
1.025999300E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
1.224245100E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
1.425698600E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
1.624005900E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
1.825505600E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
2.023789800E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
2.225197100E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
2.423635200E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
2.625073300E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
2.823357500E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
3.024895700E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
3.223226000E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
3.424618000E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
3.625994600E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
3.824278800E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
4.025716900E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
4.224147300E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
4.425531500E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
4.623908200E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
4.825315500E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
5.023753500E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
5.225160900E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
5.423475900E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
5.624798600E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
5.823282900E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
6.024636300E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
6.226020600E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
6.424520300E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
6.625904500E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
6.824234800E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
7.025719200E-2,-6.963863969E-2,-6.603453159E-1,1.527163107E-2
7.224088000E-2,-2.364048511E-1,-7.586946487E-1,2.394591719E-1
7.425433700E-2,-2.400700450E-1,-7.629706860E-1,2.443460971E-1
7.623902700E-2,-2.510656118E-1,-7.757988572E-1,2.504547536E-1
7.825217700E-2,-2.596177161E-1,-7.880161405E-1,2.571742535E-1
8.023617400E-2,-2.675589919E-1,-7.965682745E-1,2.632829249E-1
8.224970800E-2,-2.803871334E-1,-8.075638413E-1,2.700024247E-1
8.423316600E-2,-2.932153046E-1,-8.246681094E-1,2.785545588E-1
