"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.261037000E-3,3.914519787E0,-6.828263283E0,5.319916248E0
8.305890000E-3,3.883395195E0,-6.823474884E0,5.358223438E0
1.041120200E-2,3.861847401E0,-6.813898087E0,5.401319027E0
1.239490100E-2,3.852270603E0,-6.801927090E0,5.420472622E0
1.440990600E-2,3.828328609E0,-6.797138691E0,5.458779812E0
1.639306500E-2,3.828328609E0,-6.794744492E0,5.482721806E0
1.840745500E-2,3.809175014E0,-6.789956093E0,5.506663799E0
2.039207600E-2,3.756502390E0,-6.799532890E0,5.528211594E0
2.240508100E-2,3.751713991E0,-6.813898087E0,5.547365189E0
2.438908700E-2,3.732560396E0,-6.847416878E0,5.547365189E0
2.640293900E-2,3.715801001E0,-6.895300865E0,5.547365189E0
2.838686800E-2,3.715801001E0,-6.916848660E0,5.554547787E0
3.040102700E-2,3.706224203E0,-6.959944248E0,5.554547787E0
3.238387900E-2,3.727771997E0,-6.981492043E0,5.564124584E0
3.439865300E-2,3.725377798E0,-6.998251438E0,5.576095581E0
3.641242800E-2,3.727771997E0,-7.003039837E0,5.592854977E0
3.839643300E-2,3.689464808E0,-7.003039837E0,5.592854977E0
4.041090100E-2,3.684676409E0,-7.000645638E0,5.600037575E0
4.239436700E-2,3.675099611E0,-6.995857239E0,5.609614372E0
4.440852700E-2,3.672705412E0,-7.007828236E0,5.626373768E0
4.639153200E-2,3.677493811E0,-7.007828236E0,5.628767967E0
4.840600000E-2,3.687070608E0,-7.015010834E0,5.609614372E0
5.039008200E-2,3.684676409E0,-7.007828236E0,5.612008572E0
5.240508800E-2,3.687070608E0,-7.005434036E0,5.628767967E0
5.438878500E-2,3.670311213E0,-7.019799232E0,5.623979568E0
5.640240600E-2,3.670311213E0,-7.034164429E0,5.619191170E0
5.838518100E-2,3.660734415E0,-7.067683220E0,5.616796970E0
6.039995600E-2,3.660734415E0,-7.065289021E0,5.616796970E0
6.238334500E-2,3.665522814E0,-7.079654217E0,5.623979568E0
6.439712100E-2,3.675099611E0,-7.110779285E0,5.628767967E0
6.641166400E-2,3.670311213E0,-7.132327080E0,5.633556366E0
6.839528500E-2,3.667917013E0,-7.139509678E0,5.643133640E0
7.040982900E-2,3.653551817E0,-7.139509678E0,5.647922039E0
7.239322000E-2,3.636792421E0,-7.129932880E0,5.650316238E0
7.440791700E-2,3.624821424E0,-7.120356083E0,5.652710438E0
7.639100000E-2,3.591302633E0,-7.127538681E0,5.667075634E0
7.840515900E-2,3.569754839E0,-7.127538681E0,5.671864033E0
8.038862600E-2,3.576937437E0,-7.105990410E0,5.671864033E0
8.240178500E-2,3.591302633E0,-7.089231014E0,5.669469833E0
8.438609900E-2,3.593696833E0,-7.096413612E0,5.664681435E0
8.640087300E-2,3.591302633E0,-7.082048416E0,5.650316238E0
8.838434100E-2,3.586514235E0,-7.070077419E0,5.638344765E0
9.039819200E-2,3.586514235E0,-7.070077419E0,5.623979568E0
9.241319800E-2,3.567360640E0,-7.050923824E0,5.590460777E0
9.439843300E-2,3.550601006E0,-7.053318024E0,5.583278179E0
9.641105500E-2,3.548206806E0,-7.043741226E0,5.580883980E0
9.839382900E-2,3.548206806E0,-7.067683220E0,5.547365189E0
1.004086040E-1,3.564966440E0,-7.055712223E0,5.540182590E0
1.023923020E-1,3.557783842E0,-7.055712223E0,5.532999992E0
1.044061540E-1,3.521870613E0,-7.048529625E0,5.516240597E0
1.063902360E-1,3.514688015E0,-7.046135426E0,5.480327606E0
1.084046260E-1,3.505111217E0,-7.041347027E0,5.458779812E0
1.103870930E-1,3.471592426E0,-7.055712223E0,5.422866821E0
1.124019450E-1,3.447650433E0,-7.043741226E0,5.403713226E0
1.143868730E-1,3.392583847E0,-7.036558628E0,5.398924828E0
1.163998010E-1,3.303998232E0,-7.038952827E0,5.386953831E0
1.183834230E-1,3.251325846E0,-7.048529625E0,5.355829239E0
1.203969660E-1,3.078943491E0,-7.084442616E0,5.298368454E0
1.224130490E-1,2.822763920E0,-7.113173485E0,5.274426460E0
1.243963620E-1,2.700659513E0,-7.129932880E0,5.276820660E0
1.264087520E-1,2.664746523E0,-7.132327080E0,5.353435040E0
1.283936800E-1,2.901772499E0,-7.086836815E0,5.473145008E0
1.304072250E-1,3.076549292E0,-7.062894821E0,5.506663799E0
1.323909220E-1,3.457227230E0,-7.015010834E0,5.521028996E0
1.344059280E-1,3.785232782E0,-6.991068840E0,5.485116005E0
1.363887020E-1,3.890577793E0,-6.979097843E0,5.458779812E0
1.384029390E-1,3.964797974E0,-6.995857239E0,5.422866821E0
1.403875600E-1,3.866635799E0,-7.005434036E0,5.382165432E0
1.424007960E-1,3.811569214E0,-7.015010834E0,5.384559631E0
1.443841860E-1,3.761290789E0,-6.993463039E0,5.403713226E0
1.463985770E-1,3.763684988E0,-7.005434036E0,5.403713226E0
1.484121970E-1,3.766079187E0,-7.005434036E0,5.363011837E0
1.503962030E-1,3.655946016E0,-7.036558628E0,5.300762653E0
1.524103620E-1,3.545812607E0,-7.050923824E0,5.255272865E0
1.543945990E-1,3.313575268E0,-7.077260017E0,5.240907669E0
1.564084500E-1,3.179499865E0,-7.094019413E0,5.274426460E0
1.583913020E-1,3.157952070E0,-7.096413612E0,5.284003258E0
1.604054610E-1,3.172317266E0,-7.096413612E0,5.310339451E0
1.623894670E-1,3.241749048E0,-7.082048416E0,5.281609058E0
1.644042410E-1,3.251325846E0,-7.077260017E0,5.267243862E0
1.663872470E-1,3.277662039E0,-7.086836815E0,5.264849663E0
1.684017140E-1,3.375824451E0,-7.084442616E0,5.228936672E0
1.703851810E-1,3.383007050E0,-7.091625214E0,5.183446884E0
1.723993400E-1,3.320757866E0,-7.113173485E0,5.157110691E0
1.744134230E-1,3.311181068E0,-7.094019413E0,5.114014626E0
1.763975050E-1,3.294421434E0,-7.094019413E0,5.097255230E0
1.784107420E-1,3.320757866E0,-7.094019413E0,5.106832027E0
1.803952850E-1,3.308786631E0,-7.103596210E0,5.070919037E0
1.824095220E-1,3.313575268E0,-7.094019413E0,5.046977043E0
1.843934500E-1,3.318363667E0,-7.105990410E0,5.073313236E0
1.864073020E-1,3.339911461E0,-7.110779285E0,5.082890034E0
1.883903840E-1,3.327940464E0,-7.098807812E0,5.032611847E0
1.904046210E-1,3.306392431E0,-7.108384609E0,4.972756863E0
1.923891640E-1,3.299209833E0,-7.108384609E0,4.958391666E0
1.944030930E-1,3.308786631E0,-7.094019413E0,4.960785866E0
1.963858680E-1,3.354276657E0,-7.089231014E0,4.881777287E0
1.984008740E-1,3.354276657E0,-7.096413612E0,4.867412090E0
2.003833400E-1,3.361459255E0,-7.117961884E0,4.824316502E0
2.023990380E-1,3.378218651E0,-7.098807812E0,4.845864296E0
2.044126590E-1,3.402160645E0,-7.101202011E0,4.841075897E0
2.063950490E-1,3.423708439E0,-7.103596210E0,4.836287498E0
2.084101310E-1,3.493140221E0,-7.074865818E0,4.831499100E0
2.103939070E-1,3.509899616E0,-7.072471619E0,4.838681698E0
2.124082960E-1,3.507505417E0,-7.098807812E0,4.793191910E0
2.143926100E-1,3.505111217E0,-7.103596210E0,4.809951305E0
2.164058460E-1,3.526659012E0,-7.103596210E0,4.786009312E0
2.183899290E-1,3.541024208E0,-7.115567684E0,4.771644115E0
2.204049340E-1,3.524264812E0,-7.115567684E0,4.750096321E0
2.223874780E-1,3.452438831E0,-7.113173485E0,4.711789131E0
2.244010220E-1,3.387795448E0,-7.115567684E0,4.697423935E0
2.263856420E-1,3.347094059E0,-7.110779285E0,4.659116745E0
2.283991090E-1,3.282450438E0,-7.096413612E0,4.630385876E0
2.304126540E-1,3.244143248E0,-7.101202011E0,4.647145271E0
