"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.471009700E-2,1.280307770E-2,2.162814140E-3,-6.745910645E-2
2.270611100E-2,-8.406257629E-2,-6.689399481E-3,6.152629852E-2
3.070120200E-2,-1.136051416E-1,1.199510694E-2,1.880712509E-1
3.872798400E-2,-8.125221729E-2,7.778197527E-3,2.888059616E-1
4.672369000E-2,-4.889929295E-2,1.313826442E-2,3.057441711E-1
5.471970300E-2,1.977026463E-2,2.347862720E-2,2.796192169E-1
6.271425600E-2,9.986245632E-2,3.204482794E-2,2.132997513E-1
7.070957600E-2,1.909364462E-1,1.084271073E-2,1.260204315E-1
7.870589800E-2,2.790770531E-1,1.782393456E-2,4.416942596E-2
8.670106600E-2,2.771836519E-1,1.777312160E-2,-1.413345337E-3
9.472746400E-2,2.550752163E-1,9.430140257E-3,-1.022720337E-2
1.027240930E-1,2.103852034E-1,-1.874259114E-2,-1.534271240E-2
1.107183370E-1,1.522154808E-1,-4.966056347E-2,5.064010620E-3
1.187149660E-1,1.032112837E-1,-3.077736497E-2,2.656269073E-2
1.267100560E-1,5.632305145E-2,-3.783932328E-2,4.684162140E-2
1.347056860E-1,1.079058647E-2,-2.438944578E-2,4.241275787E-2
1.427005450E-1,-6.800508499E-2,-1.343449950E-2,7.393836975E-2
1.507263280E-1,-1.176775694E-1,7.641166449E-3,7.656288147E-2
1.587230340E-1,-1.309105158E-1,4.784068465E-2,8.890724182E-2
1.667186630E-1,-9.682106972E-2,3.997001052E-2,8.088493347E-2
1.747137540E-1,-7.998669147E-2,2.932655811E-2,7.797908783E-2
1.827095360E-1,-4.279887676E-2,6.495636702E-2,5.862522125E-2
1.907057810E-1,-1.065206528E-2,3.762610257E-2,8.517265320E-2
1.987012550E-1,2.337706089E-2,4.500269890E-3,8.246707916E-2
2.067277310E-1,5.804038048E-2,-1.272577047E-2,8.737850189E-2
2.147228220E-1,7.275867462E-2,-2.813944221E-2,6.396961212E-2
2.227184500E-1,7.323765755E-2,-2.672460675E-2,4.059791565E-2
2.307138490E-1,6.783807278E-2,-1.685249805E-2,5.772972107E-2
2.387098620E-1,8.242857456E-2,-4.004460573E-2,3.200626373E-2
2.467053370E-1,5.710005760E-2,-1.612359285E-2,2.109050751E-2
2.547006580E-1,4.151952267E-2,-1.632750034E-2,4.043197632E-2
2.627265950E-1,1.355874538E-2,-6.565451622E-5,2.947044373E-2
2.707228400E-1,-6.082892418E-3,1.641842723E-2,5.132198334E-2
2.787789300E-1,-3.991556168E-2,-2.466359735E-2,6.122684479E-2
