"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.034353000E-3,-7.326257229E-1,-4.812345505E-1,9.548076630E0
7.077513000E-3,-7.613561153E-1,-4.860229492E-1,9.545681953E0
9.184518000E-3,-8.068459630E-1,-5.075707436E-1,9.555258751E0
1.116852300E-2,-8.188169599E-1,-5.267243981E-1,9.567230225E0
1.318152900E-2,-8.236053586E-1,-5.458779931E-1,9.583989143E0
1.516545700E-2,-8.283938169E-1,-5.506663918E-1,9.610325813E0
1.717930800E-2,-8.212111592E-1,-5.410895944E-1,9.612719536E0
1.916392900E-2,-8.212111592E-1,-5.410895944E-1,9.607931137E0
2.117778000E-2,-8.188169599E-1,-5.626373887E-1,9.610325813E0
2.316117100E-2,-8.164227605E-1,-5.650315881E-1,9.615114212E0
2.517571400E-2,-8.116343617E-1,-5.817909837E-1,9.636661530E0
2.715971900E-2,-8.164227605E-1,-6.200982332E-1,9.646238327E0
2.917287800E-2,-8.283938169E-1,-6.224924326E-1,9.679757118E0
3.115749900E-2,-8.499416113E-1,-6.392518282E-1,9.722852707E0
3.317104300E-2,-8.427590132E-1,-6.560112834E-1,9.732429504E0
3.518520200E-2,-8.403648138E-1,-6.607996821E-1,9.763554573E0
3.716836000E-2,-8.355764151E-1,-6.440402865E-1,9.799467087E0
3.918213600E-2,-8.547300100E-1,-6.392518282E-1,9.809044838E0
4.116675600E-2,-8.547300100E-1,-6.440402865E-1,9.825803757E0
4.318030000E-2,-8.786720037E-1,-6.368576288E-1,9.866505623E0
4.516461200E-2,-8.762778044E-1,-6.272808313E-1,9.878476143E0
4.717792600E-2,-8.786720037E-1,-6.009446383E-1,9.885659218E0
4.916316200E-2,-8.786720037E-1,-5.937620401E-1,9.897629738E0
5.117793600E-2,-8.738836050E-1,-5.961562395E-1,9.897629738E0
5.315940200E-2,-8.571242094E-1,-5.770025849E-1,9.916783333E0
5.517417700E-2,-8.667010069E-1,-5.530605912E-1,9.923966408E0
5.715787500E-2,-8.499416113E-1,-5.458779931E-1,9.919178009E0
5.917180300E-2,-8.355764151E-1,-5.291185975E-1,9.926360130E0
6.118588500E-2,-8.307880163E-1,-5.315127969E-1,9.921571732E0
6.316958200E-2,-8.475474119E-1,-5.410895944E-1,9.921571732E0
6.518412700E-2,-8.379706144E-1,-5.315127969E-1,9.919178009E0
6.716844000E-2,-8.379706144E-1,-5.291185975E-1,9.919178009E0
6.918106000E-2,-8.307880163E-1,-5.003881454E-1,9.916783333E0
7.116629600E-2,-8.475474119E-1,-4.908113480E-1,9.900024414E0
7.317914800E-2,-8.451532125E-1,-4.812345505E-1,9.900024414E0
7.516315300E-2,-8.379706144E-1,-4.692635238E-1,9.878476143E0
7.717738900E-2,-8.259995580E-1,-4.644751251E-1,9.878476143E0
7.916070100E-2,-8.236053586E-1,-4.596867263E-1,9.866505623E0
8.117486100E-2,-8.188169599E-1,-4.620809257E-1,9.832986832E0
8.315863500E-2,-8.164227605E-1,-4.764461517E-1,9.832986832E0
8.517302500E-2,-8.212111592E-1,-4.788403511E-1,9.828198433E0
8.718410700E-2,-8.140285611E-1,-4.908113480E-1,9.818621635E0
8.917003600E-2,-8.259995580E-1,-5.003881454E-1,9.809044838E0
9.118604100E-2,-8.379706144E-1,-5.003881454E-1,9.797073364E0
9.316812300E-2,-8.307880163E-1,-4.955997467E-1,9.777919769E0
9.518266600E-2,-8.044517636E-1,-5.003881454E-1,9.770736694E0
9.716659500E-2,-7.948749661E-1,-5.051765442E-1,9.763554573E0
9.918075400E-2,-7.924807668E-1,-5.267243981E-1,9.749189377E0
1.011641440E-1,-7.996633649E-1,-5.267243981E-1,9.751583099E0
1.031783800E-1,-7.661445141E-1,-5.339069963E-1,9.756371498E0
1.051626160E-1,-7.733271718E-1,-5.482721925E-1,9.758766174E0
1.071771600E-1,-7.829039693E-1,-5.386953950E-1,9.763554573E0
1.091595500E-1,-7.852981687E-1,-5.386953950E-1,9.753977776E0
1.111755550E-1,-7.733271718E-1,-5.578489900E-1,9.749189377E0
1.131583290E-1,-7.589619160E-1,-5.530605912E-1,9.756371498E0
1.151719500E-1,-7.589619160E-1,-5.578489900E-1,9.749189377E0
1.171858010E-1,-7.541735172E-1,-5.530605912E-1,9.753977776E0
1.191694220E-1,-7.493851185E-1,-5.530605912E-1,9.753977776E0
1.211836580E-1,-7.374141216E-1,-5.770025849E-1,9.763554573E0
1.231678940E-1,-7.398083210E-1,-5.985504389E-1,9.768342972E0
1.251818220E-1,-7.445967197E-1,-5.889736414E-1,9.768342972E0
1.271645970E-1,-7.541735172E-1,-5.985504389E-1,9.768342972E0
1.291799860E-1,-7.493851185E-1,-6.009446383E-1,9.780313492E0
1.311639910E-1,-7.422025204E-1,-5.913678408E-1,9.777919769E0
1.331765360E-1,-7.374141216E-1,-5.913678408E-1,9.787496567E0
1.351605410E-1,-7.422025204E-1,-5.865794420E-1,9.785101891E0
1.371753150E-1,-7.589619160E-1,-5.817909837E-1,9.797073364E0
1.391587050E-1,-7.541735172E-1,-5.793967843E-1,9.806650162E0
1.411726340E-1,-7.661445141E-1,-5.793967843E-1,9.806650162E0
1.431874080E-1,-7.685387731E-1,-5.698199868E-1,9.818621635E0
1.451716440E-1,-7.589619160E-1,-5.937620401E-1,9.823410034E0
1.471855720E-1,-7.709329724E-1,-5.937620401E-1,9.823410034E0
1.491689620E-1,-7.876923680E-1,-5.770025849E-1,9.818621635E0
1.511836600E-1,-7.852981687E-1,-5.626373887E-1,9.804255486E0
1.531664340E-1,-7.876923680E-1,-5.626373887E-1,9.811438560E0
1.551802850E-1,-7.996633649E-1,-5.506663918E-1,9.801861763E0
1.571639830E-1,-8.092401624E-1,-5.267243981E-1,9.809044838E0
1.591779120E-1,-8.116343617E-1,-5.267243981E-1,9.811438560E0
1.611618400E-1,-8.307880163E-1,-5.267243981E-1,9.813833237E0
1.631759980E-1,-8.331822157E-1,-5.291185975E-1,9.816226959E0
1.651596960E-1,-8.451532125E-1,-5.339069963E-1,9.801861763E0
1.671732400E-1,-8.499416113E-1,-5.315127969E-1,9.804255486E0
1.691877840E-1,-8.523358107E-1,-5.291185975E-1,9.804255486E0
1.711724040E-1,-8.571242094E-1,-5.147533417E-1,9.809044838E0
1.731858720E-1,-8.523358107E-1,-5.171475410E-1,9.806650162E0
1.751692610E-1,-8.523358107E-1,-5.051765442E-1,9.804255486E0
1.771840350E-1,-8.667010069E-1,-5.051765442E-1,9.816226959E0
1.791668870E-1,-8.714894056E-1,-5.171475410E-1,9.823410034E0
1.811816610E-1,-8.714894056E-1,-5.123591423E-1,9.830592155E0
1.831653590E-1,-8.690952063E-1,-5.075707436E-1,9.828198433E0
1.851788260E-1,-8.595184088E-1,-5.099649429E-1,9.825803757E0
1.871640620E-1,-8.619126081E-1,-5.171475410E-1,9.823410034E0
1.891772970E-1,-8.451532125E-1,-5.315127969E-1,9.823410034E0
1.911610730E-1,-8.379706144E-1,-5.267243981E-1,9.818621635E0
1.931748470E-1,-8.427590132E-1,-5.339069963E-1,9.835380554E0
1.951576980E-1,-8.427590132E-1,-5.386953950E-1,9.830592155E0
1.971724720E-1,-8.379706144E-1,-5.291185975E-1,9.828198433E0
