"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.208980800E-2,1.852822304E-2,1.094835997E-2,-2.341909409E-1
2.008519400E-2,-8.743768930E-2,-7.809579372E-3,-2.327699661E-1
2.808211800E-2,-1.442936659E-1,1.718488336E-2,-1.901168823E-1
3.607688800E-2,-1.514537930E-1,4.449677467E-2,-9.021759033E-2
4.407258200E-2,-1.440109611E-1,5.744898319E-2,-1.928329468E-2
5.206789000E-2,-1.294293404E-1,4.281100631E-2,8.745002747E-2
6.009504500E-2,-1.244161129E-1,3.587990999E-2,1.820611954E-1
6.809004600E-2,-1.443290710E-1,2.133864164E-2,2.529811859E-1
7.608574000E-2,-1.176968217E-1,1.707574725E-2,2.922620773E-1
8.408020100E-2,-1.981753111E-2,5.192279816E-3,2.774200439E-1
9.207712500E-2,7.991296053E-2,-1.624077559E-2,2.194366455E-1
1.000715880E-1,1.244274974E-1,-2.222779393E-2,1.429605484E-1
1.080682810E-1,1.029077768E-1,-3.430005908E-2,8.897972107E-2
1.160633590E-1,8.699768782E-2,-5.669733882E-2,2.112388611E-2
1.240888990E-1,8.018916845E-2,-4.502126575E-2,-2.507209778E-2
1.320845920E-1,2.772837877E-2,9.400278330E-3,-6.359767914E-2
1.400808240E-1,-4.906177521E-3,3.749766946E-2,-8.291053772E-2
1.480778250E-1,-1.050657034E-2,3.416070342E-2,-5.659198761E-2
1.560722090E-1,-3.995424509E-2,1.687866449E-2,-1.837062836E-2
1.640672870E-1,-2.923244238E-2,6.173640490E-3,2.550792694E-2
1.720935190E-1,-5.191403627E-2,8.224785328E-3,7.806587219E-2
1.800892120E-1,-5.516862869E-2,1.171058416E-2,1.078319550E-1
1.880861370E-1,-3.314036131E-2,-1.964759827E-2,1.411695480E-1
1.960808300E-1,-9.296357632E-3,-7.506012917E-4,1.409378052E-1
2.040756770E-1,2.359873056E-2,-2.240023017E-2,1.262998581E-1
2.120716010E-1,6.601095200E-2,-8.439421654E-4,1.044797897E-1
2.200676020E-1,7.184422016E-2,-3.281921148E-3,8.644962311E-2
2.280950640E-1,1.077232361E-1,-9.273290634E-3,4.914855957E-2
2.360895260E-1,1.100161672E-1,-6.038755178E-3,2.143287659E-2
2.440842200E-1,1.103139520E-1,1.095414162E-3,-8.653640747E-3
2.520806050E-1,1.053432226E-1,3.189474344E-3,-1.223373413E-2
2.600753750E-1,5.989634991E-2,-1.823747158E-2,1.824283600E-2
