"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.543079000E-3,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.588619000E-3,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
8.693006000E-3,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
1.067662400E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
1.269078000E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
1.467485900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
1.668901500E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
1.867201700E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
2.068678900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
2.266986800E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
2.468379300E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
2.666802600E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
2.868195100E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
3.066656800E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
3.267949400E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
3.469418900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
3.667788300E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
3.869234600E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
4.067727200E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
4.269081300E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
4.467396900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
4.668750900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
4.867112700E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
5.068559000E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
5.266959200E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
5.468436400E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
5.666775100E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
5.868075300E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.069575500E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.267921900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.469275900E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.667737800E-2,-1.221730490E-3,-1.356120855E-1,1.771509275E-2
6.869153300E-2,1.038470957E-2,-1.221730490E-3,2.443460980E-3
7.067368900E-2,1.038470957E-2,1.221730490E-3,3.054326167E-3
7.268930700E-2,1.160643995E-2,6.108652451E-4,1.832595794E-3
7.467277000E-2,8.552113548E-3,6.108652451E-4,1.832595794E-3
7.668692700E-2,1.099557430E-2,-1.221730490E-3,4.276056774E-3
7.867054400E-2,1.038470957E-2,1.221730490E-3,4.276056774E-3
8.068500800E-2,6.719517522E-3,-6.108652451E-4,3.054326167E-3
8.266777900E-2,6.719517522E-3,1.221730490E-3,3.054326167E-3
8.468293500E-2,7.941247895E-3,0.000000000E0,6.108652451E-4
8.666562900E-2,6.719517522E-3,-1.221730490E-3,6.108652451E-4
8.867978600E-2,4.886921961E-3,-1.832595794E-3,-6.108652451E-4
9.069425000E-2,3.054326167E-3,-3.054326167E-3,-1.221730490E-3
9.267771300E-2,3.665191587E-3,-3.054326167E-3,1.221730490E-3
9.469210000E-2,3.054326167E-3,-1.832595794E-3,-1.221730490E-3
9.667548700E-2,2.443460980E-3,-4.886921961E-3,0.000000000E0
9.868964300E-2,3.054326167E-3,-6.719517522E-3,-1.832595794E-3
1.006742610E-1,1.221730490E-3,-6.108652335E-3,-6.108652451E-4
1.026878010E-1,4.886921961E-3,-7.330383174E-3,-6.108652451E-4
1.046702650E-1,2.443460980E-3,-5.497787148E-3,-3.054326167E-3
1.066850360E-1,2.443460980E-3,-7.941247895E-3,-1.832595794E-3
1.086684230E-1,1.832595794E-3,-8.552113548E-3,-1.221730490E-3
1.106841180E-1,3.665191587E-3,-8.552113548E-3,-3.054326167E-3
1.126666580E-1,3.665191587E-3,-9.773843922E-3,-1.221730490E-3
1.146817370E-1,4.276056774E-3,-8.552113548E-3,-6.108652451E-4
1.166648160E-1,4.886921961E-3,-1.099557430E-2,-1.832595794E-3
1.186792800E-1,2.443460980E-3,-1.221730467E-2,0.000000000E0
1.206939750E-1,2.443460980E-3,-9.162978269E-3,-1.221730490E-3
1.226761310E-1,3.665191587E-3,-1.282817032E-2,-1.221730490E-3
1.246909790E-1,6.108652335E-3,-1.588249579E-2,-6.108652451E-4
1.266745970E-1,4.276056774E-3,-1.588249579E-2,-1.832595794E-3
1.286887520E-1,4.886921961E-3,-1.710422710E-2,-1.832595794E-3
1.306722160E-1,3.665191587E-3,-2.260201424E-2,-3.054326167E-3
1.326860650E-1,4.276056774E-3,-1.954768784E-2,-4.886921961E-3
1.346706060E-1,4.276056774E-3,-2.015855350E-2,-5.497787148E-3
1.366839150E-1,4.886921961E-3,-2.504547499E-2,-4.886921961E-3
1.386675330E-1,6.108652335E-3,-2.321287990E-2,-5.497787148E-3
1.406835350E-1,4.886921961E-3,-2.321287990E-2,-4.276056774E-3
1.426648440E-1,6.719517522E-3,-2.443460934E-2,-4.276056774E-3
1.446792320E-1,7.330383174E-3,-2.138028294E-2,-5.497787148E-3
1.466943880E-1,7.330383174E-3,-2.260201424E-2,-4.886921961E-3
1.486774670E-1,6.108652335E-3,-2.015855350E-2,-3.665191587E-3
1.506913150E-1,6.719517522E-3,-2.076941915E-2,-4.886921961E-3
1.526749320E-1,5.497787148E-3,-1.832595654E-2,-4.276056774E-3
1.546900120E-1,6.719517522E-3,-1.588249579E-2,-6.719517522E-3
1.566730910E-1,7.330383174E-3,-1.527163107E-2,-5.497787148E-3
1.586876320E-1,8.552113548E-3,-1.343903504E-2,-3.665191587E-3
1.606712490E-1,7.330383174E-3,-1.038470957E-2,-2.443460980E-3
