"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.225698000E-3,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
8.331470000E-3,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
1.031516600E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
1.232870700E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
1.431278700E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
1.632663600E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
1.831063900E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
2.032571900E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
2.230910700E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
2.432257100E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
2.630719000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
2.832050000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
3.030358000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
3.231866000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
3.433243300E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
3.631558900E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
3.833066900E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
4.031498000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
4.232813700E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
4.431244800E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
4.632691200E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
4.830999200E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
5.032353400E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
5.230723000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
5.432138700E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
5.630508200E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
5.831893100E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
6.033462600E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
6.231739900E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
6.433094000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
6.631502000E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
6.832940800E-2,4.581489414E-2,-8.368854225E-2,-5.009094998E-2
7.031248800E-2,2.015855350E-2,-1.771509275E-2,-5.497787148E-3
7.232672100E-2,1.710422710E-2,-2.015855350E-2,-7.330383174E-3
7.431072400E-2,1.832595654E-2,-2.932153270E-2,-9.773843922E-3
7.632457400E-2,1.649336144E-2,-3.420845419E-2,-1.221730467E-2
7.830857700E-2,1.527163107E-2,-4.092797264E-2,-1.282817032E-2
8.032419500E-2,1.466076635E-2,-4.703662544E-2,-1.099557430E-2
8.230642900E-2,1.221730467E-2,-5.070181563E-2,-1.221730467E-2
8.432089300E-2,9.162978269E-3,-5.803219974E-2,-1.343903504E-2
8.630335800E-2,7.330383174E-3,-6.597344577E-2,-1.282817032E-2
8.831774500E-2,6.108652335E-3,-6.780604273E-2,-1.343903504E-2
9.033259500E-2,4.276056774E-3,-7.330382615E-2,-1.343903504E-2
9.231629000E-2,1.221730490E-3,-7.880161703E-2,-1.160643995E-2
9.433013900E-2,-1.221730490E-3,-8.063421398E-2,-1.099557430E-2
9.631406500E-2,-1.832595794E-3,-8.185594529E-2,-1.099557430E-2
9.832829900E-2,-4.276056774E-3,-8.124507964E-2,-7.941247895E-3
1.003129170E-1,-4.276056774E-3,-8.185594529E-2,-9.773843922E-3
1.023251510E-1,-7.330383174E-3,-7.819075137E-2,-9.162978269E-3
1.043085390E-1,-7.941247895E-3,-7.452555746E-2,-9.162978269E-3
1.063245420E-1,-9.162978269E-3,-7.147123665E-2,-1.160643995E-2
1.083073140E-1,-1.282817032E-2,-6.475171447E-2,-9.162978269E-3
1.103206250E-1,-1.282817032E-2,-6.169738993E-2,-7.330383174E-3
1.123054740E-1,-1.404990070E-2,-5.497787148E-2,-8.552113548E-3
1.143187080E-1,-1.588249579E-2,-4.337143153E-2,-6.108652335E-3
1.163334800E-1,-1.588249579E-2,-3.787364438E-2,-6.719517522E-3
1.183169440E-1,-1.954768784E-2,-2.504547499E-2,-5.497787148E-3
1.203323320E-1,-2.076941915E-2,-1.221730467E-2,-5.497787148E-3
1.223156430E-1,-2.076941915E-2,-4.886921961E-3,-4.886921961E-3
1.243301840E-1,-2.382374369E-2,9.162978269E-3,-6.108652335E-3
1.263125720E-1,-2.382374369E-2,2.443460934E-2,-3.665191587E-3
1.283274210E-1,-2.687807009E-2,3.054326214E-2,-3.665191587E-3
1.303108090E-1,-2.871066704E-2,4.886921868E-2,-2.443460980E-3
1.323245810E-1,-3.115412779E-2,6.291911751E-2,-2.443460980E-3
1.343083530E-1,-3.176499158E-2,7.024950534E-2,-4.886921961E-3
1.363221250E-1,-3.237585723E-2,8.368854225E-2,-3.054326167E-3
1.383061280E-1,-3.420845419E-2,9.773843735E-2,-3.054326167E-3
1.403215160E-1,-3.665191308E-2,1.026253626E-1,0.000000000E0
1.423040570E-1,-3.726277873E-2,1.136209369E-1,-1.221730490E-3
1.443175990E-1,-3.726277873E-2,1.166752651E-1,6.108652451E-4
1.463326790E-1,-3.665191308E-2,1.233947799E-1,6.108652451E-4
1.483157590E-1,-3.665191308E-2,1.313360333E-1,2.443460980E-3
1.503296090E-1,-3.604105115E-2,1.325577646E-1,3.054326167E-3
1.523135350E-1,-3.604105115E-2,1.331686229E-1,3.665191587E-3
1.543279990E-1,-3.481931984E-2,1.343903542E-1,3.665191587E-3
1.563113870E-1,-3.481931984E-2,1.374446750E-1,4.886921961E-3
1.583261590E-1,-3.543018550E-2,1.331686229E-1,3.665191587E-3
1.603099320E-1,-3.481931984E-2,1.295034289E-1,4.276056774E-3
1.623237040E-1,-3.543018550E-2,1.276708394E-1,6.108652335E-3
1.643074760E-1,-3.115412779E-2,1.227839142E-1,3.054326167E-3
1.663212480E-1,-2.748893574E-2,1.148426682E-1,5.497787148E-3
1.683046360E-1,-2.932153270E-2,1.130100712E-1,4.886921961E-3
1.703191770E-1,-2.626720630E-2,1.038470939E-1,2.443460980E-3
1.723324110E-1,-2.565634064E-2,9.590584040E-2,3.665191587E-3
1.743169530E-1,-2.443460934E-2,9.162978828E-2,1.221730490E-3
1.763308020E-1,-2.260201424E-2,8.063421398E-2,6.108652451E-4
1.783151120E-1,-2.138028294E-2,7.513642311E-2,0.000000000E0
1.803299620E-1,-1.954768784E-2,6.658431143E-2,-6.108652451E-4
1.823132720E-1,-2.015855350E-2,5.619960278E-2,6.108652451E-4
1.843261980E-1,-1.771509275E-2,5.070181563E-2,-2.443460980E-3
1.863112010E-1,-1.466076635E-2,4.092797264E-2,-1.832595794E-3
1.883247430E-1,-1.343903504E-2,3.176499158E-2,-1.221730490E-3
1.903077460E-1,-1.343903504E-2,2.809980139E-2,-3.054326167E-3
1.923225950E-1,-1.466076635E-2,2.076941915E-2,-3.054326167E-3
1.943059060E-1,-1.343903504E-2,1.343903504E-2,-4.886921961E-3
1.963206780E-1,-1.099557430E-2,1.160643995E-2,-5.497787148E-3
1.983041420E-1,-9.773843922E-3,6.108652335E-3,-4.276056774E-3
2.003188380E-1,-1.099557430E-2,3.054326167E-3,-5.497787148E-3
2.023318410E-1,-1.038470957E-2,-1.832595794E-3,-6.108652335E-3
2.043169980E-1,-1.221730467E-2,-1.832595794E-3,-6.108652335E-3
2.063300010E-1,-9.773843922E-3,-3.665191587E-3,-6.108652335E-3
2.083130810E-1,-7.941247895E-3,-2.443460980E-3,-6.108652335E-3
2.103277760E-1,-1.038470957E-2,-4.276056774E-3,-7.941247895E-3
2.123114710E-1,-1.038470957E-2,-4.886921961E-3,-8.552113548E-3
2.143259360E-1,-9.773843922E-3,-6.108652335E-3,-6.108652335E-3
2.163090930E-1,-9.162978269E-3,-1.832595794E-3,-4.886921961E-3
2.183231720E-1,-9.773843922E-3,-1.832595794E-3,-4.886921961E-3
2.203081760E-1,-9.773843922E-3,-6.108652451E-4,-4.276056774E-3
2.223213320E-1,-7.330383174E-3,0.000000000E0,-3.665191587E-3
2.243041820E-1,-4.886921961E-3,6.108652451E-4,-4.886921961E-3
2.263192610E-1,-5.497787148E-3,1.832595794E-3,-3.054326167E-3
2.283339570E-1,-4.886921961E-3,2.443460980E-3,-3.054326167E-3
2.303167290E-1,-3.665191587E-3,4.276056774E-3,-6.108652451E-4
2.323300400E-1,-3.665191587E-3,7.330383174E-3,-3.054326167E-3
2.343145810E-1,-1.832595794E-3,7.330383174E-3,-2.443460980E-3
2.363290460E-1,0.000000000E0,7.330383174E-3,-6.108652451E-4
2.383122030E-1,6.108652451E-4,9.162978269E-3,-3.665191587E-3
2.403275130E-1,2.443460980E-3,1.099557430E-2,-3.054326167E-3
2.423102850E-1,3.054326167E-3,1.404990070E-2,-6.108652335E-3
2.443251350E-1,5.497787148E-3,1.649336144E-2,-7.941247895E-3
2.463081380E-1,7.330383174E-3,1.832595654E-2,-6.719517522E-3
2.483222940E-1,7.941247895E-3,1.954768784E-2,-6.108652335E-3
2.503057590E-1,1.038470957E-2,2.443460934E-2,-6.108652335E-3
2.523201480E-1,1.221730467E-2,2.504547499E-2,-8.552113548E-3
2.543035350E-1,1.527163107E-2,2.932153270E-2,-9.773843922E-3
2.563176920E-1,1.710422710E-2,3.298672289E-2,-1.038470957E-2
2.583321570E-1,1.649336144E-2,3.665191308E-2,-1.221730467E-2
2.603165440E-1,1.832595654E-2,3.787364438E-2,-1.099557430E-2
2.623294700E-1,1.710422710E-2,4.703662544E-2,-1.343903504E-2
2.643122430E-1,1.832595654E-2,4.642575979E-2,-1.282817032E-2
2.663276300E-1,1.954768784E-2,5.192354694E-2,-1.527163107E-2
2.683116330E-1,2.138028294E-2,5.681046844E-2,-1.466076635E-2
2.703248670E-1,2.015855350E-2,6.108652428E-2,-1.771509275E-2
2.723091780E-1,1.832595654E-2,6.536258012E-2,-1.710422710E-2
2.743226420E-1,2.015855350E-2,6.719517708E-2,-1.893682219E-2
2.763063380E-1,1.832595654E-2,7.330382615E-2,-1.649336144E-2
2.783205710E-1,1.649336144E-2,7.696902007E-2,-2.076941915E-2
2.803048050E-1,1.588249579E-2,7.880161703E-2,-1.771509275E-2
2.823196540E-1,1.282817032E-2,8.368854225E-2,-2.199114859E-2
2.843344270E-1,1.160643995E-2,8.552113175E-2,-2.138028294E-2
2.863159680E-1,1.099557430E-2,8.491026610E-2,-2.015855350E-2
2.883306630E-1,7.941247895E-3,8.857546002E-2,-1.771509275E-2
2.903146660E-1,3.665191587E-3,9.162978828E-2,-1.954768784E-2
2.923279770E-1,3.054326167E-3,9.101892263E-2,-2.199114859E-2
2.943125950E-1,0.000000000E0,8.979719132E-2,-2.199114859E-2
2.963263680E-1,-3.665191587E-3,8.796459436E-2,-2.015855350E-2
2.983100630E-1,-3.665191587E-3,8.613199741E-2,-1.954768784E-2
3.003249120E-1,-6.108652335E-3,8.613199741E-2,-1.893682219E-2
3.023085300E-1,-6.719517522E-3,8.368854225E-2,-1.710422710E-2
3.043218410E-1,-9.162978269E-3,8.002334833E-2,-1.893682219E-2
3.063057670E-1,-1.221730467E-2,7.635815442E-2,-1.649336144E-2
3.083200010E-1,-1.649336144E-2,7.452555746E-2,-1.588249579E-2
3.103341580E-1,-1.649336144E-2,6.902777404E-2,-1.588249579E-2
3.123177760E-1,-1.771509275E-2,6.475171447E-2,-1.527163107E-2
3.143316250E-1,-1.954768784E-2,6.169738993E-2,-1.466076635E-2
3.163153210E-1,-2.138028294E-2,5.864306539E-2,-1.404990070E-2
3.183295550E-1,-2.199114859E-2,4.948008433E-2,-1.282817032E-2
3.203144040E-1,-2.382374369E-2,4.825835302E-2,-1.221730467E-2
3.223282530E-1,-2.626720630E-2,4.398229718E-2,-9.773843922E-3
3.243122560E-1,-2.687807009E-2,3.787364438E-2,-9.162978269E-3
3.263258740E-1,-2.748893574E-2,3.726277873E-2,-1.038470957E-2
3.283088770E-1,-2.748893574E-2,3.237585723E-2,-8.552113548E-3
3.303231110E-1,-2.932153270E-2,3.054326214E-2,-7.941247895E-3
3.323064220E-1,-2.932153270E-2,2.687807009E-2,-8.552113548E-3
3.343208860E-1,-3.054326214E-2,2.382374369E-2,-7.330383174E-3
