"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.431278700E-2,-2.262032032E-2,1.224184036E-1,-7.458639145E-2
2.230910700E-2,4.730701447E-2,2.658557892E-2,-7.659101486E-2
3.030358000E-2,7.102966309E-3,2.651405334E-2,1.717662811E-2
3.833066900E-2,-2.982640266E-2,5.428504944E-2,8.642005920E-2
4.632691200E-2,-8.510696888E-2,7.707214355E-2,1.340689659E-1
5.432138700E-2,-6.246566772E-2,9.388732910E-2,1.017823219E-1
6.231739900E-2,-4.109871387E-2,8.661270142E-2,6.710863113E-2
7.031248800E-2,-6.663668156E-2,1.412477493E-1,3.573656082E-2
7.830857700E-2,-1.136112213E-1,1.535625458E-1,-9.366512299E-3
8.630335800E-2,-1.096038818E-1,1.940193176E-1,-5.751991272E-2
9.433013900E-2,-8.452463150E-2,2.255511284E-1,-9.591388702E-2
1.023251510E-1,-4.063975811E-2,1.896400452E-1,-9.715986252E-2
1.103206250E-1,5.869865417E-2,2.162427902E-1,-1.004858017E-1
1.183169440E-1,1.142735481E-1,1.812667847E-1,-6.514167786E-2
1.263125720E-1,1.728831530E-1,1.661119461E-1,-4.746341705E-2
1.343083530E-1,1.601785421E-1,1.496973038E-1,-1.332330704E-2
1.423040570E-1,7.976698875E-2,1.090860367E-1,1.061391830E-2
1.503296090E-1,-2.751374245E-2,8.402729034E-2,5.068588257E-2
1.583261590E-1,-1.190644503E-1,4.253578186E-2,4.557180405E-2
1.663212480E-1,-1.351673603E-1,-2.260589600E-2,5.734634399E-2
1.743169530E-1,-1.705160141E-1,-5.486488342E-2,3.369379044E-2
1.823132720E-1,-1.649650335E-1,-7.327556610E-2,1.136779785E-2
1.903077460E-1,-1.027441025E-1,-1.117162704E-1,-6.199836731E-3
1.983041420E-1,-4.257321358E-2,-1.171236038E-1,-2.833843231E-2
2.063300010E-1,-7.194995880E-3,-1.127157211E-1,-4.680109024E-2
2.143259360E-1,3.466963768E-3,-9.458732605E-2,-2.534627914E-2
2.223213320E-1,2.218210697E-2,-7.509613037E-2,1.362323761E-2
2.303167290E-1,2.199149132E-2,-6.053924561E-2,3.792333603E-2
2.383122030E-1,5.567073822E-2,-8.201122284E-2,3.320932388E-2
2.463081380E-1,5.941510201E-2,-9.366607666E-2,6.612491608E-2
2.543035350E-1,6.944012642E-2,-8.455944061E-2,3.651714325E-2
2.623294700E-1,6.317579746E-2,-4.218387604E-2,-8.962154388E-3
2.703248670E-1,2.688705921E-2,1.290798187E-2,-5.388975143E-2
2.783205710E-1,-1.161336899E-3,6.172943115E-2,-1.055274010E-1
2.863159680E-1,-3.339636326E-2,8.980655670E-2,-1.184277534E-1
2.943125950E-1,-9.808766842E-2,1.276149750E-1,-1.079330444E-1
3.023085300E-1,-9.728753567E-2,1.660346985E-1,-5.867815018E-2
3.103341580E-1,-1.190960407E-1,1.806459427E-1,-2.058553696E-2
3.183295550E-1,-1.077669859E-1,1.691913605E-1,4.438877106E-2
3.263258740E-1,-1.087499857E-1,1.818475723E-1,4.748106003E-2
3.343208860E-1,-6.695580482E-2,1.658391953E-1,3.161334991E-2
3.423166670E-1,-4.689776897E-2,1.475391388E-1,2.793693542E-2
3.503116800E-1,-1.969933510E-2,9.811019897E-2,1.708602905E-2
3.583076930E-1,-2.794420719E-2,3.924942017E-2,-2.958202362E-2
3.663342430E-1,-2.574944496E-2,2.125263214E-2,-6.665182114E-2
3.743296400E-1,-4.661655426E-2,1.056098938E-2,-4.392194748E-2
3.823253440E-1,-7.648599148E-2,-4.945755005E-3,-6.209135056E-2
3.903210480E-1,-1.228129864E-1,5.884170532E-3,-8.034563065E-2
3.983157530E-1,-1.334031820E-1,-2.435684204E-3,-9.614276886E-2
4.063112260E-1,-1.660808325E-1,-1.310443878E-2,-9.256076813E-2
4.143074690E-1,-1.658270359E-1,-9.342193604E-3,-7.673597336E-2
4.223031730E-1,-1.470630169E-1,-1.988983154E-2,-9.415960312E-2
4.303290310E-1,-1.074466705E-1,-2.322387695E-2,-9.697055817E-2
4.383253510E-1,-7.816898823E-2,-5.086898804E-3,-9.969186783E-2
4.463205170E-1,-3.983211517E-2,-1.352310181E-2,-1.218008995E-1
4.543158380E-1,-6.439924240E-3,-1.243591309E-2,-1.583175659E-1
4.623118500E-1,-2.289640903E-2,3.026962280E-3,-1.781773567E-1
4.703076310E-1,-3.121316433E-2,-4.835128784E-2,-1.955957413E-1
4.783331050E-1,-5.981063843E-2,-1.137609482E-1,-1.697254181E-1
4.863300400E-1,-1.371719837E-1,-1.810712814E-1,-1.362957954E-1
4.943245130E-1,-2.317317724E-1,-2.716150284E-1,-1.046524048E-1
5.023206020E-1,-3.123167753E-1,-2.823457718E-1,-7.703495026E-2
5.103150760E-1,-4.054881334E-1,-2.304162979E-1,-1.570224762E-2
5.183113950E-1,-4.589275718E-1,-1.448078156E-1,-1.911687851E-2
5.263070230E-1,-5.038831234E-1,-4.475593567E-2,-5.145597458E-2
5.343341120E-1,-5.451238751E-1,3.139305115E-2,-8.883666992E-2
5.423292780E-1,-5.756967664E-1,6.220149994E-2,-1.788883209E-1
5.503245980E-1,-5.717035532E-1,6.007099152E-2,-3.017382622E-1
5.583203030E-1,-5.269139409E-1,3.723430634E-2,-3.800835609E-1
5.663156990E-1,-3.782309890E-1,1.285743713E-2,-4.565920830E-1
5.743110960E-1,-2.642624378E-1,-8.183479309E-3,-4.354157448E-1
5.823074930E-1,-1.143281460E-1,-1.950931549E-2,-3.630809784E-1
5.903326580E-1,-4.554831982E-2,3.069686890E-2,-2.530288696E-1
5.983284400E-1,-9.621381760E-3,7.757091522E-2,-2.039103508E-1
6.063244520E-1,-5.644631386E-2,2.072362900E-1,-1.082105637E-1
6.143201560E-1,-1.660041809E-1,2.858867645E-1,-3.753566742E-2
6.223149370E-1,-2.520451546E-1,3.618178368E-1,-3.910875320E-2
6.303112570E-1,-3.313762546E-1,3.992266655E-1,-7.389545441E-3
6.383071920E-1,-3.797309399E-1,3.719310760E-1,-3.797340393E-2
6.463333580E-1,-3.706377745E-1,2.705612183E-1,-5.871820450E-2
6.543287560E-1,-3.398751020E-1,1.768140793E-1,-1.002898216E-1
6.623256910E-1,-2.870703340E-1,9.075069427E-2,-8.845329285E-2
6.703195490E-1,-2.334845066E-1,1.056041718E-1,-4.744958878E-2
6.783155610E-1,-1.195087433E-1,1.826992035E-1,2.216386795E-2
6.863107270E-1,-3.138458729E-2,2.140111923E-1,1.199202538E-1
6.943073540E-1,-1.207160950E-2,2.448148727E-1,1.712002754E-1
7.023329050E-1,1.959836483E-2,2.436666489E-1,2.449464798E-1
7.103285320E-1,-2.105903625E-2,2.005510330E-1,2.879500389E-1
7.183240060E-1,-9.130561352E-2,1.253623962E-1,2.385783195E-1
7.263197100E-1,-2.681016922E-2,-2.691268921E-3,1.677494049E-1
7.343156450E-1,8.577609062E-2,-1.208915710E-1,1.649489403E-1
7.423114260E-1,2.415456772E-1,-2.242336273E-1,1.012835503E-1
7.503058230E-1,3.816853762E-1,-2.482919693E-1,9.824037552E-2
7.583317590E-1,4.775915146E-1,-2.365455627E-1,1.072635651E-1
7.663283860E-1,4.813297987E-1,-2.108697891E-1,1.469497681E-1
7.743246290E-1,4.573031664E-1,-1.452941895E-1,1.784367561E-1
7.823203340E-1,3.910992146E-1,-3.501892090E-2,1.538629532E-1
7.903151150E-1,3.211841583E-1,8.380889893E-2,1.589932442E-1
7.983102810E-1,2.644819021E-1,1.350164413E-1,3.652572632E-2
8.063059080E-1,1.842763424E-1,9.799766541E-2,-7.105302811E-2
8.143321510E-1,2.035070658E-1,1.636219025E-2,-1.750450134E-1
8.223281630E-1,2.997345924E-1,-6.382465363E-2,-2.957997322E-1
8.303231750E-1,4.043064117E-1,-8.003997803E-2,-2.768135071E-1
8.383195720E-1,4.495333433E-1,-1.964569092E-3,-1.456189156E-1
8.463152760E-1,4.741554260E-1,5.220222473E-2,7.588386536E-3
8.543105970E-1,4.169307947E-1,1.167478561E-1,3.689045906E-1
8.623066850E-1,3.072645664E-1,1.098661423E-1,4.849390984E-1
8.703322360E-1,2.405321598E-1,9.821891785E-2,6.137118340E-1
8.783282480E-1,2.580384016E-1,1.275081635E-1,5.477786064E-1
8.863239520E-1,3.297951221E-1,1.263189316E-1,5.372028351E-1
8.943187340E-1,3.314958811E-1,1.073436737E-1,3.366231918E-1
9.023149760E-1,4.195539951E-1,7.114315033E-2,1.575050354E-1
9.103095270E-1,6.017270088E-1,2.325344086E-2,3.213071823E-2
9.183055390E-1,7.133589983E-1,-3.104305267E-2,-7.232046127E-2
9.263320120E-1,7.722539902E-1,-5.563449860E-2,-1.222805977E-1
9.343276400E-1,8.244624138E-1,-6.268978119E-2,-1.206579208E-1
9.423236520E-1,8.004086018E-1,-4.779529572E-2,-9.438562393E-2
9.503187410E-1,7.044836283E-1,-1.849174500E-3,-3.937339783E-2
9.583151380E-1,5.776506662E-1,3.637218475E-2,3.631496429E-2
9.663105350E-1,4.059647322E-1,1.180458069E-2,9.185791016E-2
9.743062390E-1,2.378060818E-1,-1.566791534E-2,1.391091347E-1
9.823323280E-1,1.100029945E-1,-1.712512970E-2,1.445569992E-1
9.903274170E-1,-3.907203674E-2,-3.460311890E-2,7.307910919E-2
9.983231220E-1,-8.201682568E-2,-2.269554138E-2,6.501197815E-3
1.006318826E0,-9.488070011E-2,-4.609203339E-2,-7.621574402E-2
1.014314299E0,-2.622604370E-4,-1.240329742E-1,-1.986379623E-1
1.022310004E0,2.177286148E-2,-1.366004944E-1,-2.357554436E-1
1.030306016E0,1.119447947E-1,-1.531238556E-1,-2.781949043E-1
1.038331797E0,1.553500891E-1,-1.660709381E-1,-2.894430161E-1
1.046327271E0,1.545414925E-1,-1.301746368E-1,-2.603402138E-1
1.054322976E0,1.360439062E-1,-1.007528305E-1,-2.727637291E-1
1.062318603E0,1.239938736E-1,-8.969116211E-2,-3.314104080E-1
1.070313462E0,1.040183306E-1,-3.681182861E-2,-4.285278320E-1
1.078310089E0,1.098184586E-1,-2.560615540E-2,-5.037899017E-1
1.086306332E0,1.124399900E-1,-9.696006775E-3,-6.656885147E-1
1.094331344E0,1.195421219E-1,6.439208984E-3,-7.342476845E-1
1.102327587E0,7.381713390E-2,2.959346771E-2,-7.508091927E-1
1.110323060E0,-3.604054451E-2,9.230422974E-2,-6.909213066E-1
1.118318764E0,-2.189388275E-1,1.626977921E-1,-6.375169754E-1
1.126314469E0,-4.186954498E-1,2.208118439E-1,-4.895100594E-1
1.134309481E0,-5.184592009E-1,2.636661530E-1,-2.885098457E-1
1.142305800E0,-4.329138994E-1,2.317247391E-1,-3.425011635E-1
1.150330812E0,-2.695420980E-1,2.496032715E-1,-4.349493980E-1
1.158327056E0,-9.969258308E-2,2.288293839E-1,-5.049834251E-1
1.166322838E0,1.194119453E-2,1.219367981E-1,-5.637512207E-1
1.174317926E0,-1.958489418E-3,2.133178711E-2,-7.914125919E-1
1.182313631E0,-6.389474869E-2,-8.585262299E-2,-8.872449398E-1
1.190308951E0,-1.480554342E-1,-1.711959839E-1,-7.687456608E-1
1.198304116E0,-1.572161913E-1,-3.353071213E-1,-6.496672630E-1
1.206331821E0,-3.813600540E-2,-5.517330170E-1,-4.246168137E-1
1.214326833E0,1.210250854E-1,-7.184381485E-1,-1.853260994E-1
1.222322537E0,1.796183586E-1,-7.078094482E-1,1.148595810E-1
1.230317934E0,1.471321583E-1,-5.797529221E-1,3.547320366E-1
1.238313715E0,6.921315193E-2,-3.805112839E-1,5.755944252E-1
1.246309419E0,-3.185677528E-2,-1.615123749E-1,7.675309181E-1
1.254304508E0,-6.674933434E-2,1.399993896E-2,7.054090500E-1
1.262332137E0,-1.468944550E-2,2.096452713E-1,5.334367752E-1
1.270326918E0,4.640555382E-2,3.560218811E-1,3.575673103E-1
1.278322622E0,-3.364205360E-2,5.734901428E-1,1.261172295E-1
1.286318403E0,-1.171908379E-1,6.773047447E-1,-6.637048721E-2
1.294313415E0,-1.173865795E-1,7.442412376E-1,-2.460370064E-1
1.302310351E0,-6.879758835E-2,7.313752174E-1,-2.958683968E-1
1.310304593E0,1.716279984E-2,6.287069321E-1,-2.385735512E-1
1.318330759E0,4.935503006E-2,5.171461105E-1,-1.349582672E-1
1.326326771E0,-1.023364067E-2,4.511766434E-1,2.318191528E-2
1.334321860E0,-1.396083832E-1,4.181184769E-1,2.173376083E-1
1.342317564E0,-2.501829863E-1,3.740596771E-1,3.978762627E-1
1.350312884E0,-3.495868444E-1,3.025541306E-1,5.201721191E-1
1.358309590E0,-4.268698692E-1,2.324962616E-1,5.898957253E-1
1.366304678E0,-4.664266109E-1,1.614198685E-1,6.218595505E-1
1.374330537E0,-5.667520761E-1,6.090450287E-2,5.809869766E-1
1.382327164E0,-5.459824800E-1,-3.009605408E-2,5.094084740E-1
1.390321868E0,-5.116360188E-1,-4.859828949E-2,3.654441833E-1
1.398317265E0,-3.883289099E-1,-1.284637451E-1,2.459945679E-1
1.406313892E0,-2.861444950E-1,-1.566753387E-1,8.263444901E-2
1.414308366E0,-1.739325523E-1,-1.186704636E-1,-4.996728897E-2
1.422304763E0,-2.498030663E-2,-1.224222183E-1,-1.692190170E-1
1.430331236E0,2.291901112E-1,-1.158409119E-1,-2.638146877E-1
1.438326017E0,4.558689594E-1,-1.061620712E-1,-3.472726345E-1
1.446321645E0,5.609455109E-1,-6.285762787E-2,-3.319752216E-1
1.454317349E0,6.054649353E-1,-5.796337128E-2,-2.849538326E-1
1.462313670E0,6.238369942E-1,-9.408760071E-2,-2.253823280E-1
1.470307836E0,6.499614716E-1,-1.882724762E-1,-1.781466007E-1
1.478335002E0,6.453816891E-1,-3.429088593E-1,-1.384663582E-1
1.486330398E0,6.049630642E-1,-4.594058990E-1,-1.411726475E-1
1.494326718E0,5.725176334E-1,-5.995454788E-1,-1.474153996E-1
1.502322115E0,5.008881092E-1,-6.983652115E-1,-1.593861580E-1
1.510317204E0,4.862699509E-1,-7.702369690E-1,-1.295335293E-1
1.518313139E0,5.500497818E-1,-8.559818268E-1,-1.035573483E-1
1.526308535E0,6.557807922E-1,-8.481283188E-1,-1.950168610E-2
1.534334470E0,6.854343414E-1,-7.855567932E-1,1.768267155E-1
1.542330482E0,6.305766106E-1,-6.635160446E-1,1.054658890E-1
1.550324956E0,5.505137444E-1,-5.539627075E-1,1.734592915E-1
1.558321815E0,4.821155071E-1,-4.262084961E-1,2.011713982E-1
1.566317212E0,3.857584000E-1,-3.211832047E-1,2.296006680E-1
1.574313531E0,2.966935635E-1,-2.485561371E-1,1.990985870E-1
1.582308005E0,2.177674770E-1,-1.554517746E-1,8.589506149E-2
1.590334786E0,2.019040585E-1,-3.939437866E-2,-5.252146721E-2
1.598330183E0,1.732265949E-1,1.071453094E-1,-9.610795975E-2
1.606326810E0,1.469552517E-1,1.863508224E-1,-1.643283367E-1
1.614321976E0,8.636021614E-2,2.511949539E-1,-1.713001728E-1
1.622317680E0,1.325607300E-4,2.278118134E-1,-1.530907154E-1
1.630312769E0,-3.765034676E-2,1.975221634E-1,-1.265501976E-1
1.638308704E0,-1.064138412E-1,1.173601151E-1,-1.078553200E-1
1.646334947E0,-1.826679707E-1,3.284072876E-2,-9.424304962E-2
1.654329959E0,-2.694680691E-1,-2.735614777E-2,-7.104063034E-2
1.662325972E0,-3.149566650E-1,-1.064662933E-1,-4.044032097E-2
1.670321369E0,-3.099756241E-1,-1.471815109E-1,1.423668861E-2
1.678316766E0,-2.666532993E-1,-1.496009827E-1,-5.080699921E-4
1.686312778E0,-2.043018341E-1,-1.711626053E-1,8.842706680E-3
1.694308482E0,-2.023375034E-1,-1.186151505E-1,-1.520442963E-2
1.702334109E0,-2.390091419E-1,-1.282815933E-1,-5.807805061E-2
1.710329198E0,-2.712888718E-1,-1.257944107E-1,-9.067940712E-2
1.718325518E0,-2.728095055E-1,-1.277713776E-1,-1.270897388E-1
1.726321530E0,-2.441198826E-1,-1.509284973E-1,-1.692817211E-1
1.734316619E0,-2.190027237E-1,-2.141532898E-1,-2.332708836E-1
1.742312246E0,-1.451475620E-1,-2.241401672E-1,-2.759158611E-1
1.750307951E0,-6.338286400E-2,-2.190532684E-1,-3.662567139E-1
1.758334194E0,-6.844043732E-3,-1.629133224E-1,-4.038152695E-1
1.766329899E0,2.519607544E-2,-8.940601349E-2,-4.229054451E-1
1.774324911E0,8.359646797E-2,-4.925727844E-2,-3.889522552E-1
1.782321538E0,1.205489635E-1,-9.685516357E-3,-3.084592819E-1
1.790315781E0,1.362967491E-1,-2.612113953E-2,-2.302834988E-1
1.798312408E0,1.354427338E-1,-3.386402130E-2,-1.973035336E-1
1.806307805E0,1.225574017E-1,-4.250907898E-2,-1.543474197E-1
1.814334279E0,3.047871590E-2,-1.366615295E-2,-1.059701443E-1
1.822330214E0,-8.085894585E-2,1.878738403E-4,-1.020324230E-1
1.830324456E0,-1.348652840E-1,3.997230530E-2,-9.892916679E-2
1.838320776E0,-1.916801929E-1,5.808830261E-2,-1.221930981E-1
1.846317019E0,-2.299609184E-1,8.348560333E-2,-1.448702812E-1
1.854311262E0,-1.998772621E-1,8.247375488E-2,-1.120231152E-1
1.862308121E0,-1.617829800E-1,5.245494843E-2,-6.214094162E-2
1.870333364E0,-6.823301315E-2,3.160762787E-2,-5.270886421E-2
1.878329453E0,1.068623066E-1,3.170585632E-2,-5.291223526E-2
1.886325465E0,2.029020786E-1,1.900863647E-2,-5.670309067E-3
1.894320554E0,3.229873180E-1,-4.753017426E-2,9.296512604E-2
1.902316566E0,4.310493469E-1,-1.273279190E-1,1.781959534E-1
1.910311885E0,5.675442219E-1,-2.373056412E-1,3.168742657E-1
1.918307282E0,6.711454391E-1,-3.829984665E-1,5.561316013E-1
1.926333832E0,7.356574535E-1,-4.838094711E-1,7.538516521E-1
1.934328921E0,8.366327286E-1,-5.784616470E-1,9.889204502E-1
1.942324933E0,8.847081661E-1,-6.694831848E-1,1.175560951E0
1.950319330E0,9.654200077E-1,-7.683887482E-1,1.315471888E0
1.958316034E0,9.384810925E-1,-7.910099030E-1,1.403512955E0
1.966311432E0,8.067827225E-1,-8.659744263E-1,1.486695290E0
1.974307752E0,7.510838509E-1,-9.935245514E-1,1.360659599E0
1.982334148E0,9.140310287E-1,-1.050715446E0,1.328121662E0
1.990329545E0,1.288164616E0,-1.102483749E0,1.394695282E0
1.998324711E0,1.582212210E0,-1.115318298E0,1.380659580E0
2.006320415E0,1.857848644E0,-1.141921997E0,1.430441380E0
2.014316350E0,1.982948065E0,-1.187178612E0,1.439297676E0
2.022311747E0,1.924094439E0,-1.220684052E0,1.499038696E0
2.030306836E0,1.801396132E0,-1.252215385E0,1.549299240E0
2.038333386E0,1.593676090E0,-1.241381645E0,1.589611053E0
2.046329321E0,1.383599281E0,-1.219370842E0,1.638676643E0
2.054324795E0,1.294872522E0,-1.232170105E0,1.534749508E0
2.062320500E0,1.328253746E0,-1.191975594E0,1.408950806E0
2.070316205E0,1.582046986E0,-1.160301208E0,1.147179604E0
