"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.027842000E-3,1.733402014E0,-5.734113216E0,6.433219910E0
7.073300000E-3,1.740584612E0,-5.705382824E0,6.421248913E0
9.178603000E-3,1.738190413E0,-5.676652431E0,6.423643112E0
1.116190800E-2,1.750161409E0,-5.659893036E0,6.411672115E0
1.317728900E-2,1.742978811E0,-5.657498837E0,6.402095318E0
1.515697800E-2,1.750161409E0,-5.657498837E0,6.356605530E0
1.717335900E-2,1.735796213E0,-5.650316238E0,6.332663536E0
1.915797000E-2,1.733402014E0,-5.655104637E0,6.318298340E0
2.117242800E-2,1.745373011E0,-5.676652431E0,6.306327343E0
2.315542500E-2,1.771709204E0,-5.693411827E0,6.275202751E0
2.517019100E-2,1.790862918E0,-5.705382824E0,6.268020153E0
2.715334100E-2,1.829170108E0,-5.746084213E0,6.272808552E0
2.916749100E-2,1.872265697E0,-5.777208805E0,6.277596951E0
3.115141100E-2,1.881842494E0,-5.793968201E0,6.284779549E0
3.316502300E-2,1.939303398E0,-5.810727596E0,6.279991150E0
3.517909600E-2,1.944091797E0,-5.832275391E0,6.296750546E0
3.716255300E-2,1.939303398E0,-5.841852188E0,6.308721542E0
3.917755000E-2,1.939303398E0,-5.865794182E0,6.330269337E0
4.116131600E-2,1.934514999E0,-5.877765179E0,6.344634533E0
4.317477400E-2,1.917755604E0,-5.894524574E0,6.392518520E0
4.515884700E-2,1.912967205E0,-5.908889771E0,6.452373505E0
4.717292100E-2,1.905784607E0,-5.911283970E0,6.471527100E0
4.915576300E-2,1.903390408E0,-5.932831764E0,6.449979305E0
5.116683700E-2,1.912967205E0,-5.961562157E0,6.406883717E0
5.315383300E-2,1.929726601E0,-5.961562157E0,6.392518520E0
5.516921400E-2,1.953668594E0,-5.980715752E0,6.366182327E0
5.715228800E-2,1.977610588E0,-5.997475147E0,6.325480938E0
5.916620700E-2,1.996764183E0,-5.999869347E0,6.320692539E0
6.115135800E-2,2.013523579E0,-6.016628742E0,6.313509941E0
6.316458400E-2,2.025494576E0,-6.026205540E0,6.311115742E0
6.517819700E-2,2.035071373E0,-6.038176537E0,6.315904140E0
6.716211600E-2,2.027888775E0,-6.066906929E0,6.318298340E0
6.917572800E-2,2.018311977E0,-6.090848923E0,6.313509941E0
7.115972400E-2,2.006340981E0,-6.093243122E0,6.320692539E0
7.317387400E-2,1.977610588E0,-6.098031521E0,6.347028732E0
7.515779400E-2,1.968033791E0,-6.107608318E0,6.358999729E0
7.717171300E-2,1.994369984E0,-6.121973515E0,6.378153324E0
7.915501800E-2,1.975216389E0,-6.153098583E0,6.409277916E0
8.117047500E-2,1.980004787E0,-6.177040577E0,6.428431511E0
8.315316500E-2,1.984793186E0,-6.212953568E0,6.485892296E0
8.516708400E-2,1.991975784E0,-6.251260757E0,6.521805286E0
8.715046600E-2,1.999158382E0,-6.282385349E0,6.524199486E0
8.916484600E-2,2.001552582E0,-6.351817131E0,6.533776283E0
9.117907300E-2,1.984793186E0,-6.392518520E0,6.548141479E0
9.316368500E-2,1.989581585E0,-6.411672115E0,6.562506676E0
9.517752700E-2,1.982398987E0,-6.438008308E0,6.567295074E0
9.716052400E-2,1.968033791E0,-6.464344501E0,6.576871872E0
9.917498200E-2,1.953668594E0,-6.471527100E0,6.562506676E0
1.011592870E-1,1.927332401E0,-6.517016888E0,6.555324078E0
1.031725900E-1,1.924938202E0,-6.540958881E0,6.564900875E0
1.051568180E-1,1.891419291E0,-6.550535679E0,6.576871872E0
1.071701220E-1,1.860294700E0,-6.569689274E0,6.591237068E0
1.091540410E-1,1.853112102E0,-6.569689274E0,6.596025467E0
1.111688840E-1,1.795651317E0,-6.579266071E0,6.627150536E0
1.131519570E-1,1.745373011E0,-6.605602264E0,6.663063526E0
