"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.572100700E-2,-2.142536640E-2,1.651735306E-1,-1.163439751E-1
2.371581000E-2,1.500082016E-2,1.234941483E-1,-1.470618248E-1
3.171092000E-2,1.073770523E-1,1.412401199E-1,-1.757793427E-1
3.973856800E-2,1.137869358E-1,2.256684303E-1,-1.921615601E-1
4.773460100E-2,1.856017113E-2,2.534332275E-1,-2.491555214E-1
5.572909600E-2,-6.833493710E-2,2.672085762E-1,-2.792663574E-1
6.372543700E-2,-1.206214428E-1,2.420291901E-1,-3.250694275E-1
7.172031600E-2,-6.649756432E-2,2.082290649E-1,-3.366212845E-1
7.971604200E-2,-2.740323544E-2,2.051610947E-1,-3.053364754E-1
8.771169000E-2,2.473914623E-2,2.336115837E-1,-3.368501663E-1
9.573764600E-2,5.024468899E-2,2.602090836E-1,-3.366870880E-1
1.037339100E-1,5.892419815E-2,2.614917755E-1,-3.435111046E-1
1.117287890E-1,1.442193985E-2,2.317323685E-1,-3.114538193E-1
1.197254390E-1,-2.474248409E-2,2.106599808E-1,-2.985401154E-1
1.277213950E-1,-5.479562283E-2,2.418560982E-1,-3.729805946E-1
1.357165050E-1,-6.466948986E-2,2.283415794E-1,-2.117810249E-1
1.437119220E-1,-1.952195168E-2,2.126855850E-1,-2.512383461E-1
1.517371860E-1,-8.504033089E-2,1.757678986E-1,-2.876949310E-1
1.597332190E-1,-1.544359326E-1,1.682286263E-1,-2.231121063E-1
1.677295600E-1,-1.665179133E-1,1.758885384E-1,-1.942701340E-1
1.757250550E-1,-1.052740812E-1,1.190032959E-1,-1.707625389E-1
1.837203960E-1,-7.010662556E-2,1.171989441E-1,-2.764148712E-1
1.917161210E-1,-4.862987995E-2,9.430313110E-2,-2.377438545E-1
1.997432310E-1,-2.182745934E-2,9.564971924E-2,-1.962213516E-1
2.077386490E-1,1.716613770E-5,8.561325073E-2,-1.965174675E-1
2.157331440E-1,3.244161606E-2,7.129383087E-2,-2.062239647E-1
2.237292550E-1,8.281695843E-2,1.207637787E-2,-1.384367943E-1
2.317245950E-1,8.676016331E-2,-5.580806732E-2,-7.079601288E-2
2.397203210E-1,6.085777283E-2,-1.028594971E-1,-6.585597992E-2
2.477167380E-1,2.460122108E-2,-1.628198624E-1,1.003456116E-2
2.557419250E-1,-5.363714695E-2,-1.535797119E-1,-3.353548050E-2
2.637377270E-1,-9.514355659E-2,-1.776094437E-1,4.242897034E-2
2.717340680E-1,-4.758572578E-2,-1.547317505E-1,-1.773786545E-2
2.797291790E-1,2.340793610E-3,-1.582498550E-1,4.994535446E-2
2.877269810E-1,3.403413296E-2,-1.475152969E-1,-2.250671387E-2
2.957205530E-1,8.704996109E-2,-1.215009689E-1,3.348922729E-2
3.037156630E-1,1.242288351E-1,-1.440925598E-1,8.533859253E-2
3.117391570E-1,2.112081051E-1,-1.535634995E-1,5.724573135E-2
3.197376520E-1,3.393902779E-1,-1.827402115E-1,1.407804489E-1
3.277339920E-1,3.280391693E-1,-1.432523727E-1,1.347208023E-1
3.357291030E-1,2.041037083E-1,-7.790279388E-2,6.573200226E-2
3.437247520E-1,1.790859699E-1,-7.036113739E-2,1.158003807E-1
3.517199390E-1,2.207162380E-1,-9.511566162E-2,2.598567009E-1
3.597162790E-1,1.312658787E-1,-1.397867203E-1,1.493144035E-1
3.677439280E-1,9.000885487E-2,-1.205959320E-1,2.031841278E-1
3.757378070E-1,1.734051704E-1,-1.285610199E-1,1.125788689E-1
3.837341480E-1,1.964857578E-1,-8.197879791E-2,3.616189957E-2
3.917284120E-1,2.248420715E-1,-7.874107361E-2,3.643083572E-2
3.997241380E-1,2.857297659E-1,-4.689979553E-2,8.721351624E-4
4.077210940E-1,2.748537064E-1,-2.930641174E-2,-3.443431854E-2
4.157158190E-1,2.485181093E-1,1.029109955E-2,-8.116960526E-2
4.237426210E-1,1.882890463E-1,5.269336700E-2,-5.340003967E-2
4.317381160E-1,1.012388468E-1,1.218051910E-1,-9.721660614E-2
4.397343810E-1,6.336116791E-2,1.434631348E-1,-1.094269753E-1
4.477307220E-1,1.072231531E-1,6.713008881E-2,-1.405148506E-1
