"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.360820000E-3,2.166752577E0,-8.714894056E-1,8.767566681E0
8.015923000E-3,2.075772762E0,-8.714894056E-1,8.772355080E0
1.001592300E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.201592300E-2,2.042253971E0,-9.026140571E-1,8.798690796E0
1.401592300E-2,2.042253971E0,-9.026140571E-1,8.798690796E0
1.601592300E-2,2.042253971E0,-9.026140571E-1,8.798690796E0
1.801592300E-2,2.152387381E0,-1.096544385E0,8.935160637E0
2.001592300E-2,2.207453966E0,-1.142034173E0,8.971074104E0
2.201592300E-2,2.322375536E0,-1.225831270E0,9.052476883E0
2.401592300E-2,2.434903145E0,-1.302445769E0,9.148244858E0
2.601592300E-2,2.473210335E0,-1.340752959E0,9.191340446E0
2.801592300E-2,2.513911724E0,-1.414973259E0,9.277531624E0
3.001592300E-2,2.530671120E0,-1.486799240E0,9.370905876E0
3.201592300E-2,2.530671120E0,-1.503558636E0,9.418789864E0
3.401592300E-2,2.499546528E0,-1.522712231E0,9.483432770E0
3.601592300E-2,2.473210335E0,-1.549048543E0,9.545681953E0
3.801592300E-2,2.355894566E0,-1.572990537E0,9.670180321E0
4.001592300E-2,2.355894566E0,-1.572990537E0,9.670180321E0
4.201592300E-2,2.327163935E0,-1.580173135E0,9.706093788E0
4.401592300E-2,2.272097349E0,-1.572990537E0,9.751583099E0
4.601592300E-2,2.243366957E0,-1.561019540E0,9.787496567E0
4.801592300E-2,2.221819162E0,-1.561019540E0,9.799467087E0
5.001592300E-2,2.171540976E0,-1.553836942E0,9.797073364E0
5.201592300E-2,2.133233786E0,-1.525106430E0,9.780313492E0
5.401592300E-2,2.116474390E0,-1.515529633E0,9.773131371E0
5.601592300E-2,2.114080191E0,-1.501164436E0,9.744400978E0
5.801592300E-2,2.123656988E0,-1.470039845E0,9.686940193E0
6.001592300E-2,2.123656988E0,-1.467645645E0,9.665391922E0
6.201592300E-2,2.138022184E0,-1.458068848E0,9.627084732E0
6.401592300E-2,2.176329374E0,-1.455674648E0,9.574412346E0
6.601592300E-2,2.185906172E0,-1.446097851E0,9.550470352E0
6.801592300E-2,2.224213362E0,-1.441309452E0,9.526528358E0
7.001592300E-2,2.229001760E0,-1.424550056E0,9.504981041E0
7.201592300E-2,2.240972757E0,-1.424550056E0,9.461885452E0
7.401592300E-2,2.260126352E0,-1.410184860E0,9.418789864E0
7.601592300E-2,2.279279947E0,-1.407790542E0,9.392453194E0
7.801592300E-2,2.281674147E0,-1.412579060E0,9.339780807E0
8.001592300E-2,2.291250944E0,-1.405396342E0,9.303867340E0
8.201592300E-2,2.298433542E0,-1.395819545E0,9.284713745E0
8.401592300E-2,2.310404539E0,-1.386242747E0,9.251194954E0
8.601592300E-2,2.305616140E0,-1.393425345E0,9.244012833E0
8.801592300E-2,2.305616140E0,-1.391031146E0,9.234436035E0
9.001592300E-2,2.339135170E0,-1.369483352E0,9.239224434E0
9.201592300E-2,2.358288765E0,-1.374271750E0,9.232041359E0
9.401592300E-2,2.375048161E0,-1.371877551E0,9.239224434E0
9.601592300E-2,2.370259762E0,-1.371877551E0,9.236829758E0
9.801592300E-2,2.384624958E0,-1.374271750E0,9.229647636E0
1.000159230E-1,2.396595955E0,-1.379060149E0,9.229647636E0
1.020159230E-1,2.408566952E0,-1.398213744E0,9.246406555E0
1.040159230E-1,2.403778553E0,-1.398213744E0,9.253589630E0
1.060159230E-1,2.430114746E0,-1.403002143E0,9.272743225E0
1.080159230E-1,2.446874142E0,-1.410184860E0,9.306262016E0
1.100159230E-1,2.449268341E0,-1.398213744E0,9.327810287E0
1.120159230E-1,2.439691544E0,-1.407790542E0,9.361329079E0
1.140159230E-1,2.427720547E0,-1.412579060E0,9.387664795E0
