"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.015923000E-3,5.681046844E-2,-2.510656118E-1,1.893682219E-2
1.012177000E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
1.210484800E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
1.412054100E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
1.610369600E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
1.811808000E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
2.010085100E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
2.211439000E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
2.409900600E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
2.611231500E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
2.809570100E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
3.011108600E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
3.209439400E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
3.410770300E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
3.612155000E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
3.810485900E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
4.011993700E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
4.210401500E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
4.411778500E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
4.610117000E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
4.811624700E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
5.009940200E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
5.211355700E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
5.409809600E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
5.611171300E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
5.809563700E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
6.010925300E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
6.209263800E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
6.410710100E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
6.612087100E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
6.810517900E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
7.011933400E-2,5.681046844E-2,-2.510656118E-1,1.893682219E-2
7.210241200E-2,7.941247895E-3,-1.276708394E-1,-3.054326167E-3
7.411633600E-2,8.552113548E-3,-1.295034289E-1,-3.054326167E-3
7.610002900E-2,4.886921961E-3,-1.295034289E-1,-7.330383174E-3
7.811572200E-2,2.443460980E-3,-1.270599663E-1,-8.552113548E-3
8.009787700E-2,3.054326167E-3,-1.258382350E-1,-8.552113548E-3
8.211287800E-2,-1.221730490E-3,-1.197295859E-1,-6.719517522E-3
8.409572500E-2,-1.221730490E-3,-1.111774743E-1,-7.941247895E-3
8.611011100E-2,-3.665191587E-3,-1.087340117E-1,-8.552113548E-3
8.809411200E-2,-6.719517522E-3,-9.957103431E-2,-6.108652335E-3
9.010734300E-2,-1.099557430E-2,-8.857546002E-2,-2.443460980E-3
9.212180500E-2,-9.773843922E-3,-8.246681094E-2,-4.276056774E-3
9.410703700E-2,-1.160643995E-2,-7.513642311E-2,-1.221730490E-3
9.612065300E-2,-1.343903504E-2,-6.536258012E-2,-2.443460980E-3
9.810465400E-2,-1.710422710E-2,-6.047565863E-2,-3.665191587E-3
1.001181170E-1,-1.832595654E-2,-5.131268129E-2,-3.054326167E-3
1.021009640E-1,-1.832595654E-2,-4.581489414E-2,-6.108652335E-3
1.041151190E-1,-2.015855350E-2,-3.848451003E-2,-4.886921961E-3
