"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.610369600E-2,-1.280639172E-1,6.524217129E-2,-5.316324234E-1
2.409900600E-2,1.597006321E-1,-1.508893967E-1,-2.639379501E-1
3.209439400E-2,1.642549038E-1,-2.894855738E-1,3.907203674E-2
4.011993700E-2,2.539873123E-3,-3.045370579E-1,2.647342682E-1
4.811624700E-2,-1.217222214E-1,-2.469491959E-1,3.523197174E-1
5.611171300E-2,-1.402702332E-1,-1.452142000E-1,2.376089096E-1
6.410710100E-2,-6.435775757E-2,-1.066868305E-1,9.993171692E-2
7.210241200E-2,7.583379745E-3,-6.131672859E-2,-2.986049652E-2
8.009787700E-2,3.612852097E-2,-4.750013351E-2,-1.616821289E-1
8.809411200E-2,6.152343750E-2,-8.407711983E-3,-2.016630173E-1
9.612065300E-2,8.696746826E-2,-6.964206696E-3,-2.054796219E-1
1.041151190E-1,1.107366085E-1,-2.857458591E-2,-1.560325623E-1
1.121110450E-1,9.371590614E-2,-3.293871880E-2,-3.674030304E-2
1.201058940E-1,5.547595024E-2,1.880323887E-2,7.657909393E-2
1.281028210E-1,2.549099922E-2,2.544140816E-2,1.468896866E-1
1.360985160E-1,3.846621513E-2,6.444144249E-2,1.360273361E-1
1.440938280E-1,-1.089215279E-2,8.368539810E-2,5.894088745E-2
1.521199850E-1,-1.642274857E-2,9.855532646E-2,6.290435791E-3
1.601156810E-1,-1.549005508E-2,1.163374186E-1,-4.196739197E-2
1.681105300E-1,-3.112316132E-2,6.879031658E-2,-3.840637207E-2
1.761068420E-1,-1.053309441E-2,3.496468067E-2,-3.283214569E-2
1.841019220E-1,-8.814334869E-4,-1.338589191E-2,-2.274513245E-2
1.920978490E-1,-3.849911690E-2,-5.508279800E-2,1.910209656E-3
2.000933140E-1,-3.907299042E-2,-8.374881744E-2,1.393127441E-2
2.081191630E-1,-3.317952156E-2,-9.201490879E-2,2.153682709E-2
2.161157820E-1,-3.178191185E-2,-8.178544044E-2,-3.027057648E-2
2.241108620E-1,2.108120918E-2,-2.972519398E-2,-8.669185638E-2
2.321071740E-1,7.088541985E-2,6.761550903E-4,-7.791519165E-2
2.401024850E-1,9.194159508E-2,-2.137649059E-2,-7.840633392E-2
2.480982580E-1,7.356333733E-2,-4.841494560E-2,-2.440261841E-2
2.560933380E-1,7.172036171E-2,-6.516385078E-2,6.304836273E-2
2.641200340E-1,7.376122475E-2,-6.138706207E-2,7.795524597E-2
2.721148830E-1,6.595087051E-2,-4.793727398E-2,5.580711365E-2
2.801124260E-1,5.708193779E-2,-6.637811661E-3,2.963352203E-2
2.881062750E-1,2.653002739E-2,-3.936409950E-3,-3.964614868E-2
2.961019700E-1,-7.072210312E-3,-5.014181137E-3,-3.451347351E-2
3.040972820E-1,-3.065872192E-2,-4.793643951E-3,-7.501792908E-2
3.120932850E-1,-4.281663895E-2,9.961009026E-3,-8.423328400E-2
3.201194430E-1,-4.606270790E-2,2.498388290E-2,-1.147880554E-1
3.281139070E-1,-4.302310944E-2,3.073871136E-2,-9.478855133E-2
3.361105270E-1,-7.924795151E-2,3.192877769E-2,-5.056667328E-2
3.441062220E-1,-1.091561317E-1,-2.420890331E-2,2.502346039E-2
3.521016880E-1,-5.081200600E-2,-6.620526314E-2,7.433414459E-2
3.600970750E-1,6.940412521E-2,-1.278457642E-1,8.536815643E-2
3.680926950E-1,1.611881256E-1,-1.706582308E-1,8.670520782E-2
3.761183130E-1,1.626908779E-1,-1.393990517E-1,8.837699890E-3
3.841149320E-1,1.368122101E-1,-8.675944805E-2,-2.869987488E-2
3.921097050E-1,7.861256599E-2,-7.005894184E-2,-8.570384979E-2
4.001060160E-1,3.274822235E-2,-2.939546108E-2,-1.404027939E-1
4.081014040E-1,-4.720163345E-2,4.217720032E-2,-1.758308411E-1
4.160971000E-1,-1.096346378E-1,1.109589338E-1,-1.438493729E-1
4.241234880E-1,-1.243960857E-1,1.318342686E-1,-1.423091888E-1
4.321186450E-1,-1.104278564E-1,1.432400942E-1,-6.110763550E-2
4.401136490E-1,-8.155894279E-2,1.543715000E-1,6.125831604E-2
4.481099600E-1,4.242897034E-3,1.145385504E-1,1.166467667E-1
4.561056560E-1,9.545779228E-2,5.724120140E-2,1.143245697E-1
4.641010440E-1,1.049971581E-1,7.607448101E-2,1.257476807E-1
4.720970470E-1,1.099102497E-1,7.310223579E-2,8.617973328E-2
4.800925120E-1,6.222271919E-2,7.944703102E-2,2.916145325E-2
4.881189770E-1,8.776903152E-3,3.809952736E-2,7.703781128E-3
4.961145960E-1,-1.017322540E-1,4.455423355E-2,-6.686210632E-3
5.041096760E-1,-1.247775555E-1,2.235519886E-2,-1.118087769E-2
5.121051420E-1,-1.690356731E-1,-2.188444138E-3,-1.750087738E-2
5.201010680E-1,-1.630823612E-1,-6.722462177E-2,-3.987407684E-2
5.280967640E-1,-1.343443394E-1,-1.057114601E-1,-4.273891449E-2
5.361233060E-1,-7.720947266E-2,-1.415121555E-1,-5.263996124E-2
5.441186170E-1,-4.604363441E-2,-1.198546886E-1,-7.699584961E-2
5.521143900E-1,-4.279994965E-2,-4.818654060E-2,-1.087818146E-1
5.601091630E-1,-1.258730888E-2,3.517186642E-2,-1.072511673E-1
5.681050890E-1,6.318283081E-2,1.252936125E-1,1.392459869E-2
5.761005530E-1,9.775519371E-2,1.053704023E-1,1.568088531E-1
5.840968650E-1,3.299069405E-2,1.240959167E-1,1.181192398E-1
5.921217910E-1,1.990771294E-2,1.313109398E-1,1.875238419E-1
6.001177950E-1,5.570006371E-2,1.097984314E-1,1.950902939E-1
6.081141060E-1,1.216125488E-2,7.832264900E-2,1.428623199E-1
6.161091870E-1,9.915184975E-2,-1.816380024E-2,1.548929214E-1
6.241054980E-1,9.172129631E-2,-9.632587433E-3,5.159187317E-2
6.321002710E-1,6.708431244E-2,-7.955431938E-3,-4.742622375E-2
6.400965050E-1,6.809759140E-2,4.201114178E-2,-6.786251068E-2
6.481224320E-1,4.415512085E-3,1.093846560E-1,-6.904125214E-2
6.561184350E-1,-1.763796806E-2,1.149448156E-1,8.110427856E-2
6.641137460E-1,-5.886125565E-2,9.457325935E-2,1.434249878E-1
6.721089030E-1,-9.763002396E-2,4.084897041E-2,1.944904327E-1
6.801042140E-1,-2.305364609E-2,6.189107895E-3,1.861724854E-1
6.881002950E-1,1.659340858E-1,-4.987919331E-2,1.948070526E-1
6.960959130E-1,2.453644276E-1,-1.111452579E-1,2.247896194E-1
7.041220710E-1,2.191555500E-1,-1.705285311E-1,2.110099792E-1
7.121172280E-1,1.507742405E-1,-1.849038601E-1,1.961908340E-1
7.201132320E-1,8.562493324E-2,-1.063245535E-1,2.138786316E-1
7.281091580E-1,-1.452281475E-1,-1.678466797E-3,2.549104691E-1
7.361051620E-1,-3.036460876E-1,-4.584002495E-2,3.843040466E-1
7.441002420E-1,-4.004538059E-1,-2.574794292E-1,5.474300385E-1
7.520956300E-1,-2.279570103E-1,-5.166132450E-1,5.153789520E-1
7.601214800E-1,-1.409931183E-1,-6.905559301E-1,6.092596054E-1
7.681174830E-1,-1.743183136E-1,-8.389202356E-1,5.893430710E-1
7.761128720E-1,-1.212327480E-1,-9.103802443E-1,4.368124008E-1
7.841088750E-1,7.623624802E-2,-9.590436220E-1,1.636285782E-1
7.921043400E-1,2.541363239E-1,-9.411273003E-1,-1.059818268E-1
8.000997280E-1,2.815339565E-1,-9.933112860E-1,-3.272256851E-1
8.080953470E-1,1.420161724E-1,-1.005317807E0,-5.772657394E-1
8.161221200E-1,-2.691276073E-1,-1.092718720E0,-2.138824463E-1
8.241175080E-1,-9.726755619E-1,-1.146707296E0,-6.658096313E-1
8.321129730E-1,-9.114711285E-1,-1.117558360E0,-4.936246872E-1
8.401076680E-1,-9.669620991E-1,-9.130948782E-1,-3.488178253E-1
8.481040570E-1,-1.140975952E0,-8.124561310E-1,-4.050407410E-1
8.560993670E-1,-1.109857440E0,-8.507554531E-1,-1.632671356E-1
8.640956790E-1,-9.352929592E-1,-8.459846973E-1,-1.465158463E-1
8.721215280E-1,-7.210364342E-1,-6.176246405E-1,-1.105604172E-1
8.801169940E-1,-5.759305954E-1,-3.539745808E-1,4.135704041E-2
8.881120740E-1,-4.734122753E-1,-2.113052607E-1,1.311254501E-1
8.961080010E-1,-2.697312832E-1,-1.301932335E-1,6.285285950E-2
