"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.530925200E-2,-6.289064884E-3,-4.872441292E-3,7.084274292E-2
2.330342300E-2,-1.041296721E-1,1.405650377E-2,4.564094543E-2
3.129936400E-2,-8.094877005E-2,3.690439463E-2,4.386425018E-2
3.731107000E-2,1.036840677E-2,9.433150291E-3,3.374958038E-2
3.932407500E-2,1.036840677E-2,9.433150291E-3,3.374958038E-2
4.732093900E-2,6.098324060E-2,3.702795506E-2,7.391834259E-2
5.531764800E-2,6.888759136E-2,7.409214973E-3,1.751136780E-2
6.331212800E-2,1.075044870E-1,6.276428699E-3,5.014419556E-3
7.130814600E-2,5.516767502E-2,2.743661404E-3,-1.944541931E-2
7.930447000E-2,-5.483388901E-3,-2.058321238E-2,4.298591614E-2
8.729895000E-2,-5.771309137E-2,-5.137348175E-2,7.917213440E-2
9.532627600E-2,-1.283888817E-1,-1.884168386E-2,8.097362518E-2
1.033208320E-1,-1.321949959E-1,-7.021367550E-3,8.017826080E-2
1.113164640E-1,-1.906246543E-1,1.801341772E-2,8.011531830E-2
1.193137130E-1,-1.787431240E-1,2.189403772E-2,-8.573532104E-3
1.273075770E-1,-1.494085789E-1,3.776729107E-2,-4.384040833E-3
1.353042100E-1,-1.611876488E-1,2.691066265E-2,-4.529380798E-2
1.432989970E-1,-1.582866907E-1,3.173685074E-2,-2.393150330E-2
1.513246300E-1,-1.528908014E-1,2.128082514E-2,4.529953003E-3
1.593221100E-1,-1.334396601E-1,-9.032845497E-3,3.062343597E-2
1.673163580E-1,-1.119937897E-1,6.485342979E-3,1.560878754E-2
1.753123760E-1,-7.056939602E-2,-4.973709583E-3,5.243301392E-2
1.833073940E-1,-4.424023628E-2,-2.590811253E-2,1.143484116E-1
1.913034880E-1,-3.838431835E-2,-2.196592093E-2,1.183004379E-1
1.993010440E-1,-2.150750160E-2,-2.909678221E-2,1.080961227E-1
2.073252930E-1,1.506578922E-2,-4.022610188E-2,8.487224579E-2
2.153213880E-1,1.792144775E-2,-4.579538107E-2,1.079082489E-1
2.233167900E-1,1.858794689E-2,-5.586391687E-2,7.763767242E-2
2.313118080E-1,2.992689610E-2,-4.789942503E-2,3.825664520E-2
2.393090560E-1,4.554891586E-2,-9.091675282E-3,6.106090546E-2
2.473026120E-1,9.468698502E-2,-3.268945217E-2,7.907867432E-2
2.553303220E-1,1.234180331E-1,-1.662808657E-2,3.480720520E-2
2.633248790E-1,1.511032581E-1,1.162600517E-2,-2.720069885E-2
2.713199740E-1,1.606084704E-1,1.190239191E-2,3.937816620E-2
2.793146830E-1,1.303420663E-1,-2.166098356E-2,5.686187744E-2
2.873120090E-1,1.137294769E-1,-1.934605837E-2,8.628177643E-2
2.953088730E-1,1.031295061E-1,-3.374564648E-2,1.597042084E-1
3.033025050E-1,6.382143497E-2,-4.532277584E-3,5.765342712E-2
3.112976000E-1,-2.576017380E-2,6.456369162E-2,-3.890800476E-2
3.193256180E-1,-2.388924360E-2,1.033813953E-1,-1.042356491E-1
3.273200210E-1,-2.871084213E-2,9.065270424E-2,-1.047878265E-1
3.353170380E-1,3.602480888E-2,6.691777706E-2,-1.363801956E-1
3.433117480E-1,1.061396599E-1,5.597656965E-2,-4.574966431E-2
3.513066120E-1,1.697148085E-1,3.347885609E-2,5.694293976E-2
3.593047060E-1,2.435790300E-1,-4.902338982E-2,1.956081390E-1
3.673287240E-1,2.965617180E-1,-1.229602695E-1,3.318691254E-1
3.753250500E-1,3.194676638E-1,-1.481840611E-1,3.077020645E-1
3.833208370E-1,3.241524696E-1,-1.124861836E-1,2.212734222E-1
3.913152390E-1,3.026857376E-1,-1.185784936E-1,1.683034897E-1
3.993131800E-1,1.954865456E-1,-1.018996239E-1,9.613609314E-2
4.073069670E-1,6.114912033E-2,-1.695871353E-2,-2.309799194E-3
4.153032920E-1,-1.902526617E-2,6.043583155E-2,-4.797649384E-2
4.233292330E-1,-8.338624239E-2,1.427953839E-1,-1.078653336E-1
4.313248670E-1,-7.514947653E-2,1.447300315E-1,-4.551029205E-2
4.393218850E-1,-5.051839352E-2,8.536887169E-2,2.645587921E-2
