feature_a,feature_b,abs_corr
acc_y_range,acc_y_p2p,1.0
gyr_y_range,gyr_y_p2p,1.0
lin_z_range,lin_z_p2p,1.0
gyr_z_range,gyr_z_p2p,1.0
acc_x_range,acc_x_p2p,1.0
gyr_x_range,gyr_x_p2p,1.0
acc_z_range,acc_z_p2p,1.0
acc_mag_range,acc_mag_p2p,1.0
lin_mag_mean,lin_mag_sma,1.0
acc_mag_mean,acc_mag_sma,1.0
gyr_mag_mean,gyr_mag_sma,1.0
gyr_mag_range,gyr_mag_p2p,1.0
lin_x_range,lin_x_p2p,1.0
lin_mag_range,lin_mag_p2p,1.0
lin_y_range,lin_y_p2p,1.0
lin_z_std,lin_z_rms,0.9981972871145702
gyr_mag_max,gyr_mag_range,0.9981872052288342
gyr_mag_max,gyr_mag_p2p,0.9981872052288342
lin_mag_max,lin_mag_p2p,0.9978237765023225
lin_mag_max,lin_mag_range,0.9978237765023225
lin_x_std,lin_x_rms,0.997179271341221
acc_mag_mean,acc_mag_rms,0.9971625312489326
acc_mag_rms,acc_mag_sma,0.9971625312489325
lin_x_mad,lin_x_sma,0.9969589253359081
acc_y_std,acc_y_mad,0.9959748297606489
gyr_y_mad,gyr_y_sma,0.9958919690260272
gyr_x_std,gyr_x_mad,0.9958351331515543
lin_z_mad,lin_z_sma,0.9957042191839562
gyr_y_std,gyr_y_rms,0.9956871365146306
acc_y_rms,acc_y_sma,0.9954809407251174
acc_z_std,acc_z_mad,0.9949776135182338
gyr_z_std,gyr_z_mad,0.9940513613645994
acc_mag_std,acc_mag_mad,0.994011416774812
lin_mag_std,lin_mag_mad,0.9939977531953987
lin_y_std,lin_y_mad,0.9938589300526096
gyr_mag_std,gyr_mag_mad,0.9938517825922649
acc_y_mad,acc_y_fft_mag_1,0.9937020393668972
acc_z_rms,acc_z_sma,0.9933037519547236
gyr_y_std,gyr_y_mad,0.9930430503964273
acc_x_std,acc_x_mad,0.9921325912424002
lin_x_std,lin_x_mad,0.9917753891566198
gyr_x_mad,gyr_x_sma,0.9916106084362984
lin_z_std,lin_z_mad,0.990989540414001
gyr_y_rms,gyr_y_sma,0.9903520827408364
gyr_x_mad,gyr_x_fft_mag_1,0.9902327525989667
lin_z_rms,lin_z_mad,0.9902144029236293
gyr_y_rms,gyr_y_mad,0.9899821067940492
gyr_x_std,gyr_x_rms,0.9895109018360153
lin_mag_mean,lin_mag_rms,0.9891408768199927
lin_mag_rms,lin_mag_sma,0.9891408768199925
lin_x_rms,lin_x_mad,0.9890798248858722
gyr_z_mad,gyr_z_sma,0.9887821325832317
acc_x_rms,acc_x_sma,0.9887651134696902
gyr_z_mad,gyr_z_fft_mag_1,0.9887580761109088
lin_x_rms,lin_x_sma,0.9887193769886706
gyr_y_std,gyr_y_sma,0.9882838009580224
gyr_x_rms,gyr_x_sma,0.9879411638341198
lin_x_std,lin_x_sma,0.9879078787930279
gyr_x_rms,gyr_x_mad,0.9879046522123084
gyr_x_std,gyr_x_sma,0.9870085607407763
acc_y_std,acc_y_fft_mag_1,0.9867298088366564
gyr_z_rms,gyr_z_mad,0.9863856940487435
gyr_z_std,gyr_z_rms,0.9856296914599222
gyr_x_sma,gyr_x_fft_mag_1,0.9855287774478484
acc_x_mad,acc_x_fft_mag_1,0.9845417621629295
